code,name_fr,name_ar,phone_code,postal_code,latitude,longitude,created
1,Adrar,أدرار,049,01000,27.867,-0.283,original
2,Chlef,الشلف,027,02000,36.16472,1.33167,original
3,Laghouat,الأغواط,029,03000,33.80278,2.875,original
4,Oum El Bouaghi,أم البواقي,032,04000,35.8775,7.11361,original
5,Batna,باتنة,033,05000,35.55,6.16667,original
6,Bejaia,بجاية,034,06000,36.75111,5.06417,original
7,Biskra,بسكرة,033,07000,34.85,5.733,original
8,Bechar,بشار,049,08000,31.617,-2.217,original
9,Blida,البليدة,025,09000,36.46861,2.83194,original
10,Bouira,البويرة,026,10000,36.38,3.90139,original
11,Tamanrasset,تمنراست,029,11000,22.78889,5.52556,original
12,Tebessa,تبسة,037,12000,35.4,8.117,original
13,Tlemcen,تلمسان,043,13000,34.88278,-1.31667,original
14,Tiaret,تيارت,046,14000,35.367,1.317,original
15,Tizi Ouzou,تيزي وزو,026,15000,36.717,4.05,original
16,Alger,الجزائر,021,16000,36.7325,3.08722,original
17,Djelfa,الجلفة,027,17000,34.66667,3.25,original
18,Jijel,جيجل,034,18000,36.81667,5.75,original
19,Setif,سطيف,036,19000,36.19,5.41,original
20,Saida,سعيدة,048,20000,34.833,0.15,original
21,Skikda,سكيكدة,038,21000,36.86667,6.9,original
22,Sidi Bel Abbes,سيدي بلعباس,048,22000,35.19389,-0.64139,original
23,Annaba,عنابة,038,23000,36.9,7.767,original
24,Guelma,قالمة,037,24000,36.45,7.433,original
25,Constantine,قسنطينة,031,25000,36.35,6.6,original
26,Medea,المدية,025,26000,36.2675,2.75,original
27,Mostaganem,مستغانم,045,27000,35.933,0.083,original
28,M'Sila,المسيلة,035,28000,35.70194,4.54722,original
29,Mascara,معسكر,045,29000,35.4,0.13333,original
30,Ouargla,ورقلة,029,30000,31.95,5.317,original
31,Oran,وهران,041,31000,35.69694,-0.63306,original
32,El Bayadh,البيض,049,32000,33.68028,1.02028,1984
33,Illizi,إليزي,029,33000,26.505,8.482,1984
34,Bordj Bou Arreridj,برج بوعريريج,035,34000,36.067,4.767,1984
35,Boumerdes,بومرداس,024,35000,36.76034,3.47236,1984
36,El Tarf,الطارف,038,36000,36.767,8.317,1984
37,Tindouf,تندوف,049,37000,27.67528,-8.12861,1984
38,Tissemsilt,تسمسيلت,046,38000,35.60778,1.81111,1984
39,El Oued,الوادي,032,39000,33.36111,6.86056,1984
40,Khenchela,خنشلة,032,40000,35.417,7.133,1984
41,Souk Ahras,سوق أهراس,037,41000,36.28639,7.95111,1984
42,Tipaza,تيبازة,024,42000,36.59194,2.44944,1984
43,Mila,ميلة,031,43000,36.45,6.27,1984
44,Ain Defla,عين الدفلى,027,44000,36.2652,1.9703,1984
45,Naama,النعامة,049,45000,33.26222,-0.31444,1984
46,Ain Temouchent,عين تموشنت,043,46000,35.3,-1.133,1984
47,Ghardaia,غرداية,029,47000,32.483,3.667,1984
48,Relizane,غليزان,046,48000,35.73333,0.55,1984
49,Timimoun,تيميمون,049,49000,29.26278,-0.23889,2019
50,Bordj Badji Mokhtar,برج باجي مختار,049,50000,21.32889,0.95417,2019
51,Ouled Djellal,أولاد جلال,033,51000,34.417,5.067,2019
52,Beni Abbes,بني عباس,049,52000,30.08,-2.1,2019
53,In Salah,عين صالح,029,53000,27.195,2.48333,2019
54,In Guezzam,عين قزّام,029,54000,19.56861,5.77222,2019
55,Touggourt,تقرت,029,55000,33.1,6.067,2019
56,Djanet,جانت,029,56000,24.555,9.48528,2019
57,El M'Ghair,المغير,032,57000,33.95056,5.92417,2019
58,El Meniaa,المنيعة,029,58000,30.583,2.883,2019
59,Aflou,أفلو,,59000,34.10889,2.10194,2025
60,Ain Oussera,عين وسارة,,60000,35.44889,2.90444,2025
61,Barika,بريكة,,61000,35.39722,5.36583,2025
62,Bir El Ater,بئر العاتر,,62000,34.74861,8.05806,2025
63,Bou Saada,بوسعادة,,63000,35.21917,4.18167,2025
64,El Abiodh Sidi Cheikh,الأبيض سيدي الشيخ,,64000,32.89861,0.54444,2025
65,El Aricha,العريشة,,65000,34.22278,-1.25583,2025
66,El Kantara,القنطرة,,66000,35.2166,5.7104,2025
67,Ksar Chellala,قصر الشلالة,,67000,35.217,2.317,2025
68,Ksar El Boukhari,قصر البخاري,,68000,35.88556,2.75083,2025
69,Messaad,مسعد,,69000,34.16667,3.5,2025
