id,name,status,postal_code,postal_code_old,address,commune_fr,commune_ar,wilaya_code,wilaya_fr,wilaya_ar,lat,lng
1165,AOULEF,1,01003,,,AOULEF,أولف,01,ADRAR,أدرار,26.9728317,1.07709
1166,REGGANE,1,01004,,,REGGANE,رقان,01,ADRAR,أدرار,26.7186796,0.1735695
1168,ADRAR 1ER NOV,1,01005,,,ADRAR,أدرار,01,ADRAR,أدرار,27.8787945,-0.2887803
1174,ADRAR ADMINISTRATIF,1,01006,,,ADRAR,أدرار,01,ADRAR,أدرار,27.878172,-0.2743741
1167,ZAOUIET KOUNTA,1,01007,,,ZAOUIET KOUNTA,زاوية كنتة,01,ADRAR,أدرار,27.2291835,-0.1914527
10590,SALI,1,01009,,,SALI,سالي,01,ADRAR,أدرار,26.9604054,-0.0281879
15008,TIT,1,01031,,,TIT,تيت,01,ADRAR,أدرار,26.9372763,1.4898853
15015,BOUALI,1,01040,,,ZAOUIET KOUNTA,زاوية كنتة,01,ADRAR,أدرار,27.1486694,-0.1256942
10577,TIMOKTENE,1,01043,,,TIMOKTEN,تيمقتن,01,ADRAR,أدرار,27.0354745,1.0409797
14989,AKABLI,1,01044,,,AKABLI,أقبلي,01,ADRAR,أدرار,26.7108942,1.3687192
15006,IN ZEGLOUF,1,01045,,,REGGANE,رقان,01,ADRAR,أدرار,26.818487,0.030406
15000,TILLOULINE,1,01047,,,IN ZGHMIR,أنزجمير,01,ADRAR,أدرار,27.0428612,-0.0819367
15026,TIMADANINE,1,01048,,,REGGANE,رقان,01,ADRAR,أدرار,26.7106081,0.1218333
10588,TIDMAINE,1,01049,,,IN ZGHMIR,أنزجمير,01,ADRAR,أدرار,27.0934158,-0.1133862
15024,BERRICHE,1,01056,,,SALI,سالي,01,ADRAR,أدرار,26.8737039,0.0067748
10586,REGGAN CHEIKH MOULAY,1,01067,,,REGGANE,رقان,01,ADRAR,أدرار,26.7262647,0.1696908
10580,TIOURIRINE,1,01069,,,ZAOUIET KOUNTA,زاوية كنتة,01,ADRAR,أدرار,27.3274549,-0.2163566
10576,AOULEF TIDIKLETE,1,01074,,,AOULEF,أولف,01,ADRAR,أدرار,26.9728176,1.0899055
14987,ZAOUIET LAHCHEF,1,01075,,,SALI,سالي,01,ADRAR,أدرار,26.8469027,0.0119921
10589,INZEGMIR,1,01076,,,IN ZGHMIR,أنزجمير,01,ADRAR,أدرار,27.1101639,-0.1217431
10581,ADRAR SAHET EL CHOHADA,1,01085,,,ADRAR,أدرار,01,ADRAR,أدرار,27.8770647,-0.2600898
13157,AEROPORT ADRAR,1,01085,,,ADRAR,أدرار,01,ADRAR,أدرار,27.8422417,-0.1893883
15001,INZEGMIR CHAHID AHMED ZAHANA,1,01086,,,IN ZGHMIR,أنزجمير,01,ADRAR,أدرار,27.111544,-0.1213123
13303,AEROPORT CHLEF,1,02000,,,CHLEF,الشلف,02,CHLEF,الشلف,36.2174033,1.324485
1686,CHLEF RP,1,02000,,,CHLEF,الشلف,02,CHLEF,الشلف,36.1661774,1.3332921
1687,CHLEF RP 2,1,02000,,,CHLEF,الشلف,02,CHLEF,الشلف,36.166657,1.3334266
2440,CHLEF RP 3,1,02000,,,CHLEF,الشلف,02,CHLEF,الشلف,36.1663558,1.3329426
1748,OUED FODDA MOSSALAHA,1,02001,,,OUED FODDA,وادي الفضة,02,CHLEF,الشلف,36.1849701,1.5301407
1744,BOUKADER,1,02002,,,BOUKADIR,بوقادير,02,CHLEF,الشلف,36.062567,1.1260846
1747,OUED FODDA,1,02003,,,OUED FODDA,وادي الفضة,02,CHLEF,الشلف,36.187937,1.5313543
1671,AIN MERANE,1,02004,,,AIN MERANE,عين مران,02,CHLEF,الشلف,36.1624969,0.9698605
1786,HAI BEN SOUNA,1,02005,,,CHLEF,الشلف,02,CHLEF,الشلف,36.1618317,1.3200133
1746,EL KARIMIA,1,02008,,,EL KARIMIA,الكريمية,02,CHLEF,الشلف,36.1145094,1.5534806
1750,SIDI AKACHA,1,02009,,,SIDI AKKACHA,سيدي عكاشة,02,CHLEF,الشلف,36.4633058,1.3035385
1749,OULED FARES,1,02010,,,OULED FARES,أولاد فارس,02,CHLEF,الشلف,36.2312717,1.2370683
1781,OUED SLY,1,02011,,,OUED SLY,وادي سلي,02,CHLEF,الشلف,36.1021183,1.200025
13190,CHLEF CADM LS1,1,02013,,,CHLEF,الشلف,02,CHLEF,الشلف,36.163442,1.337497
13193,CHLEF CADM LS4,1,02013,,,CHLEF,الشلف,02,CHLEF,الشلف,36.1634564,1.3374801
1783,ZEBOUDJA,1,02014,,,ZEBOUDJA,الزبوجة,02,CHLEF,الشلف,36.3518217,1.4309567
1542,MARSA,1,02015,,,EL MARSA,المرسى,02,CHLEF,الشلف,36.4042596,0.9163502
1743,BENI HAOUA,1,02017,,,BENI HAOUA,بني حواء,02,CHLEF,الشلف,36.5304035,1.5699553
1670,ABOU EL HASSEN,1,02018,,,ABOU EL HASSAN,أبو الحسن,02,CHLEF,الشلف,36.4179275,1.1951658
1784,BOUZGHAIA,1,02021,,,BOUZGHAIA,بوزغاية,02,CHLEF,الشلف,36.3369718,1.2395781
1785,OUM DROU,1,02024,,,OUM DROU,أم الدروع,02,CHLEF,الشلف,36.19811,1.3866733
1780,SENDJES,1,02025,,,SENDJAS,السنجاس,02,CHLEF,الشلف,36.0623505,1.4012352
14671,HARCHOUN,1,02031,,,HARCHOUN,حرشون,02,CHLEF,الشلف,36.1115211,1.504976
1227,BENI RACHED,1,02035,,,BENI RACHED,بني راشد,02,CHLEF,الشلف,36.2770666,1.5215053
1261,DAHRA,1,02036,,,DAHRA,الظهرة,02,CHLEF,الشلف,36.2568095,0.8519829
