code,name_ar,name_fr,name_en,created,mother_wilaya_code,law,communes_count,dairas_count,post_reform_communes,post_reform_dairas
1,أدرار,Adrar,Adrar,1984,,,16,6,,
2,الشلف,Chlef,Chlef,1984,,,35,13,,
3,الأغواط,Laghouat,Laghouat,1984,,,24,10,12,
4,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,1984,,,29,12,,
5,باتنة,Batna,Batna,1984,,,61,21,53,
6,بجاية,Béjaïa,Béjaïa,1984,,,52,19,,
7,بسكرة,Biskra,Biskra,1984,,,27,10,22,
8,بشار,Béchar,Béchar,1984,,,11,6,,
9,البليدة,Blida,Blida,1984,,,25,10,,
10,البويرة,Bouira,Bouira,1984,,,45,12,,
11,تمنراست,Tamanrasset,Tamanrasset,1984,,,5,3,,
12,تبسة,Tébessa,Tébessa,1984,,,28,12,24,
13,تلمسان,Tlemcen,Tlemcen,1984,,,53,20,49,
14,تيارت,Tiaret,Tiaret,1984,,,42,14,36,
15,تيزي وزو,Tizi Ouzou,Tizi Ouzou,1984,,,67,21,,
16,الجزائر,Alger,Algiers,1984,,,57,13,,
17,الجلفة,Djelfa,Djelfa,1984,,,36,12,18,6
18,جيجل,Jijel,Jijel,1984,,,28,11,,
19,سطيف,Sétif,Sétif,1984,,,60,20,,
20,سعيدة,Saïda,Saïda,1984,,,16,6,,
21,سكيكدة,Skikda,Skikda,1984,,,38,13,,
22,سيدي بلعباس,Sidi Bel Abbès,Sidi Bel Abbès,1984,,,52,15,,
23,عنابة,Annaba,Annaba,1984,,,12,6,,
24,قالمة,Guelma,Guelma,1984,,,34,10,,
25,قسنطينة,Constantine,Constantine,1984,,,12,7,,
26,المدية,Médéa,Médéa,1984,,,64,19,43,
27,مستغانم,Mostaganem,Mostaganem,1984,,,32,10,,
28,المسيلة,M'sila,M'sila,1984,,,47,15,24,
29,معسكر,Mascara,Mascara,1984,,,47,16,,
30,ورقلة,Ouargla,Ouargla,1984,,,8,5,,
31,وهران,Oran,Oran,1984,,,26,9,,
32,البيض,El Bayadh,El Bayadh,1984,,,22,8,15,
33,إليزي,Illizi,Illizi,1984,,,4,3,,
34,برج بوعريريج,Bordj Bou Arreridj,Bordj Bou Arreridj,1984,,,34,10,,
35,بومرداس,Boumerdès,Boumerdès,1984,,,32,9,,
36,الطارف,El Tarf,El Tarf,1984,,,24,7,,
37,تندوف,Tindouf,Tindouf,1984,,,2,1,,
38,تيسمسيلت,Tissemsilt,Tissemsilt,1984,,,22,8,,
39,الوادي,El Oued,El Oued,1984,,,22,10,,
40,خنشلة,Khenchela,Khenchela,1984,,,21,8,,
41,سوق أهراس,Souk Ahras,Souk Ahras,1984,,,26,10,,
42,تيبازة,Tipaza,Tipaza,1984,,,28,10,,
43,ميلة,Mila,Mila,1984,,,32,13,,
44,عين الدفلى,Aïn Defla,Aïn Defla,1984,,,36,14,,
45,النعامة,Naâma,Naâma,1984,,,12,7,,
46,عين تموشنت,Aïn Témouchent,Aïn Témouchent,1984,,,28,8,,
47,غرداية,Ghardaïa,Ghardaïa,1984,,,10,8,,
48,غليزان,Relizane,Relizane,1984,,,38,13,,
49,تيميمون,Timimoun,Timimoun,2019,1,Law 19-12,10,4,,
50,برج باجي مختار,Bordj Badji Mokhtar,Bordj Badji Mokhtar,2019,1,Law 19-12,2,1,,
51,أولاد جلال,Ouled Djellal,Ouled Djellal,2019,7,Law 19-12,6,2,,
52,بني عباس,Béni Abbès,Béni Abbès,2019,8,Law 19-12,10,6,,
53,عين صالح,In Salah,In Salah,2019,11,Law 19-12,3,2,,
54,عين قزام,In Guezzam,In Guezzam,2019,11,Law 19-12,2,2,,
55,توقرت,Touggourt,Touggourt,2019,30,Law 19-12,13,5,,
56,جانت,Djanet,Djanet,2019,33,Law 19-12,2,1,,
57,المغير,El M'Ghair,El M'Ghair,2019,39,Law 19-12,8,2,,
58,المنيعة,El Meniaa,El Meniaa,2019,47,Law 19-12,3,1,,
59,آفلو,Aflou,Aflou,2025,3,Law 26-06,12,,,
60,بريكة,Barika,Barika,2025,5,Law 26-06,8,3,,
61,القنطرة,El Kantara,El Kantara,2025,7,Law 26-06,5,,,
62,بئر العاتر,Bir El Ater,Bir El Ater,2025,12,Law 26-06,4,,,
63,العريشة,El Aricha,El Aricha,2025,13,Law 26-06,4,,,
64,قصر الشلالة,Ksar Chellala,Ksar Chellala,2025,14,Law 26-06,6,,,
65,عين وسارة,Aïn Oussara,Aïn Oussara,2025,17,Law 26-06,10,4,,
66,مسعد,Messaad,Messaad,2025,17,Law 26-06,8,2,,
67,قصر البخاري,Ksar El Boukhari,Ksar El Boukhari,2025,26,Law 26-06,21,,,
68,بوسعادة,Bou Saâda,Bou Saâda,2025,28,Law 26-06,23,8,,
69,الأبيض سيدي الشيخ,El Abiodh Sidi Cheikh,El Abiodh Sidi Cheikh,2025,32,Law 26-06,7,,,
