id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,type_label_ar,sector,abbreviation,address,phone,fax,slug
01-centre_formation-01,المعهد التكنولوجي الفلاحي المتخصص أدرار,,المعهد التكنولوجي الفلاحي المتخصص أدرار,01,,,27.87429,-0.297222,approximate,wilaya_centroid,madr,centre_formation,Institut et centre de formation,معهد ومركز التكوين,public,ITMAS Adrar,,049904950,,itmas-adrar
01-chambre_agriculture-01,Chambre d'Agriculture de Adrar,Chambre d'Agriculture de Adrar,الغرفة الفلاحية لولاية أدرار,01,0101,Adrar,27.87429,-0.297222,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي محمد بوضياف وسط مدينة الهامل 01000 أدرار,049351724,049351724,chambre-d-agriculture-de-adrar
01-conservation_forets-01,Conservation des Forêts de Adrar,Conservation des Forêts de Adrar,محافظة الغابات أدرار,01,,,27.87429,-0.297222,approximate,wilaya_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,حي أولاد أونقالا (مقر الولاية سابقا) 389,049361232,049361234,conservation-des-forets-de-adrar
01-dsa-01,Direction des Services Agricoles de Adrar,Direction des Services Agricoles de Adrar,مديرية المصالح الفلاحية لولاية أدرار,01,,,27.87429,-0.297222,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,طريق طالب محمد,049364828,049364811,direction-des-services-agricoles-de-adrar
02-chambre_agriculture-01,Chambre d'Agriculture de Chlef,Chambre d'Agriculture de Chlef,الغرفة الفلاحية لولاية الشلف,02,,,36.1647,1.3317,approximate,wilaya_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي بوسونة مقابل الضمان الاجتماعي 02000,027774663,027790857,chambre-d-agriculture-de-chlef
02-conservation_forets-01,Conservation des Forêts de Chlef,Conservation des Forêts de Chlef,محافظة الغابات الشلف,02,,,36.1647,1.3317,approximate,wilaya_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,"نهج الأمير عبد القادر ص,ب 232",027771808,027771616,conservation-des-forets-de-chlef
02-dsa-01,Direction des Services Agricoles de Chlef,Direction des Services Agricoles de Chlef,مديرية المصالح الفلاحية لولاية الشلف,02,0201,Chlef,36.1647,1.3317,approximate,commune_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,شارع بلحمري جيلالي، الشلف,027775900,027790575,direction-des-services-agricoles-de-chlef
03-chambre_agriculture-01,Chambre d'Agriculture de Laghouat,Chambre d'Agriculture de Laghouat,الغرفة الفلاحية لولاية الأغواط,03,0301,Laghouat,33.8,2.875,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,مدينة 5جويلية حديقة المعمورة 03000 الأغواط,029134301,029134300,chambre-d-agriculture-de-laghouat
03-conservation_forets-01,Conservation des Forêts de Laghouat,Conservation des Forêts de Laghouat,محافظة الغابات الأغواط,03,0301,Laghouat,33.8,2.875,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,الحي الإداري المحاريف، الأغواط,029145400,029145401,conservation-des-forets-de-laghouat
03-dsa-01,Direction des Services Agricoles de Laghouat,Direction des Services Agricoles de Laghouat,مديرية المصالح الفلاحية لولاية الأغواط,03,,,33.8,2.875,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,محافير,029145412,029146484,direction-des-services-agricoles-de-laghouat
04-chambre_agriculture-01,Chambre d'Agriculture de Oum El Bouaghi,Chambre d'Agriculture de Oum El Bouaghi,الغرفة الفلاحية لولاية أم البواقي,04,,,35.8706,7.117,approximate,wilaya_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,شارع مدفون,032560726,032560651,chambre-d-agriculture-de-oum-el-bouaghi
04-conservation_forets-01,Conservation des Forêts de Oum El Bouaghi,Conservation des Forêts de Oum El Bouaghi,محافظة الغابات أم البواقي,04,0401,Oum El Bouaghi,35.8706,7.117,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,"حي 18 فيفري ص,ب رقم 41، أم البواقي",032563614,032545717,conservation-des-forets-de-oum-el-bouaghi
04-dsa-01,Direction des Services Agricoles de Oum El Bouaghi,Direction des Services Agricoles de Oum El Bouaghi,مديرية المصالح الفلاحية لولاية أم البواقي,04,0401,Oum El Bouaghi,35.8706,7.117,approximate,commune_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,حي العربي بن مهيدي، أم البواقي,032563110,032563262,direction-des-services-agricoles-de-oum-el-bouaghi
05-chambre_agriculture-01,Chambre d'Agriculture de Batna,Chambre d'Agriculture de Batna,الغرفة الفلاحية لولاية باتنة,05,0501,Batna,35.55597,6.1741447,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي ادم الاخضرار05000 باتنة,033814656,033803879,chambre-d-agriculture-de-batna
