id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,icao,iata,address,phone,website
daad,Aéroport de BOU SAADA/Ain Eddis,68,,,35.32449005474226,4.200126110472756,exact,source_point,anac,"{""icao"":""DAAD""}",DAAD,,BP 278/ BOU SAADA,'+213 35 43 47 78,https://aeroports-egsa-alger.dz/fr/1.html
daae,Aéroport de BEJAIA/Soummam ‐Abane Ramdane,06,,,36.7158254808996,5.071032952852189,exact,source_point,anac,"{""icao"":""DAAE""}",DAAE,,Soummam‐Abane Ramdane‐ Bejaia,'+213 34183036,https://aeroports-egsa-alger.dz/fr/11.html
daag,Aéroport d’Alger – Houari Boumediene,16,,,36.69951171485545,3.210846808533331,exact,source_point,anac,"{""icao"":""DAAG""}",DAAG,,Alger BP 164 DAR EL BEIDA,'+21323199230,https://www.aeroportalger.dz/
daaj,Aéroport de DJANET / Tiska-DJANET,56,,,24.28966075585949,9.46571858129957,exact,source_point,anac,"{""icao"":""DAAJ""}",DAAJ,,Aéroport de DJANET / Tiska BP 29. ‐DJANET,'+213 29481502,https://aeroports-egsa-alger.dz/fr/13.html
daap,Aéroport de ILLIZI/TAKHAMALT,33,,,26.71924934185029,8.618196725541447,exact,source_point,anac,"{""icao"":""DAAP""}",DAAP,,Aéroport de ILLIZI/TAKHAMALT BP 39 ‐ILLIZI,'+213 29413013,https://aeroports-egsa-alger.dz/fr/5.html
daas,Aéroport de SETIF /8 Mai 45,19,,,36.17553448867715,5.330306679093995,exact,source_point,anac,"{""icao"":""DAAS""}",DAAS,,Aéroport de SETIF /8 Mai 45 ‐ BP 219 /Sétif,'+213 36 543135,https://www.egsa-constantine.dz/index.php/aeroports/aeroport-de-setif-08-mai-1945
daat,Aéroport de Tamanrasset – Aguenar – Hadj Bey Akhamok,11,,,22.81520178682999,5.448914008186444,exact,source_point,anac,"{""icao"":""DAAT""}",DAAT,,Aéroport de TAMENGHASSET/Aguenar-Hadj Bey Akhamok- BP 38/TAMENGHASSET,'+21329330031,https://aeroports-egsa-alger.dz/fr/16.html
daav,Aéroport de JIJEL/FERHAT ABBAS,18,,,36.79340595973765,5.877778649666695,exact,source_point,anac,"{""icao"":""DAAV""}",DAAV,,Aéroport de JIJEL/FERHAT ABBAS BP :37- TAHER / JIJEL,'+213 34 544408,https://www.egsa-constantine.dz/index.php/aeroports/aeroport-de-jijel-ferhat-abbas
dabb,Aéroport Annaba – Rabah Bitat,36,,,36.82441556514175,7.821324125869026,exact,source_point,anac,"{""icao"":""DABB""}",DABB,,Rabah Bitat BP 296‐ Annaba,'+21338529071,https://www.egsa-constantine.dz/index.php/aeroports/aeroport-d-annaba-rabah-bitat
dabc,Aéroport de Constantine – Mohamed Boudiaf,25,,,36.28378418745162,6.621478825849163,exact,source_point,anac,"{""icao"":""DABC""}",DABC,,"AVA, Aéroport de CONSTANTINE",'+21331810125,https://www.egsa-constantine.dz/index.php/aeroports/aeroport-de-constantine-mohamed-boudiaf
