id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,bank_id,address,phone
abc-1,Head Office,16,,,36.738496,3.0621557,exact,bank_locator,bank_locator,abc,"PO Box 367 38 Avenue des Trois Frères Bouadou Bir Mourad Rais, Algiers, Algeria",(213) (0) 21 98 76 11 / (213) (0) 21 98 76 28
abc-10,Skikda,21,,,36.87171029999998,6.910144399999982,exact,bank_locator,bank_locator,abc,"88, Rue Mohamed Bouguergour, Allée du 20 Août, Skikda",
abc-11,Constantine,25,,,36.3649291,6.638386199999982,exact,bank_locator,bank_locator,abc,"24, Rue Zaouiche Amar Sidi Mabrouk, Constantine",
abc-12,Annaba,23,,,36.893972400000045,7.756341799999994,exact,bank_locator,bank_locator,abc,"Angle Boulevard ALN n°08 et rue Arbaoui Mouloud, Annaba",
abc-13,Oran,31,,,35.69835880000002,-0.6027055999999851,exact,bank_locator,bank_locator,abc,"03, Boulevard Périphérique n°03, USTO / Oran",
abc-14,Oran II,31,,,35.705214700000006,-0.630217500000001,exact,bank_locator,bank_locator,abc,"107, Rue Larbi Ben M’hidi, Oran",
abc-15,Sidi Bel Abbes,22,,,35.186500000000024,-0.6317162000000032,exact,bank_locator,bank_locator,abc,"Angle Avenue Mustapha Ben Boulaid, 15 rue Khemisti Sidi Bel Abbes",
abc-16,Chlef,02,,,36.16698430000002,1.333626500000018,exact,bank_locator,bank_locator,abc,"26, Rue de la Résistance, Chlef",
abc-17,Mostaganem,27,,,35.9247859,0.07949430000000923,exact,bank_locator,bank_locator,abc,"09, cour de la culture, route d’Oran, Salamandre, Mostaganem",
abc-18,Hassi Messaoud,30,,,31.690405000000013,6.063696200000002,exact,bank_locator,bank_locator,abc,"02, Hai Masdjid El Atik, Hassi Messaoud, Ouargla 30500",
abc-19,Cité Chaabani,16,,,36.755289,3.029688200000007,exact,bank_locator,bank_locator,abc,"08, Résidence Chaabani, Val d'Hydra",
abc-2,BLIDA,09,,,36.48360519993842,2.827431181159352,exact,bank_locator,bank_locator,abc,"16, Boulevard Mohamed Boudiaf, Blida",
abc-20,Amirouche,16,,,36.7710384,3.058604800000011,exact,bank_locator,bank_locator,abc,"31, Boulevard Colonel Amirouche​",
abc-21,Kouba,16,,,36.7315489,3.088191300000007,exact,bank_locator,bank_locator,abc,"Rue Mohamed Fellah n°28, Rez de chaussée, Kouba",
abc-22,Dar El Beïda,16,,,36.715001300000004,3.2095725000000064,exact,bank_locator,bank_locator,abc,"Rue Khemisti n°32, Dar El Beïda",
abc-23,City Center,16,,,36.72947880000001,3.17836970000001,exact,bank_locator,bank_locator,abc,"Centre Commercial City Center, Lotissement Dozi, Section 01, Groupe de Propriété 318, Bab Ezzouar, Dar El Beïda, Algiers",
abc-24,Staoueli,16,,,36.7602546,2.9872376999999872,approximate,bank_locator,bank_locator,abc,"N°21, Rue Ahmed Ouaked, Dely Ibrahim, Algiers",
abc-25,Birkhadem,16,,,36.71830640000002,3.050481300000012,exact,bank_locator,bank_locator,abc,"03, Rue des Frères Djillali, Birkhadem",
abc-3,BOUIRA,10,,,36.38186521126923,3.890415501599597,exact,bank_locator,bank_locator,abc,"94, Lot Grand Boulevard n°29, Bouira",
abc-4,Bir Mourad Raïs,16,,,36.738483300000006,3.062215299999984,exact,bank_locator,bank_locator,abc,"54, Avenue des Trois Frères Bouadou, Bir Mourad Raïs",
abc-5,Dely Ibrahim,16,,,36.7602546,2.9872376999999872,approximate,bank_locator,bank_locator,abc,"N°21, Rue Ahmed Ouaked, Dely Ibrahim, Algiers",
abc-6,TIZI OUZOU,15,,,36.712296,4.0475935,exact,bank_locator,bank_locator,abc,"05, Rue Haddadou Mohamed Azerki, Tizi Ouzou",
abc-7,BEJAIA,06,,,36.745531200000016,5.050443200000009,exact,bank_locator,bank_locator,abc,"Cité des 41 Logements, Somacob, rue Nacer Boumedaoui, Bejaia",
abc-8,BORDJ BOU ARRERIDJ,34,,,36.069779999999994,4.743621200000016,exact,bank_locator,bank_locator,abc,"Lot Bouda Fatima Zohra n°22, route d’Alger BBA",
abc-9,Setif,19,,,36.19443090000003,5.433438199999987,exact,bank_locator,bank_locator,abc,"Rue Ben Daykha Mouloud n°04, Setif",
agb-adrar,ADRAR,01,,,27.873864,-0.286629,exact,bank_locator,bank_locator,agb,"Rue des martyrs(ex Abdelkader El Djilali) ilot 180 N°32,Adrar",049 36 72 79 / 049 36 72 77
agb-aindefla,AIN DEFLA,44,,,36.264427,1.963983,exact,bank_locator,bank_locator,agb,"Rue Amir Abdelkader, N° 148, Wilaya de Ain Defla",027 50 16 91/027 50 16 92
agb-ainmlila,AIN MLILA,04,,,36.0339,6.57359,exact,bank_locator,bank_locator,agb,Commune Ain Mlila Cité 100 logements Route de Batna n°69 -Oum El Bouaghi.,031 52 49 97 / 031 52 49 96
agb-aintemouchent,AIN TEMOUCHENT,46,,,35.309524151322236,-1.1380917951464653,exact,bank_locator,bank_locator,agb,"Zone urbaine N°01, Rue Mohamed Boudiaf, Ain Timouchent",043 79 58 32 /043 79 58 31
agb-akbou,AKBOU,06,,,36.45706,4.531324,exact,bank_locator,bank_locator,agb,"Zhun nouvelle ville 06001 Akbou, Béjaia",034 36 73 16/034 36 73 17/034 36 73 18
agb-annaba,ANNABA,23,,,36.910271,7.748875,exact,bank_locator,bank_locator,agb,"El Zaafrania, Groupement de propriété 02, Classe 98 - Annaba",038 59 42 30 / 038 59 42 33
agb-annabaseddikbenyahia,Annaba Seddik Ben Yahia,23,,,36.907986,7.760564,exact,bank_locator,bank_locator,agb,"Boulevard du 1er Novembre 1954, N°52, Annaba",038 40 92 66 / 038 40 92 67 / 038 40 92 68
agb-azazga,AZAZGA,15,,,36.746653,4.364464,exact,bank_locator,bank_locator,agb,N° A 0101 Lot n° 28 groupe de propriété n° 29 Boulevard Ahmed Zaidat Ex Ighil Bouzel Azazga - Tizi Ouzou.,026 45 66 78 / 026 45 68 74
agb-babahassen,BABA HASSEN,16,,,36.696849,2.970001,exact,bank_locator,bank_locator,agb,"30, Rue Messahel Mohamed, Alger",023 35 00 99 / 023 35 03 24 / 023 35 07 01
agb-babeloued,BAB EL OUED,16,,,36.788173,3.06265,exact,bank_locator,bank_locator,agb,"22, Avenue du 1er Novembre Casbah, Alger",020 05 00 75 / 020 05 00 63
agb-baraki,Baraki,16,,,36.663923,3.093906,exact,bank_locator,bank_locator,agb,"Lot 64, Route de l'Arbaà Baraki- Alger",0560 20 68 00
agb-batna,BATNA,05,,,35.5368,6.15253,exact,bank_locator,bank_locator,agb,"Lotissement Abdessemed route de Biskra, Batna",033 25 49 44 / 033 25 49 53
agb-bechar,BECHAR,08,,,31.6182492,-2.2143231000000014,exact,bank_locator,bank_locator,agb,"Ex Zone industrielle, Ilot 48, Lotissement n°130 - Bechar.",049 21 52 52
agb-bejaia,BEJAIA,06,,,36.749083,5.05423,exact,bank_locator,bank_locator,agb,"N°13, Boulevard Krim Belkacem, Béjaia",034 16 31 40 / 034 16 31 43
agb-belouizded,BELOUIZDED,16,,,36.758215,3.064,exact,bank_locator,bank_locator,agb,"143 rue Hassiba Ben Bouali, commune de Belouizdad Wilaya d�Alger",044 40 62 30 / 044 40 69 01
agb-birtouta,BIRTOUTA,16,,,36.6411,2.98861,exact,bank_locator,bank_locator,agb,"14, Triangles exhibes, Birtouta, Alger",044 19 85 04 / 044 19 83 54
agb-biskra,BISKRA,07,,,34.844035,5.715188,exact,bank_locator,bank_locator,agb,Cité  SAIHI 2 Route de Touggourt Biskra 07000 - Biskra,033 51 39 01 / 033 51 39 02 / 033 51 39 03
agb-blida,BLIDA,09,,,36.481976,2.836706,exact,bank_locator,bank_locator,agb,"61, Avenue Kritli Mokhtar",025 23 79 47 / 025 23 79 23 / 025 22 46 33
agb-blidabenboulaid,BLIDA Ben Boulaid,09,,,36.494341,2.833559,exact,bank_locator,bank_locator,agb,"Zone Industrielle Ben Boulaid, Lot N°14 - Blida.",025 22 53 57 / 025 22 53 58 /025 22 53 60
agb-bordjbouarreridj,BORDJ BOU ARRERIDJ,34,,,36.0697,4.74285,exact,bank_locator,bank_locator,agb,"25, Rue Houari Boumediene, Bordj Bou Arreridj",044 29 14 35 / 044 29 16 19 / 044 29 18 70
agb-bordjelbahri,BORDJ EL BAHRI,16,,,36.779133,3.240468,exact,bank_locator,bank_locator,agb,"Lotissement 20 Août, N°621 Bordj El Bahri",023 87 18 90 / 023 87 18  92
agb-bouira,BOUIRA,10,,,36.3755,3.88263,exact,bank_locator,bank_locator,agb,"01,  Rue Axe Financier  - Bouira.",026 73 43 83 / 026 73 44 02
agb-boumerdes,BOUMERDES,35,,,36.750579,3.473218,exact,bank_locator,bank_locator,agb,"Hai Driche, n°8 - Boumerdès.",024 79 96 03 / 024 79 96 04
agb-chlef,Chlef ,02,,,36.167129,1.334756,exact,bank_locator,bank_locator,agb,"46, Boulevard des Martyrs, Chlef",020 64 23 88 / 020 64 25 23
