id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,operator_id,operator,network,line,terminus1,terminus2,stops,major_stops,service_hours,departure_schedules,route_diagram_url,communes_served,stations_served,shape_id,osm_relation_ids,source_refs,source_url,terminus1_fr,terminus1_ar,terminus2_fr,terminus2_ar
etusl-laghouat-02,Ligne 02 — Cité El Mousalaha,Ligne 02 — Cité El Mousalaha,الخط رقم 02 — حي المصالحة,03,,,,,,,etul-laghouat,etusl-laghouat,ETUL Laghouat,Laghouat,02,,,,,[],[],,[],[],,[],"[""etul-laghouat""]",,,,,
etusl-laghouat-04,Ligne 04 — El Wahat Ech Chamalia,Ligne 04 — El Wahat Ech Chamalia,الخط رقم 04 — الواحات الشمالية,03,,,,,,,etul-laghouat,etusl-laghouat,ETUL Laghouat,Laghouat,04,,,,,[],[],,[],[],,[],"[""etul-laghouat""]",,,,,
etusl-laghouat-05,Ligne 05 — El Wiam,Ligne 05 — El Wiam,الخط رقم 05 — الوئام,03,,,,,,,etul-laghouat,etusl-laghouat,ETUL Laghouat,Laghouat,05,,,,,[],[],,[],[],,[],"[""etul-laghouat""]",,,,,
etusl-laghouat-07,Ligne 07 — Boukhenfous,Ligne 07 — Boukhenfous,الخط رقم 07 — بوخنفوس,03,,,,,,,etul-laghouat,etusl-laghouat,ETUL Laghouat,Laghouat,07,,,,,[],[],,[],[],,[],"[""etul-laghouat""]",,,,,
etus-oeb-01,Ligne 01,,,04,,,,,,,etus-oeb,etus-oeb,ETUS Oum El Bouaghi,Oum El Bouaghi,01,Nouvelle cité des logements sociaux,Cité El Kmine,,,[],[],,[],[],,[],"[""etus-oeb""]",,Nouvelle cité des logements sociaux,الحي الجديد للسكنات الاجتماعية,Cité El Kmine,حي الكمين
etus-oeb-02,Ligne 02,,,04,,,,,,,etus-oeb,etus-oeb,ETUS Oum El Bouaghi,Oum El Bouaghi,02,Station urbaine,Cité des logements AADL,,,[],[],,[],[],,[],"[""etus-oeb""]",,Station urbaine,المحطة الحضرية,Cité des logements AADL,حي سكنات عدل
etus-oeb-03,Ligne 03,,,04,,,,,,,etus-oeb,etus-oeb,ETUS Oum El Bouaghi,Oum El Bouaghi,03,Station urbaine,Gare routière,,,[],[],,[],[],,[],"[""etus-oeb""]",,Station urbaine,المحطة الحضرية,Gare routière,محطة نقل المسافرين
etus-oeb-04,Ligne 04,,,04,,,,,,,etus-oeb,etus-oeb,ETUS Oum El Bouaghi,Oum El Bouaghi,04,Station urbaine,Maison de jeunes,,,[],[],,[],[],,[],"[""etus-oeb""]",,Station urbaine,المحطة الحضرية,Maison de jeunes,دار الشباب
etus-oeb-05,Ligne 05,,,04,,,,,,,etus-oeb,etus-oeb,ETUS Oum El Bouaghi,Oum El Bouaghi,05,Station urbaine,Cité Mohamed Lakhdar (Bir Terch),,,[],[],,[],[],,[],"[""etus-oeb""]",,Station urbaine,المحطة الحضرية,Cité Mohamed Lakhdar (Bir Terch),حي محمد لخضر (بير الترش)
etus-bejaia-1,Ligne 1,,,06,,,,,,,etus-bejaia,etus-bejaia,ETUS Béjaïa,Béjaïa,1,GARE ROUTIERE,ADRAR OUFARNOU,,6,"[{""days"":[""saturday"",""sunday"",""monday"",""tuesday"",""wednesday"",""thursday""],""first_departure"":""06:30"",""last_departure"":""18:20"",""operates"":true,""period"":""regular""},{""days"":[""friday""],""first_departure"":null,""last_departure"":null,""operates"":false,""period"":""friday""}]",[],,[],[],,[],"[""etus-bejaia""]",https://etusbejaia.dz/ligne1/,,,,
etus-bejaia-2,Ligne 2,,,06,,,,,,,etus-bejaia,etus-bejaia,ETUS Béjaïa,Béjaïa,2,GARE ROUTIERE,UNIVERSITE,12,,"[{""days"":[""saturday"",""sunday"",""monday"",""tuesday"",""wednesday"",""thursday""],""first_departure"":""05:50"",""last_departure"":""18:50"",""operates"":true,""period"":""regular""},{""days"":[""friday""],""first_departure"":""06:15"",""last_departure"":""18:05"",""operates"":true,""period"":""friday""}]",[],,[],[],,[],"[""etus-bejaia""]",https://etusbejaia.dz/ligne2/,,,,
etus-bejaia-3,Ligne 3,,,06,,,,,,,etus-bejaia,etus-bejaia,ETUS Béjaïa,Béjaïa,3,GARE ROUTIERE,BVD AMIROUCHE,10,,"[{""days"":[""sunday"",""monday"",""tuesday"",""wednesday"",""thursday""],""first_departure"":""05:50"",""last_departure"":""18:50"",""operates"":true,""period"":""regular""},{""days"":[""friday""],""first_departure"":""06:15"",""last_departure"":""18:05"",""operates"":true,""period"":""friday""},{""days"":[""saturday""],""first_departure"":""06:00"",""last_departure"":""18:50"",""operates"":true,""period"":""saturday""}]",[],,[],[],,[],"[""etus-bejaia""]",https://etusbejaia.dz/ligne3/,,,,
etus-bejaia-4,Ligne 4,,,06,,,,,,,etus-bejaia,etus-bejaia,ETUS Béjaïa,Béjaïa,4,GARE ROUTIERE,SIDI AHMED,14,,"[{""days"":[""saturday"",""sunday"",""monday"",""tuesday"",""wednesday"",""thursday""],""first_departure"":""05:50"",""last_departure"":""18:30"",""operates"":true,""period"":""regular""},{""days"":[""friday""],""first_departure"":""07:00"",""last_departure"":""18:30"",""operates"":true,""period"":""friday""}]",[],,[],[],,[],"[""etus-bejaia""]",https://etusbejaia.dz/ligne4/,,,,
