id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,osm_type,osm_id,operator_ids,line_ids,wilaya_method,roles,highway,public_transport
osm-node-10028487216,Université de Mostaganem,,,27,,,35.931276,0.088424,exact,osm_node,osm,"{""osm"":""node/10028487216""}",node,10028487216,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10028500906,Cour de la Culture,,,27,,,35.925086,0.07818,exact,osm_node,osm,"{""osm"":""node/10028500906""}",node,10028500906,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10028502217,Cité CIA,,,27,,,35.923087,0.078083,exact,osm_node,osm,"{""osm"":""node/10028502217""}",node,10028502217,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10028502218,Cité 400 Logements,Cité 400 Logements,,27,,,35.927029,0.079695,exact,osm_node,osm,"{""osm"":""node/10028502218""}",node,10028502218,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10028502219,,,,27,,,35.927998,0.081973,exact,osm_node,osm,"{""osm"":""node/10028502219""}",node,10028502219,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10028502220,Beaux Arts,,,27,,,35.929243,0.082826,exact,osm_node,osm,"{""osm"":""node/10028502220""}",node,10028502220,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10028502221,SAA,,,27,,,35.930593,0.083715,exact,osm_node,osm,"{""osm"":""node/10028502221""}",node,10028502221,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10028502222,,,,27,,,35.931758,0.087226,exact,osm_node,osm,"{""osm"":""node/10028502222""}",node,10028502222,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10028502223,Cheikh Ibn Eddine,,,27,,,35.931594,0.090788,exact,osm_node,osm,"{""osm"":""node/10028502223""}",node,10028502223,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10029708051,Ben Haoua,,,27,,,35.921123,0.102923,exact,osm_node,osm,"{""osm"":""node/10029708051""}",node,10029708051,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10029708052,Cité 5 Juillet - Centre,,,27,,,35.920492,0.099452,exact,osm_node,osm,"{""osm"":""node/10029708052""}",node,10029708052,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10029741252,Route Oued Ain Sefra,,,27,,,35.931637,0.092225,exact,osm_node,osm,"{""osm"":""node/10029741252""}",node,10029741252,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741253,Pont du 17 Octobre,,,27,,,35.931345,0.091221,exact,osm_node,osm,"{""osm"":""node/10029741253""}",node,10029741253,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741254,Protection Civile الحماية المدنية,Protection Civile,الحماية المدنية,27,,,35.931738,0.087208,exact,osm_node,osm,"{""osm"":""node/10029741254""}",node,10029741254,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741255,SAA,,,27,,,35.930582,0.08375,exact,osm_node,osm,"{""osm"":""node/10029741255""}",node,10029741255,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741256,Beaux Arts,,,27,,,35.92923,0.08286,exact,osm_node,osm,"{""osm"":""node/10029741256""}",node,10029741256,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741257,,,,27,,,35.927981,0.082005,exact,osm_node,osm,"{""osm"":""node/10029741257""}",node,10029741257,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741258,Cité CIA,,,27,,,35.923111,0.078075,exact,osm_node,osm,"{""osm"":""node/10029741258""}",node,10029741258,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741259,Cour de la Culture,,,27,,,35.925082,0.078143,exact,osm_node,osm,"{""osm"":""node/10029741259""}",node,10029741259,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741260,Cité 400 Logements,Cité 400 Logements,,27,,,35.927038,0.079664,exact,osm_node,osm,"{""osm"":""node/10029741260""}",node,10029741260,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741261,,,,27,,,35.928006,0.081943,exact,osm_node,osm,"{""osm"":""node/10029741261""}",node,10029741261,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741262,Beaux Arts,,,27,,,35.929251,0.082794,exact,osm_node,osm,"{""osm"":""node/10029741262""}",node,10029741262,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741263,SAA,,,27,,,35.9306,0.083684,exact,osm_node,osm,"{""osm"":""node/10029741263""}",node,10029741263,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741264,Université de Mostaganem,,,27,,,35.931297,0.088443,exact,osm_node,osm,"{""osm"":""node/10029741264""}",node,10029741264,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029741265,Cheikh Ibn Eddine,,,27,,,35.931618,0.090783,exact,osm_node,osm,"{""osm"":""node/10029741265""}",node,10029741265,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""platform""]",,platform
osm-node-10029752162,Cité 5 Juillet,,,27,,,35.916853,0.102743,exact,osm_node,osm,"{""osm"":""node/10029752162""}",node,10029752162,"[""etus-mostaganem""]","[""etus-mostaganem-1""]",point_in_wilaya,"[""stop""]",bus_stop,stop_position
osm-node-10035219305,GR ETUS,,,19,,,36.185405,5.392108,exact,osm_node,osm,"{""osm"":""node/10035219305""}",node,10035219305,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform_entry_only""]",bus_stop,platform
osm-node-10035219306,Samu ETUS,Samu ETUS,,19,,,36.181595,5.398524,exact,osm_node,osm,"{""osm"":""node/10035219306""}",node,10035219306,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035219307,Samu bus stop,,,19,,,36.181595,5.39866,exact,osm_node,osm,"{""osm"":""node/10035219307""}",node,10035219307,"[""etus-setif""]","[""etus-setif-101"",""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035219308,Mahdi ETUS,Mahdi ETUS,,19,,,36.180311,5.402226,exact,osm_node,osm,"{""osm"":""node/10035219308""}",node,10035219308,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035219309,Guessab bus stop,,,19,,,36.180242,5.402314,exact,osm_node,osm,"{""osm"":""node/10035219309""}",node,10035219309,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035219311,Guessab bus stop,,,19,,,36.183051,5.404642,exact,osm_node,osm,"{""osm"":""node/10035219311""}",node,10035219311,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035219312,Guessab ETUS,,,19,,,36.186695,5.409788,exact,osm_node,osm,"{""osm"":""node/10035219312""}",node,10035219312,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035219313,Guessab bus stop,,,19,,,36.186704,5.409748,exact,osm_node,osm,"{""osm"":""node/10035219313""}",node,10035219313,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
