id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,sector,speciality,address,phone,opening_hours,emergency
01-00001,عياد متعددة الخدمات إن زغمير,Polyclinique In Zghmir,عياد متعددة الخدمات إن زغمير,01,0105,In Zghmir,27.109726,-0.122163,exact,osm_node,osm,"{""osm"":""node/11119062179""}",polyclinique,Polyclinique,عيادة متعددة الخدمات,public,,,,,
01-00002,,,,01,0101,Adrar,27.880889,-0.25925,exact,osm_node,osm,"{""osm"":""node/12585903301""}",clinique,Clinique,عيادة / مصحة,,,المجاهد عبد الكريم بودرغومة,,,
01-00003,Clinique SEDJRARI,Clinique SEDJRARI,,01,0112,Aoulef,26.980484,1.079725,exact,osm_node,osm,"{""osm"":""node/13955215776""}",clinique,Clinique,عيادة / مصحة,,,aoulef,,,
01-00004,Clinique BEN TAYEB,Clinique BEN TAYEB,,01,0112,Aoulef,26.974798,1.079664,exact,osm_node,osm,"{""osm"":""node/3017020116""}",clinique,Clinique,عيادة / مصحة,,,aoulef,,,
01-00005,مصلحة الوقاية والطب الوقائي,SEMEP,مصلحة الوقاية والطب الوقائي,01,0101,Adrar,27.871525,-0.282852,exact,osm_node,osm,"{""osm"":""node/3617968695""}",clinique,Clinique,عيادة / مصحة,,,أدرار,,,
01-00006,قاعة علاج بني وازل,Salle de soins Beni-Ouazel,قاعة علاج بني وازل ودة المنصور,01,0122,Bouda,27.96345,-0.4253,exact,osm_node,osm,"{""osm"":""node/3620491669""}",salle_de_soins,Salle de soins / dispensaire,قاعة علاج / مستوصف,public,,,,,
01-00007,العيادة متعددة الخدمات بودة المنصور,Polyclinique Bouda El-Mansour,العيادة متعددة الخدمات بودة المنصور,01,0122,Bouda,27.955481,-0.424646,exact,osm_node,osm,"{""osm"":""node/3620502356""}",polyclinique,Polyclinique,عيادة متعددة الخدمات,public,,,,,
01-00008,قاعة علاج بودة بندراعو,Salle de soins Bouda Bendraaou,قاعة علاج بودة بندراعو,01,0122,Bouda,28.009208,-0.426443,exact,osm_node,osm,"{""osm"":""node/3620548260""}",salle_de_soins,Salle de soins / dispensaire,قاعة علاج / مستوصف,public,,,,,
01-00009,Polyclinique Tlilène,Polyclinique Tlilène,عيادة متعددة الخدمات تيليلان,01,0101,Adrar,27.88347,-0.263616,exact,osm_node,osm,"{""osm"":""node/3791136159""}",polyclinique,Polyclinique,عيادة متعددة الخدمات,public,,,,24/7,
01-00010,العيادة الجديدة رقان,Nouvelle Polyclinique Reggan,العيادة الجديدة رقان,01,0104,Reggane,26.711536,0.176223,exact,osm_node,osm,"{""osm"":""node/4200950589""}",polyclinique,Polyclinique,عيادة متعددة الخدمات,public,,رقان,,,
