id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,address,hours,code_ouverture
01-001,ADRAR,01,0101,Adrar,27.87194,-0.28569,exact,operator_point,djezzy,"{""djezzy"":""Z56""}",boutique,C,"Groupe 74, Prés souk Dinar Tayeb, Adrar.",08H00 - 18H00,
02-001,Chlef - BEN BADIS,02,0201,Chlef,36.16546,1.33688,exact,operator_point,djezzy,"{""djezzy"":""Z22""}",boutique,,Bvd Abdelhamid BEN BADIS N° 14 Chlef,08H00-19H00,
02-002,Chlef - Boukadir,02,0212,Boukadir,36.06503,1.12677,exact,operator_point,djezzy,"{""djezzy"":""Z95""}",boutique,,"Cité 50 Logements, Commune Boukadir – Chlef",08H00-18H00,
02-003,Chlef - Chéttia,02,0210,Ouled Fares,36.19799,1.26206,exact,operator_point,djezzy,"{""djezzy"":""ZA5""}",boutique,,"Zone 05 N° 271, Commune Chéttia, Daïra Oulad Farés, Wilaya de Chlef",08H00-18H00,
03-001,Laghouat - Emir Abdelkader,03,0301,Laghouat,33.80728,2.88147,exact,operator_point,djezzy,"{""djezzy"":""Z45""}",boutique,,"Rue Emir Abdelkader, Laghouat.",08H00-18H30,
04-001,Oum El Bouaghi - 18 Février,04,0401,Oum El Bouaghi,35.86962,7.11643,exact,operator_point,djezzy,"{""djezzy"":""Z33""}",boutique,C,"18, Boulevard du 18 Février, OEB.",08H00 - 18H00,O37B001
04-002,Oum El Bouaghi - AÏN BEÏDA,04,0402,Ain Beida,35.79732,7.39205,exact,operator_point,djezzy,"{""djezzy"":""Z80""}",boutique,C,"Rue khafeche Abdellah, Villa N°3, Aïn El Beïda, Oum El Bouaghi",09H00 - 18H00,C04B002
04-003,Oum El Bouaghi - Aïn M’lila,04,0403,Ain M'lila,36.03935,6.56905,exact,operator_point,djezzy,"{""djezzy"":""ZF3""}",boutique,,"10 Cité 01 Mai, Aïn M’lila - Oum El Bouaghi",08H00 - 18H00,
05-001,Batna - Centre,05,0501,Batna,35.54911,6.17217,exact,operator_point,djezzy,"{""djezzy"":""Z23""}",boutique,,"55 bis, Route de Biskra, Batna.",08H00-20H00,
06-001,Béjaia - Akbou,06,0625,Akbou,36.45577,4.53582,exact,operator_point,djezzy,"{""djezzy"":""Z66""}",boutique,C,"Rue Aïssat Idir, Guendouza, R.N 26, Akbou, Béjaïa.",08H00-19H00,A06B002
06-002,Béjaia - Kherata,06,0644,Kherrata,36.49134,5.27866,exact,operator_point,djezzy,"{""djezzy"":""ZA8""}",boutique,,"Route national 05, Kherrata- Béjaia",08H00-18H00,
06-003,Béjaia - Ihadeden,06,0601,Bejaia,36.74188,5.04545,exact,operator_point,djezzy,"{""djezzy"":""ZC9""}",boutique,,"Laazib Oumaamar Ihadeden, Bejaia.",08H00-20H00,
07-001,BISKRA - Centre commercial El Khir,07,0701,Biskra,34.85636,5.72389,exact,operator_point,djezzy,"{""djezzy"":""Z31""}",boutique,B,Centre commercial El Khir sis 03 avenue frères Saouli Biskra,08H00-19H00,C07B001
08-001,BECHAR,08,0801,Bechar,31.61366,-2.21709,exact,operator_point,djezzy,"{""djezzy"":""Z44""}",boutique,B,"56, Rue Slimane Belkhedim, Béchar.",08H00 - 18H00,O08B001
09-001,Blida - place Zabana,09,0901,Blida,36.47498,2.82818,exact,operator_point,djezzy,"{""djezzy"":""Z17""}",boutique,A,"38, Boulevard Larbi Tebessi, place Zabana, Blida.",08H00-19H30,A09B001
09-002,Blida - Boufarik,09,0916,Boufarik,36.57347,2.91213,exact,operator_point,djezzy,"{""djezzy"":""Z73""}",boutique,,"31, BOULEVARD MOUKHTARI, BOUFARIK, BLIDA.",08H00-18H00,
