id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,cycle,cycle_label_fr,cycle_label_ar,kind,kind_label_fr,kind_label_ar,isced_levels,sector,address
01-00001,مدرسة الشيخ الحاج أحمد المغيلي,École Cheikh El Hadj Ahmed El Maghili,مدرسة الشيخ الحاج أحمد المغيلي,01,0105,In Zghmir,27.109589,-0.125765,exact,osm_node,osm,"{""osm"":""node/10022159975""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00002,المدرسة الابتدائية قصر بوعمور,École primaire baamour,المدرسة الابتدائية قصر بوعمور,01,0114,Tamantit,27.496138,-0.282961,exact,osm_node,osm,"{""osm"":""node/3392414278""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,قصر بوعمور
01-00003,متوسطة ميمون,CEM MIMOUN,متوسطة ميمون,01,0101,Adrar,27.87978,-0.350751,exact,osm_node,osm,"{""osm"":""node/3620493453""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,,,
01-00004,متوسطة المنصور,CEM EL-MANSOUR,متوسطة المنصور,01,0122,Bouda,27.956262,-0.420746,exact,osm_node,osm,"{""osm"":""node/3620493454""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,,,
01-00005,ابتدائية بودة المنصور,Primaire Bouda El-Mansour,ابتدائية بودة المنصور,01,0122,Bouda,27.958456,-0.4331,exact,osm_node,osm,"{""osm"":""node/3620531408""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00006,ثانوية بودة,Lycee Bouda,ثانوية بودة,01,0122,Bouda,28.004439,-0.420003,exact,osm_node,osm,"{""osm"":""node/3620544368""}",secondaire,Lycée,ثانوية,regular,École ordinaire,مدرسة عادية,,,
01-00007,مركز التكوين المهني بودة بندراعو,Centre de Formation Professionelle Bouda Bendraaou,مركز التكوين المهني بودة بندراعو,01,0122,Bouda,28.005959,-0.423803,exact,osm_node,osm,"{""osm"":""node/3620548221""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),formation,Centre de formation,مركز تكوين,,,
01-00008,Lycée Belkine,Lycée Belkine,ثانوية بلكين,01,0101,Adrar,27.877626,-0.28554,exact,osm_node,osm,"{""osm"":""node/3895765392""}",secondaire,Lycée,ثانوية,regular,École ordinaire,مدرسة عادية,,,
01-00009,ابتدائية النهضة,Ecole Ennahda,ابتدائية النهضة,01,0101,Adrar,27.871169,-0.277217,exact,osm_node,osm,"{""osm"":""node/3903618834""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00010,سيد الشريف,Sid Cherif,سيد الشريف,01,0118,Sali,26.970589,-0.040721,exact,osm_node,osm,"{""osm"":""node/4428470091""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00011,جمعية الارشاد و الاصلاح لرعاية الاطفال,Association Irchad et Islah,جمعية الارشاد و الاصلاح لرعاية الاطفال,01,0101,Adrar,27.876148,-0.30332,exact,osm_node,osm,"{""osm"":""node/4485844989""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00012,,,,01,0112,Aoulef,26.94152,1.490184,exact,osm_node,osm,"{""osm"":""node/4699488671""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00013,ابتدائية عقبة بن نافع الفهري,École primaire Oqba Ibn Nafi al-Fihri,ابتدائية عقبة بن نافع الفهري,01,0101,Adrar,27.867592,-0.305949,exact,osm_node,osm,"{""osm"":""node/4959980121""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,"شارع المعلمين, أدرار"
01-00014,زاوية الشيخ عبد الكبير بلكبير,Zaouia Cheikh Abdel Kabir,زاوية الشيخ عبد الكبير بلكبير,01,0122,Bouda,28.02512,-0.459513,exact,osm_node,osm,"{""osm"":""node/6586304085""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,قصر لغمارة
01-00015,المدرسة القرآنية عبد الكبير بن لكبير,École Coranique,المدرسة القرآنية عبد الكبير بن لكبير,01,0122,Bouda,28.018432,-0.447731,exact,osm_node,osm,"{""osm"":""node/7326458485""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),coranique,École coranique,مدرسة قرآنية,,,لغمارة
01-00016,روضة صبا لاستقبال الاطفال,Creche Seba,روضة صبا لاستقبال الاطفال,01,0101,Adrar,27.881418,-0.270798,exact,osm_node,osm,"{""osm"":""node/8048299486""}",prescolaire,Préscolaire / maternelle,روضة / تعليم تحضيري,regular,École ordinaire,مدرسة عادية,,,"19 Cité 64 logts tililan, 01000"
01-00017,Ecole Primaire Elakarafi,Ecole Primaire Elakarafi,,01,0112,Aoulef,26.972237,1.082506,approximate,osm_centroid,osm,"{""osm"":""relation/11371804""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
