id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,code,address,phone,fax,email,manager,communes
01-01,ALEM ADRAR,01,,,27.87609,-0.30196,exact,anem,anem,ALEM,0101,"Cité administrative,route de l'aeroport-sidi Mohammed ben lekbir",(049) 364 - 433,(049) 364 - 433,alem.adrar@anem.dz,BELBALI ABDELAZIZ,"ADRAR,BOUDA,FENOUGHIL,OULED AHMED TIMI,SEBAA,TAMENTIT,TAMEST,TSABIT"
01-02,ALEM REGGANE,01,,,26.71627,0.17441,exact,anem,anem,ALEM,0102,Hai Saada - Reggane,(049) 320 - 373,(049) 320 - 372,alem.reggane@anem.dz,BELHADJ ABBELKADER,"REGGANE,SALI"
01-03,ALEM AOULEF,01,,,26.9682,1.08735,exact,anem,anem,ALEM,0104,rue de l'independance hai Zaouit Hainoun Awlef,(049) 328 - 767,(049) 328 - 713,alem.aoulef@anem.dz,ABBASSI ABDELKADER,"AKABILI,AOULEF,TIMOKTEN,TIT"
01-04,ALEM ZAOUIET KOUNTA,01,,,27.22796,-0.19114,exact,anem,anem,ALEM,0106,Ex siège de la Daïra – Zaouiet Kounta,(049) 974 - 997,(049) 974 - 997,alem.zaouitkount@anem.dz,BAJINE ABDELOUAHED,"IN ZEGMIR,ZAOUIET KOUNTA"
02-01,ALEM CHLEF,02,,,36.16515,1.33711,exact,anem,anem,ALEM,0201,"RUE, MARTYR ARIF MAAMAR-CHLEF",(027) 777 - 611,(027) 773 - 772,alem.chlef@anem.dz,BENAIDA NOURREDDINE,"CHLEF,OUM DROU,SENDJAS"
02-02,ALEM BOUKADIR,02,,,36.06787,1.12432,exact,anem,anem,ALEM,0202,Cité Halima SaLEM - Boukadir,(027) 740 - 125,(027) 740 - 018,alem.boukadir@anem.dz,ZOUGAR DJILALI,"AIN MERANE,BOUKADIR,DAHRA,EL HADJADJ,HERENFA,OUED SLY,OULED BEN ABDELKADER,SOBHA,TAOUGRITE"
02-03,ALEM TENES,02,,,36.50689,1.29658,exact,anem,anem,ALEM,0203,"Lot N° 03, Route de l'hôpital - Tenes",(027) 769 - 734,(027) 767 - 632,alem.tenes@anem.dz,BENGHALIA MUSTAPHA,"ABOU EL HASSEN,BENI HAOUA,BREIRA,EL MARSA,MOUSSADEK,OUED GHOUSSINE,SIDI ABDERRAHMANE,SIDI AKKACHA,TALASSA,TENES"
02-04,ALEM CHETTIA,02,,,36.17839,1.2561,exact,anem,anem,ALEM,0204,Cité Bertali - Chettia,(027) 732 - 660,(027) 731 - 770,alem.chettia@anem.dz,GRIBI MOHAMED,"BENAIRIA,BOUZEGHAIA,CHETTIA,LABIODH MEDJADJA,OULED FARES,TADJENA,ZEBOUDJA"
02-05,ALEM OUED FODDA,02,,,36.18287,1.5298,exact,anem,anem,ALEM,0205,Cité du 1er Novembre  - Oued Fodda,(027) 447 - 351,,alem.ouedfodda@anem.dz,HALIMI HAMID,"BENI BOUATTAB,BENI RACHED,EL KARIMIA,HARCHOUN,OUED FODDA,OULED ABBES"
03-01,ALEM LAGHOUAT,03,,,33.80974,2.85397,exact,anem,anem,ALEM,0301,Cité des 500 Logts - Laghouat,(029) 105 - 525,(029) 105 - 519,alem.laghouat@anem.dz,BOUKERNAFA YASSINE,"AIN MADHI,EL ASSAFIA,EL HAOUAITA,KHENEG,LAGHOUAT,SIDI MAKHLOUF,TADJEMOUT,TADJROUNA"
