id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,code,address,phone,fax,email,manager
01,AWEM Adrar,01,,,27.87609,-0.30196,exact,anem,anem,AWEM,0100,Ancien siege de la wilaya - ADRAR,(049) 361 - 248,(049) 361 - 248,awem.adrar@anem.dz,BENMEBARKA MUSTAPHA
02,AWEM Chlef,02,,,36.16515,1.33711,exact,anem,anem,AWEM,0200,Cité MEDAHI - CHLEF,(027) 775 - 507,(027) 775 - 551,awem.chlef@anem.dz,REFES ABDELKADER
03,AWEM LAGHOUAT,03,,,33.47402,2.51436,exact,anem,anem,AWEM,0300,Cite Maamoura – Laghouat,(029) 105 - 516,(029) 105 - 516,awem.laghouat@anem.dz,KORIBI FATIMA
04,AWEM OUM EL BOUAGHI,04,,,35.87428,7.09317,exact,anem,anem,AWEM,0400,cité 400 logements LSP URBACO nouvelle ville Oum El Bouaghi,(032) 541 - 578,(032) 541 - 578,awem.oumelbouaghi@anem.dz,KESSAM ZEHIRA
05,AWEM BATNA,05,,,35.55542,6.17239,exact,anem,anem,AWEM,0500,Avenue GRINE Belkacem - Batna,(033) 853 - 598,(033) 853 - 598,awem.batna@anem.dz,MALKI LKHLOUFI
06,AWEM BEJAIA,06,,,36.7451,5.04821,exact,anem,anem,AWEM,0600,Centre d’Affaires « Big Center » 6ème étage - Bd Krim Belkacem Béjaia,(034) 113 - 309,(034) 113 - 147,awem.bejaia@anem.dz,HAMEDI AOUATEF
07,AWEM BISKRA,07,,,34.84556,5.69976,exact,anem,anem,AWEM,0700,Cité Dalli ALI KHOUDJA - Zgag Ben Ramdane - BISKRA,(033) 619 - 687,(033) 619 - 687,awem.biskra@anem.dz,GUESSAM Zahira
08,AWEM BECHAR,08,,,31.59196,-2.24117,exact,anem,anem,AWEM,0800,La Zone Bleue B.P 498 RDC - Béchar,(049) 216 - 856,(049) 216 - 856,awem.bechar@anem.dz,CHAFAA BELAID ABDELGHANI
09,AWEM BLIDA,09,,,36.48,2.84,approximate,anem,anem,AWEM,0900,Cité des 402 logt -  Ouled –Yaich - Blida,(025) 225 - 777,(025) 225 - 776,awem.blida@anem.dz,SELLAMI Ahmed
10,AWEM BOUIRA,10,,,36.37845,3.90231,exact,anem,anem,AWEM,,01 rue Med Zammoum - Bouira,(026) 730 - 891,(026) 730 - 891,awem.bouira@anem.dz,DIAB DJEFFAL MOURAD
11,AWEM TAMANRASSET,11,,,22.7938,5.53933,exact,anem,anem,AWEM,,Centre ville Tamanrasset,(029) 303 - 490,(029) 303 - 519,awem.tamanrasset@anem.dz,OUGACEM MOHAMMED SALAH
12,AWEM TEBESSA,12,,,35.40783,8.09316,exact,anem,anem,AWEM,,hai sekanska - face à la direction de l'environnement,(037) 502 - 149,(037) 502 - 151,awem.tebessa@anem.dz,HEDADJI KHALED
13,AWEM TLEMCEN,13,,,34.87746,-1.35599,exact,anem,anem,AWEM,,Cité administrative BOUHANAK,(043) 381 - 608,(043) 381 - 620,awem.tlemcen@anem.dz,ZIANI Mohamed
14,AWEM TIARET,14,,,35.36598,1.33292,exact,anem,anem,AWEM,,Cité du nouveau stade –les préfabriqués - Tiaret,(046) 255 - 486,(046) 255 - 477,awem.tiaret@anem.dz,DAHMANI ABDELBAKI
15,AWEM TIZI OUZOU,15,,,36.7107,4.05185,exact,anem,anem,AWEM,,01 boulevard Haddadou Med Arezki  Tizi Ouzou,(026) 127 - 034,(026) 122 - 017,awem.tiziouzou@anem.dz,RAMDANI YACINE
16,AWEM ALGER,16,,,36.73447,2.9941,exact,anem,anem,AWEM,,Cité AADL- 527 Logts – Tour 06 – El Achour,(021) 367 - 057,(021) 333 - 515,awem.alger@anem.dz,FARES AISSA
17,AWEM DJELFA,17,,,34.65882,3.26299,exact,anem,anem,AWEM,,Cité 05 juillet -Cite administratif- Djelfa,(027) 936- 640,(027) 936- 640,awem.djelfa@anem.dz,OUALHI MOHAMED EL MAAMOUNE
18,AWEM JIJEL,18,,,36.80823,5.7804,exact,anem,anem,AWEM,,3éme Kilomètre – route de Constantine – Jijel,(034) 475 - 050,(034) 473 - 634,awem.jijel@anem.dz,TIZRARINE YAZID
19,AWEM SETIF,19,,,36.18802,5.43368,exact,anem,anem,AWEM,,Cité Administrative - Ain Tebinet - Sétif,(036) 621 - 009,(036) 621 - 009,awem.setif@anem.dz,AMRANI MEROUANE
20,AWEM SAIDA,20,,,34.84,0.15,approximate,anem,anem,AWEM,,Cité lardjene EX ETRAVIA saida,(048) 431 - 000,(048)431-000,awem.saida@anem.dz,BABEKER HAMZA
21,AWEM SKIKDA,21,,,36.86543,6.9007,exact,anem,anem,AWEM,2100,"02, Rue des Freres Soltane - Skikda",(038) 754 - 193,(038) 754 - 193,awem.skikda@anem.dz,LECHKHAB ABDELAZIZ
22,AWEM SIDI BEL ABBES,22,,,35.20866,-0.6169,exact,anem,anem,AWEM,,CPR –  Sidi BelAbbés,(048) 714 - 213,(048) 714 - 213,awem.sidibelabbes@anem.dz,ZITOUNI SARAH
23,AWEM ANNABA,23,,,36.88928,7.71869,exact,anem,anem,AWEM,,Cité 500 Lgts Locaux 89/90 Plaine Ouest,(038) 412 - 623,(038) 412 - 623,awem.annaba@anem.dz,ZIROURI MOHAMED LAMINE
24,AWEM GUELMA,24,,,36.47305,7.4251,exact,anem,anem,AWEM,,Rue Medjadli Hocine - Guelma,(037) 144 - 038,(037) 144 - 266,awem.guelma@anem.dz,BENADOUDA ISSAM
25,AWEM CONSTANTINE,25,,,36.35951,6.60522,exact,anem,anem,AWEM,,01 rue Kamel Ben Djellit - Constantine,(031) 932 - 414,(031) 921 - 953,awem.constantine@anem.dz,ZERKOUT DJAMEL
26,AWEM MEDEA,26,,,36.26597,2.79198,exact,anem,anem,AWEM,,200 locaux Commerciaux Pôle Urbain Ain d,(025) 785 - 268,(025) 785 - 269,awem.medea@anem.dz,BOURAHDOUN SALIM
27,AWEM MOSTAGANEM,27,,,35.9345,0.08722,exact,anem,anem,AWEM,,SIEGE DE LA WILAYA - MOSTAGANEM,(045) 353 - 575,(045) 353 - 575,awem.mostaganem@anem.dz,BEZZINA SALAHEDDINE
28,AWEM M'SILA,28,,,35.71288,4.53414,exact,anem,anem,AWEM,,Route de Ichbilia en face de la cité 600 logts - M’sila,(035) 338 - 437,(035) 338 - 437,awem.msila@anem.dz,BAAZIZ SAADEDDINE
29,AWEM MASCARA,29,,,35.39861,0.13938,exact,anem,anem,AWEM,2900,Avenue Bahloul Djillali Mascara,(045) 721-947,(045) 721-947,awem.mascara@anem.dz,ABBAS FETHALLAH
30,AWEM OUARGLA,30,,,31.94209,5.32694,exact,anem,anem,AWEM,3000,Rue Bensayeh Mohamed - Zone Industrielle - Ouargla,(029) 714 -  228,(Non renseigné),awem.ouargla@anem.dz,KOUICI MAMAR
31,AWEM ORAN,31,,,35.71,-0.61,approximate,anem,anem,AWEM,,Cite Administrative - Aboubakr Belkaid - Bir El Djir,(041) 839 - 303,(041) 839 - 303,awem.oran@anem.dz,CHELEF ABDELKRIM
32,AWEM EL BAYADH,32,,,33.66854,1.03422,exact,anem,anem,AWEM,3200,Nouvelle ville Administrative  route Aflou - El Bayadh,(049) 604 - 774,(049) 604 - 787,awem.elbayadh@anem.dz,MEBARKI Boumediene
33,AWEM ILLIZI,33,,,26.50945,8.47228,exact,anem,anem,AWEM,,Cité de la nouvelle ville - Illizi,(029) 404 - 039,(029) 404 - 038,awem.illizi@anem.dz,BEN OUMHANI ADDERAHMENE
34,AWEM BORDJ BOU ARRERIDJ,34,,,36.07457,4.76281,exact,anem,anem,AWEM,,Rue Mebarkia Ismail - Bordj Bou Arreridj,(035) 748 - 296,(035) 748 - 356,awem.bba@anem.dz,HAMMOUDI NASREDDINE
35,AWEM BOUMERDES,35,,,36.75519,3.4629,exact,anem,anem,AWEM,,"Cité Ibn Khaldoune, 1200 Lgts - Boumerdes",(024) 793 - 926,(024) 793 - 926,awem.boumerdes@anem.dz,GUERZIZ BILLAL
36,AWEM EL TARF,36,,,36.76335,8.31095,exact,anem,anem,AWEM,,Cité des 52 Logts – El Tarf,(038) 302 - 979,(038) 302 - 979,awem.eltaref@anem.dz,HAZEM DJAMEL
37,AWEM TINDOUF,37,,,27.67161,-8.13476,exact,anem,anem,AWEM,,Cité des 50 bureaux - El Khsabi – Tindouf,049 370 617,(049) 370 - 618,awem.tindouf@anem.dz,MOKADEM MOHAMMED SALAH
38,AWEM TISSEMSILT,38,,,35.59958,1.81114,exact,anem,anem,AWEM,,Cité des 300 Logts –  Plateau - Tissemsilt,(046) 569 - 145,(046) 569 - 156,awem.tissemsilt@anem.dz,GHARBI MERIAM
39,AWEM EL OUED,39,,,33.39757,6.8754,exact,anem,anem,AWEM,,Cité du 08 mai 1945 route du Chott – El Oued,(032) 122 - 248,(032) 122 - 298,awem.eloued@anem.dz,SACI ABDENNOUR
40,AWEM KHENCHELA,40,,,35.43004,7.13927,exact,anem,anem,AWEM,,Nouvelle ville - Khenchela,(032) 729 - 151,(032) 729 - 152,awem.khenchela@anem.dz,SABAH YOUNES
41,AWEM SOUK AHRAS,41,,,36.28234,7.93848,exact,anem,anem,AWEM,4100,Route Nationale 16 –  Souk Ahras,(037) 731 - 098,(037) 731 - 098,awem.soukahras@anem.dz,LOUAHCHE ABDELHAFID
42,AWEM TIPAZA,42,,,36.58738,2.45021,exact,anem,anem,AWEM,,Cité des 20 logements  Marché couvert - Tipaza,(024) 370 - 073,(024) 370 - 074,awem.tipaza@anem.dz,BAKHTAOUI FATIHA
43,AWEM MILA,43,,,36.43791,6.25669,exact,anem,anem,AWEM,,Cité du 08 Mai 1945 - Mila,(031) 479 - 751,(031) 479 - 750,awem.mila@anem.dz,BAGHIANI Aicha
44,AWEM AIN DEFLA,44,,,36.26239,1.95118,exact,anem,anem,AWEM,4400,Cité des 300 logts Med Boudiaf – Ain Défla,(027) 505 - 328,(027) 505 - 465,awem.aindefla@anem.dz,SEGHAYRIA MAHFOUD
45,AWEM NAAMA,45,,,33.27126,-0.31704,exact,anem,anem,AWEM,4500,Cité Evolutive  - Naama,(049) 598 - 241,(049) 598 - 240,awem.naama@anem.dz,MESSAOUDI ABDELKADER
46,AWEM AIN TEMOUCHENT,46,,,35.3034,-1.13985,exact,anem,anem,AWEM,4600,Cité Sidi Saïd ex SAP – Ain Témouchent,(043) 791 - 359,(043) 791 - 359,awem.aintemouchent@anem.dz,KHELIFI ABDELHAK
47,AWEM GHARDAIA,47,,,32.5105,3.67952,exact,anem,anem,AWEM,4700,Cité Bouhraoua Haut – Ghardaïa,(029) 259 - 379,(029) 259 - 437,awem.ghardaia@anem.dz,ABDESSELAM FETHI
48,AWEM RELIZANE,48,,,35.72448,0.55966,exact,anem,anem,AWEM,4800,"Rue,  Sidi M’hamed Benaouda - Relizane",(046) 728 - 436,(046) 728 - 579,awem.relizane@anem.dz,ALLIOU ABDELILLAH
49,AWEM TIMIMOUN,49,,,29.26715,0.2396,exact,anem,anem,AWEM,4900,Route de Massine - Timimoun,(049) 900 - 550,(049) 901 - 420,awem.timimoun@anem.dz,KADI MUSTAPHA
50,AWEM Bordj Badji Mokhtar,50,,,21.33043,0.95487,exact,anem,anem,AWEM,5000,Centre Administratif – Bordj Badji Mokhtar,(049) 329 - 703,(049) 329 - 708,awem.bbmokhtar@anem.dz,REGGANI Mebarek
51,AWEM Ouled Djellal,51,,,34.42673,5.06277,exact,anem,anem,AWEM,5100,Rue Larbi BEN M'HIDI - Ouled Djellal,(033) 663 - 294,(033) 663 - 298,awem.ouleddjellal@anem.dz,RAGAD Nacira
52,AWEM BENI ABBES,52,,,30.13321,-2.16887,exact,anem,anem,AWEM,5200,Rue Hamel Dahmane – Béni Abbés,(049) 285 - 696,(049) 285 - 697,awem.beniabbes@anem.dz,Mansouri rachid
53,AWEM IN SALAH,53,,,27.19962,2.47956,exact,anem,anem,AWEM,5300,Ex siège du tribunal – In Salah,(029) 365 - 897,(029)365 - 840/ 365 - 863,awem.insalah@anem.dz,DAALACHE MOURAD
54,AWEM IN GUEZZAM,54,,,19.56506,5.77252,exact,anem,anem,AWEM,5400,Centre ville In Guezzam,(029) 354 - 506,(029) 354 - 506,awem.inguezzam@anem.dz,BOUKHAMI ABIDINE
