id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,sector,supervisory_ministry,website
00001,Université 8 Mai 1945 de Guelma,جامعة قالمة – 08 ماي 1945,24,,Guelma,36.4512265,7.4193826,exact,campus,mesrs,universite,Université,public,,http://www.univ-guelma.dz/
00002,Université Blida 1 – Saad Dahlab,,09,,El-Affroun,36.4488956,2.65017,exact,campus,mesrs,universite,Université,public,,http://www.univ-blida.dz/
00003,Université d’Adrar – Ahmed Draya,,01,,Adrar,27.8807196,-0.2819364,exact,campus,mesrs,universite,Université,public,,https://en.univ-adrar.edu.dz/
00004,Université d’Alger 1 – Benyoucef Benkhedda,جامعة الجزائر1 – بن يوسف بن خدة,16,,,36.7325,3.08722,approximate,wilaya,mesrs,universite,Université,public,,http://www.univ-alger.dz/
00005,Université d’Alger 2 – Abou el Kacem Saâdallah,جامعة الجزائر 2 – أبوالقاسم سعد الله,16,,Bouzareah,36.7762723,3.00429,exact,campus,mesrs,universite,Université,public,,http://www.univ-alger2.dz/
00006,Université d’Alger 3 – Brahim Soltane Chaibout,جامعة الجزائر3 ابراهيم سلطان شيبوط,16,,Dely Ibrahim,36.7571283,2.9843066,exact,campus,mesrs,universite,Université,public,,http://www.univ-alger3.dz/
00007,Université d’El Oued – Hamma Lakhdar,جامعة الوادي – حمة لخضر,39,,Kouinine,33.398174,6.856438,exact,campus,mesrs,universite,Université,public,,https://www.univ-eloued.dz/
00008,Université d’El Tarf – Chadli Bendjedid,جامعة الطارف – الشاذلي بن جديد,36,,El Tarf,36.761003,8.3234287,exact,campus,mesrs,universite,Université,public,,http://univ-eltarf.dz/ucbet/
00009,Université d’Oran 1 – Ahmed Ben Bella,جامعة احمد بن بلة وهران 1 السانية,31,,,35.69694,-0.63306,approximate,wilaya,mesrs,universite,Université,public,,http://www.univ-oran1.dz/
00010,Université d’Oran 2 – Mohamed Ben Ahmed,جامعة وهران 2 محمد بن أحمد المدعو الرائد سي موسى,31,,Bir El Djir,35.7077781,-0.579255,exact,campus,mesrs,universite,Université,public,,http://www.univ-oran2.dz/
00011,Université de Aïn Témouchent,جامعة عين تموشنت,46,,Ain Temouchent,35.2915519,-1.1237098,exact,campus,mesrs,universite,Université,public,,https://www.univ-temouchent.edu.dz/
00012,Université de Annaba – Badji Mokhtar,جامعة عنابة – باجي مختار,23,,Annaba,36.9122744,7.7486742,exact,campus,mesrs,universite,Université,public,,http://www.univ-annaba.dz/
00013,Université de Batna 1 – Hadj Lakhder,جامعة باتنة 1 – الحاج لخضر,05,,Fesdis,35.6306518,6.2665035,exact,campus,mesrs,universite,Université,public,,http://www.univ-batna.dz/
00014,Université de Batna 2 – Mustapha Ben Boulaid,جامعة باتنة 2 – مصطفى بن بولعيد,05,,Fesdis,35.6298819,6.2741797,exact,campus,mesrs,universite,Université,public,,http://www.univ-batna2.dz/
00015,Université de Béchar – Mohamed Tahri,جامعة طاهري محمد بشار,08,,Bechar,31.6059855,-2.2349535,exact,campus,mesrs,universite,Université,public,,http://www.univ-bechar.dz/
00016,Université de Béjaia – Abderrahmane Mira,جامعة بجاية – عبد الرحمان ميرة,06,,Tala Hamza,36.7040811,5.0535872,exact,campus,mesrs,universite,Université,public,,http://www.univ-bejaia.dz/
00017,Université de Biskra – Mohamed Khider,جامعة بسكرة – محمد خيضر,07,,Biskra,34.8450582,5.7473592,exact,campus,mesrs,universite,Université,public,,http://www.univ-biskra.dz/
00018,Université de Blida 2 – Lounici Ali,جامعة البليدة 2 – لونيسي علي,09,,El-Affroun,36.4521408,2.6348992,exact,campus,mesrs,universite,Université,public,,http://www.univ-blida2.dz/
00019,Université de Bordj Bou Arréridj – Mohamed Bachir El Ibrahimi,جامعة برج بوعريريج – محمد البشير الابراهيمي,34,,Belimour,36.037974,4.8141892,exact,campus,mesrs,universite,Université,public,,http://www.univ-bba.dz/
00020,Université de Bouira – Akli Mohand Oulhadj,جامعة البويرة – آكلي محند أولحاج,10,,Bouira,36.3745083,3.8737279,exact,campus,mesrs,universite,Université,public,,http://www.univ-bouira.dz/
00021,Université de Boumerdès – M’hamed Bougara,جامعة بومرداس – محمد بوقرة,35,,Boumerdes,36.7627057,3.4746586,exact,campus,mesrs,universite,Université,public,,http://www.univ-boumerdes.dz/
00022,Université de Chlef – Hassiba Benbouali,جامعة الشلف – حسيبة بن بوعلي,02,,Chlef,36.1664301,1.3379934,exact,campus,mesrs,universite,Université,public,,http://www.univ-chlef.dz/
00023,Université de Constantine 1 – Frères Mentouri,جامعة قسنطينة1 – الإخوة منتوري,25,,Constantine,36.3391374,6.6224622,exact,campus,mesrs,universite,Université,public,,http://www.umc.edu.dz/
00024,Université de Constantine 2 – Abdelhamid Mehri,جامعة قسنطينة 2 – عبد الحميد مهري,25,,Ain Smara,36.2447667,6.569947,exact,campus,mesrs,universite,Université,public,,http://www.univ-constantine2.dz/
00025,Université de Constantine 3 -Salah Boubnider,جامعة قسنطينة 3- المجاهد صالح بوبنيدر,25,,,36.35,6.6,approximate,wilaya,mesrs,universite,Université,public,,http://www.univ-constantine3.dz/
00026,Université de Djelfa – Ziane Achour,جامعة الجلفة – زيان عاشور,17,,Djelfa,34.6568244,3.2873369,exact,campus,mesrs,universite,Université,public,,http://www.univ-djelfa.dz/
00027,Université de Ghardaia,جامعة غرداية,47,,El Atteuf,32.3891206,3.7686698,exact,campus,mesrs,universite,Université,public,,http://www.univ-ghardaia.dz/
00028,Université de Jijel – Mohammed Seddik Ben yahia,جامعة جيجل – محمد الصديق بن يحي,18,,Jijel,36.8024453,5.7530633,exact,campus,mesrs,universite,Université,public,,http://www.univ-jijel.dz/
00029,Université de Khemis Miliana – Djilali Bounaama,جامعة خميس مليانة – الجيلالي بونعامة,44,,Khemis-Miliana,36.2553567,2.2374411,exact,campus,mesrs,universite,Université,public,,http://www.univ-km.dz/
00030,Université de Khenchela – Abbas Laghrour,جامعة خنشلة – عباس لغرور,40,,Khenchela,35.4440791,7.1556195,exact,campus,mesrs,universite,Université,public,,http://www.univ-khenchela.dz/
00031,Université de la Formation Continue,جامعة التكوين المتواصل,16,,Dely Ibrahim,36.7528506,2.9800558,approximate,commune,mesrs,universite,Université,public,,http://www.ufc.dz/
00032,Université de Laghouat – Amar Telidji,جامعة الأغواط – عمار ثليجي,03,,Laghouat,33.796661,2.8466973,exact,campus,mesrs,universite,Université,public,,http://www.lagh-univ.dz/
00033,Université de M’sila – Mohamed Boudiaf,جامعة المسيلة – محمد بوضياف,28,,M'sila,35.7416528,4.5467418,exact,campus,mesrs,universite,Université,public,,http://www.univ-msila.dz/
00034,Université de Mascara – Mustapha Stambouli,جامعة مصطفى اسطمبولي معسكر,29,,Mascara,35.4152817,0.1276161,exact,campus,mesrs,universite,Université,public,,http://www.univ-mascara.dz/
