id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,line,operator,network
02-001,Boukadir,Boukadir,محطة قطار بوقادير,02,0212,Boukadir,36.067,1.1259,exact,osm_node,wikidata+osm,"{""wikidata"":""Q118134311"",""osm"":""node/4273180789""}",rail,ligne d'Alger à Oran,SNTF,
02-002,Oued Sly,Oued Sly,محطة قطار وادي سلي,02,0221,Oued Sly,36.1047,1.1951,exact,wikidata,wikidata,"{""wikidata"":""Q118134316""}",rail,ligne d'Alger à Oran,SNTF,
02-003,Oum Drou,Oum Drou,محطة قطار أم الذروع,02,0233,Oum Drou,36.1961,1.3925,exact,wikidata,wikidata,"{""wikidata"":""Q118134322""}",rail,ligne d'Alger à Oran,SNTF,
02-004,Oued Fodda,Oued Fodda,محطة قطار وادي الفضة,02,0229,Oued Fodda,36.1897,1.5357,exact,osm_node,wikidata+osm,"{""wikidata"":""Q118134325"",""osm"":""node/3028463999""}",rail,ligne d'Alger à Oran,SNTF,
02-005,Chlef,Chlef,محطة الشلف,02,0201,Chlef,36.166883,1.342592,exact,osm_node,wikidata+osm,"{""wikidata"":""Q65127585"",""osm"":""node/2837092792""}",rail,ligne d'Alger à Oran,SNTF,
03-001,Laghouat,Laghouat,محطة قطار الأغواط,03,0301,Laghouat,33.7986,2.8201,exact,osm_node,wikidata+osm,"{""wikidata"":""Q123529434"",""osm"":""node/12126214237""}",rail,ligne de Boughezoul à Laghouat,SNTF,
03-002,Sidi Makhlouf,Sidi Makhlouf,محطة قطار سيدي مخلوف,03,0304,Sidi Makhlouf,34.1696,3.0386,exact,osm_node,wikidata+osm,"{""wikidata"":""Q123529472"",""osm"":""node/12126372509""}",rail,ligne de Boughezoul à Laghouat,SNTF,
04-001,Ouled Zouaï,Ouled Zouaï,محطة قطار أولاد زواي,04,0420,Ouled Zouai,35.888014,6.499826,exact,osm_node,wikidata+osm,"{""wikidata"":""Q116207862"",""osm"":""node/3961837203""}",rail,ligne d'El Guerrah à Touggourt,SNTF,
04-002,Aïn M'lila,Aïn M'lila,محطة قطار عين مليلة,04,0403,Ain M'lila,36.038515,6.586705,exact,osm_node,wikidata+osm,"{""wikidata"":""Q116780255"",""osm"":""node/1816994999""}",rail,ligne d'Aïn M'lila à El Aouinet | ligne d'El Guerrah à Touggourt,SNTF,
04-003,Aïn Beïda,Aïn Beïda,محطة قطار عين البيضاء,04,0409,Berriche,35.793271,7.364776,exact,osm_node,wikidata+osm,"{""wikidata"":""Q116919858"",""osm"":""node/2332364871""}",rail,ligne d'Aïn Beïda à Khenchela | ligne d'Aïn M'lila à El Aouinet,SNTF,
