id,name,name_fr,type,type_label,abreviation,code,secteur,commune,wilaya_code,lat,lng,adresse,adresse_fr,telephone,fax,email,site_web,facebook,capacite,capacite_reelle,surface_m2,internat,capacite_internat,vocations,source
1,مديرية التكوينو التعليم المهنيينأدرار,DFEPADRAR,dfep,مديرية التكوين والتعليم المهنيين,DFEP ADRAR,0100,public,أدرار,01,,,حي 103مسكن أدرار,Cité 103 logtAdrar,049364333,049364332,dfpadrar@gmail.com,,www.facebook.com/profile.php?id=100057469388259,,,2443.42,false,,,takwin.dz (MFEP)
2,المعهد الوطنيالمتخصص في التكوينالمهني رقم 01بأدرار,Institut National Specialise de FormationProfessionnelleADRAR,insfp,معهد وطني متخصص في التكوين المهني,INSFP ADRAR01,0104,public,أدرار,01,,,ص ب 456طريق رقان أدرار,Bp 456Route de RegganAdrar,049364170,049364166,insfpadrar01@gmail.com,,https://www.facebook.com/INSFP01adrar,375,659,15665,true,120,الفلاحة,takwin.dz (MFEP)
3,المعهد الوطنيالمتخصص في التكوينالمهني بأدرار 2,InstitutNational Specialise de Formation Professionnelle ADRAR2,insfp,معهد وطني متخصص في التكوين المهني,INSFP ADRAR2,0117,public,أدرار,01,,,طريق المطار مدينةأدرار,Rue de l'AéroportAdrar,049364106,049364107,insfp.chikhbay@yahoo.fr,,https://www.facebook.com/insfp0102,400,633,27750,true,200,الفلاحة,takwin.dz (MFEP)
4,مركز التكوينالمهني و التمهينبأدرار 3,Centre de Formation Professionnelle et del'Apprentissage 03ADRAR,cfpa,مركز التكوين المهني والتمهين,CFPA ADRAR03,0110,public,أدرار,01,,,المدينة الجديدة الشيخسيدي محمدبلكبير,nouvelle ville cheikh sidi Mohamed belekbirAdrar,044005340,,cfpa03adrar@gmail.com,,https://www.facebook.com/profile.php?id=100064412633503,300,461,26984,true,140,,takwin.dz (MFEP)
5,مركز التكوينالمهني و التمهينللبنات بادرار,Centre deFormation Professionnelle et de l'Apprentissage FEMININ HMIDA BOUNAAMA,cfpa,مركز التكوين المهني والتمهين,CFPAFEMININADRAR,0101,public,أدرار,01,,,شارع محمد العطشان وسطمدينة ادرار,Centre villeAdrar,049365372,049365204,cfpa0101@gmail.com,,https://www.facebook.com/profile.php?id=1000832680,200,328,3038,false,,,takwin.dz (MFEP)
6,مركز التكوينالمهني و التمهينتسابيت,Centre de Formation Professionnelle et del'Apprentissage 20 AOUTTSABIT,cfpa,مركز التكوين المهني والتمهين,CFPATSABITADRAR,0109,public,تسابيت,01,,,بن طلحة تسابيت,Ben talhatsabit,049348061,049348060,cfpa_tsabit2010@yahoo.fr,,https://www.facebook.com/cfpatsabit.tsabit.7,300,175,3738,true,50,,takwin.dz (MFEP)
7,مركز التكوينالمهني و التمهينفنوغيل,Centre de Formation Professionnelle et del'ApprentissageFENOUGHIL,cfpa,مركز التكوين المهني والتمهين,CFPA FENOUGHILADRAR,0108,public,فنوغيل,01,,,بلدية فنوغيل,APCFENOUGHIL,049341102,049341105,cfpafenoughi@gmail.com,,https://www.facebook.com/profile.php?id=100057588522251,100,243,5073,true,60,,takwin.dz (MFEP)
8,مركز التكوينالمهني و التمهينبرقان,Centre de Formation Professionnelle et de l'ApprentissageREGGANE,cfpa,مركز التكوين المهني والتمهين,CFPA REGGANEADRAR,0103,public,رقان,01,,,الطريق الوطني رقم 06رقان ادرار,R N 6 REGGANADRAR,049347122,049347122,cfpareggane@gmail.com,,www.facebook.com/profile.php?id=100067293136808,250,373,15374,true,60,,takwin.dz (MFEP)
9,مركز التكوين المهنيو التمهين زاويةكنتة,Centre de Formation Professionnelle et de l'Apprentissage ZAOUIETKOUNTA,cfpa,مركز التكوين المهني والتمهين,CFPA ZAOUITE KOUNTAADRAR,0107,public,زاويةكنتة,01,,,وسط مدينة زاويةكنته,centre ville zaouitekounta,049324167,049324160,cfpazaouiet.kounta@yahoo.fr,,https://www.facebook.com/cfpa.zaouietkounta?mibext,150,287,8550,true,60,,takwin.dz (MFEP)
10,مركز التكوينالمهني و التمهينبآولف,Centre de Formation Professionnelle et de l'ApprentissageAOULEF,cfpa,مركز التكوين المهني والتمهين,CFPA AOULEFADRAR,0105,public,أولف,01,26.969592,1.085395,وسط مدينة أولف,Centre villeAoulef,049327317,049327282,cfpaaoulef@hotmail.com,,https://www.facebook.com/profile.php?id=1000912778,160,371,7697,true,60,,takwin.dz (MFEP)
