id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,official_name,address,surface_total_m2,surface_built_m2
01-01,ADRAR,01,0101,Adrar,27.894,-0.288,exact,exact,sogral,"{""sogral"":""213-000001001""}",Gare routière Ouchan Messaoud,Route nationale N°06 Zone Industriel Adrar,1966,983
01-02,REGGAN,01,0104,Reggane,26.734312,0.164063,exact,exact,sogral,"{""sogral"":""213-000001004""}",Gare routière Reggane,Route nationale n°52 Reggane,16000,1000
02-01,CHLEF,02,0201,Chlef,36.155938,1.304688,exact,exact,sogral,"{""sogral"":""213-000002001""}",Gare routière Karouzi Ben Abdallah,Hammadia Chlef,50000,13000
03-01,LAGHOUAT,03,0301,Laghouat,33.781813,2.893812,exact,exact,sogral,"{""sogral"":""213-000003001""}",Gare routière Ben Mbarek Tahar,Route nationale des poids Lourds Laghouat,50000,5000
04-01,OUM EL BOUAGHI,04,0401,Oum El Bouaghi,35.861687,7.113312,exact,exact,sogral,"{""sogral"":""213-000004001""}",Gare routière des dix Martyrs de Djabel El Tarf Oum El Bouaghi,Cité Saada Oum El Bouaghi,29000,5372
05-01,BATNA,05,0501,Batna,35.576812,6.180063,exact,exact,sogral,"{""sogral"":""213-000005001""}",Gare routière Echahid Mohamed Arar,Route nationale n° 03 Commune de Batna,40000,4353
06-01,BEJAIA,06,0601,Bejaia,36.7374375,5.0634375,exact,exact,sogral,"{""sogral"":""213-000006001""}",Gare routière Zernouh Mohamed dit Hourani,"04 Chemins, Bejaia 06000",44660,2100
07-01,BISKRA,07,0704,Chetma,34.8277188,5.680813,exact,exact,sogral,"{""sogral"":""213-000007001""}",Gare routière 05 juillet 1962,Commune El Hadjeb Biskra,93194,687975
07-02,TOLGA,07,0721,Tolga,34.734813,5.400813,exact,exact,sogral,"{""sogral"":""213-000007021""}",Gare routière Tolga,Route nationale N°46 Tolga Biskra,20000,91154
08-01,BECHAR,08,0801,Bechar,31.6376875,-2.1993125,exact,exact,sogral,"{""sogral"":""213-000008001""}",Gare routière Rezoug Mohamed Béchar,Route nationale n°06 debdaba Béchar,29400,6370
09-01,BLIDA,09,0905,Ouled Yaich,36.497688,2.830688,exact,exact,sogral,"{""sogral"":""213-000009001""}",Gare routière Chahid Farouk Baila Blida,Cité Ramoul Blida,56000,1200
09-02,LARBAA,09,0917,Larbaa,36.565938,3.149312,exact,exact,sogral,"{""sogral"":""213-000009021""}",Gare routière Echahid Tetbirt Mohamed,Rue Kebir Mohamed Larbaa,14000,500
10-01,BOUIRA,10,1001,Bouira,36.3676875,3.8710625,exact,exact,sogral,"{""sogral"":""213-000010001""}",Gare routière Aigoune Mohamed Dit Antar,Route nationale N°18 Vers Aïn Bessem Bouira.,41300,1290
10-02,SOUR EL GHOZLANE,10,1038,Sour El Ghozlane,36.134812,3.694187,exact,exact,sogral,"{""sogral"":""213-000010038""}",Gare routière Mansouri El Mougafi,Route nationale n°08 Sour El Ghozlane,15000,723
11-01,TAMANRASSET,11,1101,Tamanrasset,22.817813,5.489688,exact,exact,sogral,"{""sogral"":""213-000011001""}",Gare routière El Moudjahid Zennani Abderrahmane,Zone D'activité TDC Tamanrasset,20000,1507
12-01,TEBESSA,12,1201,Tebessa,35.429562,8.048563,exact,exact,sogral,"{""sogral"":""213-000012001""}",Gare routière El Moudjahid Hocine Ait Ahmed,Route de Constantine Tébessa,57439,4068
12-02,CHREA,12,1203,Cheria,35.271063,7.751187,exact,exact,sogral,"{""sogral"":""213-000012003""}",Gare routière Chréa,Route Elma Lebiodh Chréa,10000,1106
12-03,OUENZA,12,1219,Ouenza,35.953946,8.127779,exact,exact,sogral,"{""sogral"":""213-000012019""}",Gare routière 18 Février Ouenza,Zone D'activité El Ouenza,20000,800
13-01,TLEMCEN,13,1301,Tlemcen,34.9069375,-1.3331875,exact,exact,sogral,"{""sogral"":""213-000013001""}",Gare routière Yahia Bachir,Abou Techfine Tlemcen,70673,3902
14-01,SEBDOU,14,1420,Naima,34.656563,1.308187,exact,exact,sogral,"{""sogral"":""213-000013035""}",Gare routière Sebdou,Cité Tebouda Sebdou,45000,292
14-02,TIARET,14,1401,Tiaret,35.344812,1.328187,exact,exact,sogral,"{""sogral"":""213-000014001""}",Gare routière Echahid Yettouche El Hadj,Route de Ain Guessam Tiaret,40000,3000
14-03,MAGHENIA,14,1441,Faidja,34.841313,1.773312,exact,exact,sogral,"{""sogral"":""213-000013027""}",Gare routière Maghnia,Cité djerba Maghnia,63513,545492
16-01,ALGER,16,1631,El Magharia,36.7425,3.108,exact,exact,sogral,"{""sogral"":""213-000016000""}",La gare routière des Grands Invalides de la guerre de libération nationale,Avenue de L’ALN B.P n°412 – 16040 – Hussein Dey (Alger),13000,8000
17-01,DJELFA,17,1701,Djelfa,34.679688,3.292063,exact,exact,sogral,"{""sogral"":""213-000017001""}",Gare routière Djelfa,Route nationale N°46 route de Boussaâda Djelfa,60000,1950
17-02,HASSI BAHBAH,17,1704,Hassi Bahbah,35.064688,3.033188,exact,exact,sogral,"{""sogral"":""213-000017004""}",Gare routière Hassi Bahbah,Cité El souk Hassi Bahbah,20000,1000
18-01,JIJEL,18,1801,Jijel,36.809687,5.772562,exact,exact,sogral,"{""sogral"":""213-000018001""}",Gare routière Jijel,Cité de la gare ferroviaire Jijel,26500,1840
19-01,SETIF,19,1901,Setif,36.1845625,5.3933125,exact,exact,sogral,"{""sogral"":""213-000019001""}",Gare routière Mohamed Boudiaf Sétif,Cité Mohamed Boudiaf Sétif,4000,1200
20-01,SAIDA,20,2001,Saida,34.836188,0.173312,exact,exact,sogral,"{""sogral"":""213-000020001""}",Gare routière Saida,Route nationale n°94 Saida,67000,2252
20-02,SIDI BOUBKER,20,2009,Sidi Boubekeur,35.04250642326382,0.05814938745841031,exact,exact,sogral,"{""sogral"":""213-000020009""}",Gare routière Echahid Fedah Abdelkader,Commune Sdi Boubkeur saida,10995,537
20-03,OULED BRAHIM,20,2612,Ouled Brahim,34.985938,0.473937,exact,exact,sogral,"{""sogral"":""213-000020014""}",Gare routière Echahid Boukhacha Moulai El Arbi,Commune de Ouled Brahim Saida,9951,380
22-01,SIDI BEL ABBES,22,2201,Sidi Bel-Abbes,35.2230625,-0.6291875,exact,exact,sogral,"{""sogral"":""213-000022001""}",Gare routiére Echahid Ben Amiar Slimane dit Kheireddine.,Route nationale nord Sidi Djilali Sidi Bel Abbès,35343,3361
23-01,ANNABA,23,2305,El Bouni,36.860313,7.711688,exact,exact,sogral,"{""sogral"":""213-000023001""}",Gare routière Mohamed Mounib Sendid,Route nationale N°44 El Bouni Annaba,60000,1899
23-02,SIDI BRAHIM,23,2301,Annaba,36.890589205868444,7.750662019555378,exact,exact,sogral,"{""sogral"":""213-000023001""}",Gare routière Sidi Brahim,Avenue de l'ALN  Annaba,14000,1400
24-01,GUELMA,24,2401,Guelma,36.466,7.4206,approximate,approx,sogral,"{""sogral"":""213-000024001""}",Gare routière El Moudjahid Décédé Boudefa Ahmed,Route stratégique n 21 Guelma,25328,2169
