id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,operateur,role,nature,nature_label_fr,nature_label_ar,slug
02-dm-01,EURL CHELICOMP,02,0201,Chlef,36.1647,1.3317,approximate,commune_centroid,mip,EURL CHELICOMP,fabricant,dm,Fabricant de dispositifs médicaux,مصنّع أجهزة طبية,eurl-chelicomp
02-pp-01,EURL RIADH PHARM,02,0201,Chlef,36.1647,1.3317,approximate,commune_centroid,mip,EURL RIADH PHARM,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,eurl-riadh-pharm
02-pp-02,SARL GROUPE SANTE,02,0201,Chlef,36.1647,1.3317,approximate,commune_centroid,mip,SARL GROUPE SANTE,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,sarl-groupe-sante
02-pp-03,SPA D-B-F,02,0221,Oued Sly,36.1,1.2,approximate,commune_centroid,mip,SPA D-B-F,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,spa-d-b-f
03-pp-01,EURL CALGAZ ALGERIE,03,0301,Laghouat,33.8,2.875,approximate,commune_centroid,mip,EURL CALGAZ ALGERIE,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,eurl-calgaz-algerie
04-dm-01,SARL BIOMEST,04,0401,Oum El Bouaghi,35.8706,7.117,approximate,commune_centroid,mip,SARL BIOMEST,fabricant,dm,Fabricant de dispositifs médicaux,مصنّع أجهزة طبية,sarl-biomest
04-dm-02,SPA IMGSA GROUPE INDUSTRIE PHARMACEUTIQUE,04,0403,Ain M'lila,36.03823,6.57318,approximate,commune_centroid,mip,SPA IMGSA GROUPE INDUSTRIE PHARMACEUTIQUE,fabricant,dm,Fabricant de dispositifs médicaux,مصنّع أجهزة طبية,spa-imgsa-groupe-industrie-pharmaceutique
04-pp-01,SARL DEMOCEDES PHARMA ALGERIE,04,0403,Ain M'lila,36.03823,6.57318,approximate,commune_centroid,mip,SARL DEMOCEDES PHARMA ALGERIE,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,sarl-democedes-pharma-algerie
04-pp-02,SPA IMGSA GROUPE INDUSTRIE PHARMACEUTIQUE,04,0403,Ain M'lila,36.03823,6.57318,approximate,commune_centroid,mip,SPA IMGSA GROUPE INDUSTRIE PHARMACEUTIQUE,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,spa-imgsa-groupe-industrie-pharmaceutique
05-dm-01,SARL CHARK PHARM PRODUCTION DE MEDICAMENTS,05,0522,Ain Yagout,35.7746,6.41644,approximate,commune_centroid,mip,SARL CHARK PHARM PRODUCTION DE MEDICAMENTS,fabricant,dm,Fabricant de dispositifs médicaux,مصنّع أجهزة طبية,sarl-chark-pharm-production-de-medicaments
05-pp-01,SARL LABORATOIRES BIOTECHNOLOGIE PHARMACEUTIQUE,05,,,35.55597,6.1741447,approximate,wilaya_centroid,mip,SARL LABORATOIRES BIOTECHNOLOGIE PHARMACEUTIQUE,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,sarl-laboratoires-biotechnologie-pharmaceutique
07-dm-01,EURL USINE OASIS DES ZIBANS DE PRODUCTION PHARMACEUTIQUE ET COUTURE ET TEXTILE,07,,,34.8,5.7510475,approximate,wilaya_centroid,mip,EURL USINE OASIS DES ZIBANS DE PRODUCTION PHARMACEUTIQUE ET COUTURE ET TEXTILE,fabricant,dm,Fabricant de dispositifs médicaux,مصنّع أجهزة طبية,eurl-usine-oasis-des-zibans-de-production-pharmaceutique-et-couture-et-textile
09-dm-01,SARL COPERDIS INDUSTRIE,09,0919,Beni-Tamou,36.536389,2.8161,approximate,commune_centroid,mip,SARL COPERDIS INDUSTRIE,fabricant,dm,Fabricant de dispositifs médicaux,مصنّع أجهزة طبية,sarl-coperdis-industrie
09-dm-02,SARL EXPENSIMED,09,0901,Blida,36.47004,2.8319,approximate,commune_centroid,mip,SARL EXPENSIMED,fabricant,dm,Fabricant de dispositifs médicaux,مصنّع أجهزة طبية,sarl-expensimed
09-pp-01,SARL LABIOCO,09,0901,Blida,36.47004,2.8319,approximate,commune_centroid,mip,SARL LABIOCO,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,sarl-labioco
09-pp-02,SARL PHARMA SPHERE,09,0901,Blida,36.47004,2.8319,approximate,commune_centroid,mip,SARL PHARMA SPHERE,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,sarl-pharma-sphere
09-pp-03,SPA ALDAPH BOUFARIK,09,0916,Boufarik,36.57413,2.9108333,approximate,commune_centroid,mip,SPA ALDAPH BOUFARIK,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,spa-aldaph-boufarik
10-dm-01,SARL DIAGNOPHARM,10,1001,Bouira,36.37763,3.8962348,approximate,commune_centroid,mip,SARL DIAGNOPHARM,fabricant,dm,Fabricant de dispositifs médicaux,مصنّع أجهزة طبية,sarl-diagnopharm
10-pp-01,SARL CHIMIE PHARMACIE COMMERCE MULTIPLES CPCM,10,1001,Bouira,36.37763,3.8962348,approximate,commune_centroid,mip,SARL CHIMIE PHARMACIE COMMERCE MULTIPLES CPCM,fabricant,pp,Fabricant de produits pharmaceutiques,مصنّع منتجات صيدلانية,sarl-chimie-pharmacie-commerce-multiples-cpcm
