id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,type_label_ar,daira,address,capacity,year,operational,pmr,surface_built_m2,surface_land_m2
00001,"Auberge de jeunes El amir Abdelkader, Sbaa",,01,,SEBAA,28.2186,-0.173,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,TSABIT,"sabaa, tsabit, adrar",50,2012,true,true,3600,3600
00002,Auberge de jeunes el moudjahed brik slimane,,01,,ADRAR,27.8829,-0.2801,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,ADRAR,à coté d'OPOW Adrar. voie de saoura. 5 juillet.,50,2000,true,true,614,8528.5
00003,Auberge de jeunes elchahida merieme saadane,,01,,TAMANTIT,27.756,-0.271,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,FENOUGHIL,Tamantit,50,2010,true,true,,4800
00004,Auberge de jeunes elmoujahed belhaouchate abdellah,,01,,REGGANE,26.7151,0.1855,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,REGGANE,"Route de l'aéroport de Reggane, Daïra de Reggane, Adrar, 1004, Algérie",50,2020,true,,996,3192
00005,Auberge de jeunes elmoujahed boubaker saih,,01,,AOULEF,26.9583,1.0873,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,AOULEF,Aoulef,30,2014,true,true,821,3692
00006,Centre de Loisirs Scientifique Adrar,,01,,ADRAR,27.8791,-0.2748,exact,sig_mjs,mjs,CLS,Centre de loisirs scientifiques,مركز الترفيه العلمي,ADRAR,Cité administrative Adrar. voie de saoura. 5 juillet.,,2012,true,false,1008,3025
00007,Complexe sportif de proximité elchahid abdelrahmane mira,,01,,TAMANTIT,27.755,-0.2647,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,FENOUGHIL,Tamantit,300,2007,true,false,492,5600
00008,Complexe Sportif de Proximité elchahid hihi elmakki,,01,,TAMEST,27.4197,-0.2446,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,FENOUGHIL,Tamest,300,2007,true,false,492,5600
00009,Complexe Sportif de Proximité elchahid saal bousid,,01,,FENOUGHIL,27.6081,-0.3075,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,FENOUGHIL,Zaouiet sidi Abdelkader Fenoughil Adrar,300,2007,true,false,492,5600
00010,Complexe sportif de proximité elmoudjahed el-touji houcine,,01,,ADRAR,27.887,-0.3083,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,ADRAR,140 logs Adrar,400,2011,true,true,,12500
00011,Complexe sportif de proximité elmoudjahed elbarrichi abdelkader,,01,,SALI,26.9582,-0.0241,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,REGGANE,"Sali, Daïra de Reggane, Adrar, 1009, Algérie",,2007,true,,492,5600
00012,Complexe sportif de proximité elmoudjahed elmaghili abdellah,,01,,AOULEF,26.975,1.087,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,AOULEF,Rue si elhaouace Aoulef adrar,,2000,true,false,4300,4300
00013,Complexe sportif de proximité elmoudjahed elzahbi mohamed,,01,,ZAOUIET KOUNTA,27.2276,-0.1891,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,ZAOUIAT KOUNTA,Zaouiet Kounta,300,2002,true,false,710,3708
00014,Complexe sportif de proximité elmoudjahed reggani zine el-dine,,01,,REGGANE,26.716,0.186,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,REGGANE,"Route de l'aéroport de Reggane, Daïra de Reggane, Adrar, 1004, Algérie",399,2012,true,,,12500
00015,Complexe sportif de proximité elmoujahed fellahi mohamed,,01,,TSABIT,28.3067,-0.2438,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,TSABIT,Tsabit. Adrar,300,2002,true,false,432,432
00016,Complexe sportif de proximité elmoujahed nadjeme mohamed,,01,,BOUDA,28.0286,-0.4536,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,ADRAR,Ksar EL Kseibat,400,2010,true,true,924,10948
00017,Complexe sportif de proximité tayeb boukasmi,,01,,SEBAA,28.2177,-0.1711,exact,sig_mjs,mjs,CSP,Complexe sportif de proximité,مركب رياضي جواري,TSABIT,Sbaa,300,2007,true,false,492,5600
00018,bousbia Hamma,,01,,TSABIT,28.305,-0.2366,exact,sig_mjs,mjs,MJ,Maison de jeunes,دار الشباب,TSABIT,maison de jeunes bentalha,300,2015,true,true,1543,10000
00019,Maison de jeunes el said bou ali,,01,,REGGANE,26.72108,0.171347,exact,sig_mjs,mjs,MJ,Maison de jeunes,دار الشباب,REGGANE,Reggane,200,2000,true,,450,450
00020,Maison de jeunes elmoudjahed hamdani el salah,,01,,TIT,26.945,1.486,exact,sig_mjs,mjs,MJ,Maison de jeunes,دار الشباب,AOULEF,"TIT, Aoulef, Adrar",,2019,true,false,1037,2500
00021,maison de jeunes haouari boumediane,,01,,ADRAR,27.8679,-0.2792,exact,sig_mjs,mjs,MJ,Maison de jeunes,دار الشباب,ADRAR,voie d'ouled Ali,,1985,true,true,,3228
00022,Maison de jeunes kasdi merbah,,01,,AOULEF,26.972,1.0886,exact,sig_mjs,mjs,MJ,Maison de jeunes,دار الشباب,AOULEF,Aoulef Adrar,,2015,true,false,2317,4880
00023,Maison de jeunes lamharzi el tayeb,,01,,SALI,26.9587,-0.0247,exact,sig_mjs,mjs,MJ,Maison de jeunes,دار الشباب,REGGANE,"Sali, Daïra de Reggane, Adrar, 1009, Algérie",,2012,true,,621,
00024,Maison de jeunes sid elmoukhtar elkounti,,01,,ZAOUIET KOUNTA,27.2245,-0.1855,exact,sig_mjs,mjs,MJ,Maison de jeunes,دار الشباب,ZAOUIAT KOUNTA,Zaouiet Kounta,,2016,true,true,551,1376
00025,"AJ ""Alchahid BOURAS Mohamed""",بيت الشباب الشهيد محمد بوراس,02,,SIDI ABDERRAHMANE,36.4919,1.0883,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,TENES,A coté de CSP / l'accée vers l'ouest / RN 11,50,2018,true,true,650,3500
00026,"AJ ""CHAOUACH Mohamed""",بيت الشباب الشهيد شاوش محمد,02,,TENES,36.5161,1.3152,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,TENES,Route du port,50,2014,true,true,650,3500
00027,"AJ ""Elmodjahid Lahlouh Bou Yaakoub""",بيت الشباب المجاهد المرحوم لحلوح بويعقوب,02,,DAHRA,36.3282,0.7483,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,TAOUGRIT,Daouar Dechria/ Centre ville,50,2015,true,true,650,3500
00028,"AJ ""Maamar MESSABIH""",بيت الشباب الشهيد مصابيح معمر,02,,CHLEF,36.1635,1.3396,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,CHLEF,Boulevard chahid salam boukhetache Route de la gare,50,1992,true,false,650,3500
00029,"AJ ""Rachidi Abdelkader""",بيت الشباب المجاهد المرحوم راشيدي عبد القادر,02,,CHLEF,36.1605,1.311,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,CHLEF,"OPOW ""Med BOUMAZREG Cité Olympique",50,2020,true,true,650,3500
00030,"Auberge de Jeunes ""BEHLOUL Boulanouar""",بيت الشباب الشهيد بهلول بولنوار,02,,OUED SLY,36.0968,1.1978,exact,sig_mjs,mjs,AJ,Auberge de jeunes,نزل الشباب,BOUKADIR,HAy Homar,50,2021,true,true,650,3500
00031,"C.J ""Alchahid MIRAOUI Maamar""",مخيم الشباب الشهيد مراوي معمر,02,,TENES,36.5035,1.2478,exact,sig_mjs,mjs,CJ,Camp de jeunes,مخيم الشباب,TENES,Oued Gasseb / RN11,300,1999,true,true,2000,25000
00032,Camp de Jeunes,مخيم الشباب الشهيد عراب أحمد,02,,TENES,36.5164,1.3158,exact,sig_mjs,mjs,CJ,Camp de jeunes,مخيم الشباب,TENES,Route de Port,500,2023,true,true,900,15000
00033,"Camp de Jeunes ""MAFKIA AEK""",مخيم الشباب الشهيد موفقية عبد القادر,02,,EL MARSA,36.3969,0.9137,exact,sig_mjs,mjs,CJ,Camp de jeunes,مخيم الشباب,EL MARSA,L'accée vers l'ouest / centre ville,300,2018,true,true,800,12000
00034,"CLS ""GHOULEM Mohamed""",مركز التسلية العلمية الشهيد الغلام محمد,02,,CHLEF,36.161,1.3264,exact,sig_mjs,mjs,CLS,Centre de loisirs scientifiques,مركز الترفيه العلمي,CHLEF,Cité ex les vergers,800,2011,true,true,950,2600
