id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,code,address,address_ar
01-001,Agence Commerciale Adrar,الوكالة التجارية أدرار,01,,,27.877829,-0.274316,exact,mobilis,mobilis,agence,12237,"Rue de l'indépendance, Adrar",شارع الإستقلال، أدرار.
01-002,Agence Commerciale Reggane,الوكالة التجارية رقان.,01,,,26.720123576890476,0.1705722217982788,exact,mobilis,mobilis,agence,12238,"Rue emir abdelkader Reggane, Adrar",شارع الامير عبد القادر رقان أدرار.
02-001,Agence Commerciale Chlef,الوكالة التجارية شلف,02,,,36.164409385149185,1.3369633603411768,exact,mobilis,mobilis,agence,12252,"Rue de la Résistance, Chlef",شارع المقاومة، الشلف
02-002,Agence Commerciale Ténès,الوكالة التجارية الجوارية تنس,02,,,36.50865478254608,1.3070997785660792,exact,mobilis,mobilis,agence,12253,"Rue El Qods, Ténés, Chlef",شارع القدس،تنس، الشلف
02-003,Centre de service Mobilis Chlef,مركز خدمات موبيليس الشلف,02,,,36.14988482566015,1.3239924102794098,exact,mobilis,mobilis,agence,12260,"Nouvelle Ville, Hai Ben souna, Chlef",المدينة الجديدة، حي بن سونة؛ الشلف
03-001,Agence Commerciale Aflou,الوكالة التجارية أفلو,03,,,34.113882,2.09681,exact,mobilis,mobilis,agence,12321,"Rue Amir Abdelkader, centre ville, Aflou, Laghouat",شارع الأمير عبد القادر، أفلو.الأغواط
03-002,"Agence Commerciale Laghouat""01""","الوكالة التجارية الأغواط ""01""",03,,,33.79644738552079,2.866741698067627,exact,mobilis,mobilis,agence,12322,"Hai el Maamoura à cote de la poste, Laghouat","حي المعمورة, الأغواط."
03-003,"Agence Commerciale Laghouat ""02""","الوكالة التجارية الأغواط ""02""",03,,,33.799440002019715,2.8696193273615545,exact,mobilis,mobilis,agence,12323,"Hai el Maamoura, Laghouat",حي المعمورة، بجانب بريد الجزائر، الأغواط.
04-001,Agence Commerciale Ain El Beidha,الوكالة التجارية عين البيضاء,04,,,35.79371569733567,7.39263858426961,exact,mobilis,mobilis,agence,12285,"Avenue Hihi El Mekki,Ain Beidha, Oum El Bouaghi",شارع حيحي المكي.عين البيضاء أم البواقي
04-002,Agence Commerciale Ain Mlila,الوكالة التجارية عين مليلة,04,,,36.03851,6.57044,exact,mobilis,mobilis,agence,12286,"Cité communal N° 50, Ain Mlila, Oum El Bouaghi",الحي البلدي رقم 50 عين مليلة، أم البواقي
04-003,Agence Commerciale Oum El Bouaghi,الوكالة التجارية أم البواقي,04,,,35.87118625529451,7.108270444179048,exact,mobilis,mobilis,agence,12287,"Quartier de l'avenir N° 14, Oum El Bouaghi",شارع المستقبل رقم 14.أم البواقي
05-001,Agence Commerciale Barika,الوكالة التجارية بريكة,05,,,35.385614,5.370352,exact,mobilis,mobilis,agence,12269,"Rue 01 Novembre,Centre ville, Barika, Batna","شارع أول نوفمبر, وسط مدينة, بريكة، باتنة."
05-002,"Agence Commerciale Batna ""01""","الوكالة التجارية باتنة ""01""",05,,,35.543022,6.159878,exact,mobilis,mobilis,agence,12270,"Cité Aéroport, Batna","حي المطار, باتنة"
05-003,"Agence Commerciale CAB Batna ""02""","الوكالة التجارية باتنة ""02""",05,,,35.55695025298099,6.1758994029298195,exact,mobilis,mobilis,agence,12271,"Rue Ali Nemer,Batna",شارع علي نمر باتنة،: وسط المدينة باتنة
06-001,Agence Commerciale AKBOU,الوكالة التجارية أقبو,06,,,36.45717894707879,4.535757077109744,exact,mobilis,mobilis,agence,12328,"Rond Point Guendouza, Akbou , Bejaia","نقطة الدوران قندوزة, أقبو ,بجاية"
06-002,Agence Commerciale AMIZOUR,الوكالة التجارية واد أميزور,06,,,36.645044604836166,4.9035741897369824,exact,mobilis,mobilis,agence,12329,"Route d'EL Kseur, Cité des 154 Logts, Amizour, Bejaia","طريق القصر، حي 145 مسكن, أميزور, وبجاية"
06-003,Agence Commerciale BEJAIA,الوكالة التجارية بجاية,06,,,36.75401280997844,5.060902202792262,exact,mobilis,mobilis,agence,12330,"Lot Bouali N° 17,Bejaia",رقم 17 حي بوعلي، بجاية.
06-004,Agence Commerciale KHARATA,الوكالة التجارية خراطة,06,,,36.49076043082137,5.278739356537173,exact,mobilis,mobilis,agence,12331,"Route National 09,Kherata,Bejaia","الطريق الوطني رقم 09 ،خراطة, بجاية"
07-001,Agence Commerciale Biskra,الوكالة التجارية بسكرة,07,,,34.85561816127689,5.731241018311783,exact,mobilis,mobilis,agence,12312,"Rue Hamouda Ahmed Ben Abdelrezak, Biskra","شارع حمودة أحمد بن عبدالرزاق, بسكرة"
08-001,Agence Commerciale Abadla,الوكالة التجارية العبادلة,08,,,31.023638523464328,-2.708590831468497,exact,mobilis,mobilis,agence,12239,"Quartier Es-Salaam, Route nationale N° 06, Abadla, Bechar.",حي السلام ، الطريق الوطني رقم 06، العبادلة، بشار
08-002,Agence Commerciale Bechar,الوكالة التجارية بشار,08,,,31.610709890371677,-2.2206877198125787,exact,mobilis,mobilis,agence,12240,"Rue 05 Juillet N°23,Bechar",شارع 05 جويلية رقم 23، بشار.
09-001,Agence Commerciale Blida,الوكالة التجارية البليدة,09,,,36.473245,2.824118,exact,mobilis,mobilis,agence,12203,"N° 06 Rue Amara Youcef, Blida","رقم 06 شارع عمارة يوسف, البليدة"
09-002,Agence Commerciale Boufarik,الوكالة التجارية بوفاريك,09,,,36.57377,2.91104,exact,mobilis,mobilis,agence,12204,"Rue souidani Boudjemaa, Boufarik, Blida","شارع سويداني بوجمعة. بوفاريك,البليدة."
09-003,Agence Commerciale Nouvelle Ville Bouinane,الوكالة التجارية المدينة الجديدة بوعينان,09,,,36.531508,2.95362,exact,mobilis,mobilis,agence,12205,"Cité 5000 Logements, quartier ""A"", Nouvelle ville Bouinane, Blida","حي 5000 مسكن، مجمع ""أ""،المدينة الجديدة بوعينان, البليدة"
09-004,Agence Commerciale Ouled Aich,الوكالة التجارية أولاد يعيش,09,,,36.496316495976394,2.8621690453744812,exact,mobilis,mobilis,agence,12206,"N°27 Boulevard hadef Mohamed , Ouled Aich, Blida.",رقم 27 حي هادف محمد، أولاد ايعيش، البليدة
10-001,Agence Commerciale Bouira,الوكالة التجارية البويرة,10,,,36.384846,3.899888,exact,mobilis,mobilis,agence,12207,"Rue amrouche mouloud, Bouira","شارع عمروش مولود,البويرة"
11-001,Agence Commerciale Tamenrasset,الوكالة التجارية تمنراست,11,,,22.79728341932409,5.53139186925898,exact,mobilis,mobilis,agence,12327,"Cite Sirsouf ,Tamanrasset",حي سرسوف، تمنراست
12-001,Agence Commerciale Bir El Ater,الوكالة التجارية بئر العاتر,12,,,34.745338604147776,8.062554616550486,exact,mobilis,mobilis,agence,12233,"Quartier Houari Boumediene,Bir El Ater, Tebessa","حي هواري بومدين بئر العاتر, تبسة"
12-002,Agence Commerciale Ouenza,الوكالة التجارية الونزة,12,,,35.951398308886645,8.134156481121522,exact,mobilis,mobilis,agence,12234,"Cité Nouvelle Baiada N°13, Ouenza, Tebeesa.",حي البياضة الجديدة رقم 13،الونزة، تبسة
12-003,Agence Commerciale Tebessa,الوكالة التجارية تبسة,12,,,35.399952027744995,8.11628516435626,exact,mobilis,mobilis,agence,12235,"Route de la Wilaya, Tébessa",طريق الولاية - تبسة
12-004,Agence Commerciale Chrea,الوكالة التجارية الشريعة,12,,,35.269217352318904,7.750300233355339,exact,mobilis,mobilis,agence,12236,"Dar El Diafa,Chréa, Tébessa","دار الضيافة،الشريعة, تبسة"
13-001,Agence Commerciale Maghnia,الوكالة التجارية مغنية,13,,,34.84807494022864,-1.7284937155421376,exact,mobilis,mobilis,agence,12305,"Rue El Amir Abd El Kader, Meghnia.","شارع الامير عبد القادر. مغنية , تلمسان"
13-002,Agence Commerciale Remchi,وكالة الجوارية الرمشي,13,,,35.06060375446775,-1.429231066693065,exact,mobilis,mobilis,agence,12306,"Rue Larbi Ben Mehidi, Remchi, Tlemcen.",شارع العربي بن مهيدي ، الرمشي، تلمسان.
13-003,Agence Commerciale Tlemcen,الوكالة التجارية تلمسان,13,,,34.885358892163076,-1.3205408327232921,exact,mobilis,mobilis,agence,12307,"Cité El Kiffan, Rue Derrar Abdelrahman",حي الكيفان، شارع درار عبد الرحمان، تلمسان
14-001,Agence Commerciale Frenda,الوكالة التجارية فرندة,14,,,35.06137443485675,1.0447534808074426,exact,mobilis,mobilis,agence,12264,"Boulevard des Martyres ,Frenda, Tiaret",شارع الشهداء، فرندا. تيارت
14-002,Agence Commerciale Ksar Chellala,الوكالة التجارية قصر الشلالة,14,,,35.21825242555629,2.3154285230629608,exact,mobilis,mobilis,agence,12265,"Rue Souih Slimane Hai El Fateh,Ksar Chellala,Tiaret",شارع سويح سليمان ، حي الفتح. قصر الشلالة. تيارت
14-003,Agence Commerciale Tiaret,الوكالة التجارية تيارت,14,,,35.37539352854042,1.3143918815211642,exact,mobilis,mobilis,agence,12266,"Croisement Place des Martyrs et Rue de la Victoire N° 01, Tiaret","تقاطع ساحة الشهداء و شارع الإنتصار رقم 01, تيارت."
