id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,denomination
01-0001,زاوية الشيخ بــاي,Zaouia,زاوية الشيخ بــاي,01,0112,Aoulef,26.974139,1.079327,exact,osm_node,osm,"{""osm"":""node/4358178747""}",sunni
01-0002,Masdjid Hadj Hassan Elansari,Masdjid Hadj Hassan Elansari,,01,0105,In Zghmir,27.113665,-0.12512,exact,wikidata,wikidata,"{""wikidata"":""Q137807072""}",
01-0003,مسجد ابي موسى الأشعري,,مسجد ابي موسى الأشعري,01,0101,Adrar,27.858231,-0.277606,exact,wikidata,wikidata,"{""wikidata"":""Q137807080""}",
01-0004,مسجد السلام حي 200 مسكن القديمة,,مسجد السلام حي 200 مسكن القديمة,01,0101,Adrar,27.867074,-0.277533,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137807259"",""osm"":""way/433011698""}",sunni
01-0005,مسجد النور تيليلان أدرار,Mosquée,مسجد النور تيليلان أدرار,01,0101,Adrar,27.882304,-0.273016,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137807450"",""osm"":""way/433003785""}",sunni
01-0006,Mosquée sidi abdel errahmane ibn aouf,Mosquée sidi abdel errahmane ibn aouf,مسجد بشيري,01,0101,Adrar,27.879099,-0.29538,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137807469"",""osm"":""way/387613429""}",
01-0007,مسجد حمزة بن عبدالمطلب تقراف,Mosquée Hamza ben Abdelmotaleb,مسجد حمزة بن عبدالمطلب تقراف,01,0112,Aoulef,26.979419,1.076686,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137807529"",""osm"":""way/296837433""}",sunni
01-0008,"Msjed Sid Mokhtar Konti, Zaouiet Kounta","Msjed Sid Mokhtar Konti, Zaouiet Kounta",,01,0111,Zaouiet Kounta,27.227457,-0.191777,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137807559"",""osm"":""way/332203135""}",
01-0009,Mosquée chikh belekbir,Mosquée chikh belekbir,,01,0101,Adrar,27.871942,-0.293045,exact,wikidata,wikidata,"{""wikidata"":""Q137807560""}",
01-0010,جامع طلحاوي في أدرار,Mosquée Talhaoui,جامع طلحاوي في أدرار,01,0101,Adrar,27.876381,-0.294229,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137807694"",""osm"":""way/387612195""}",
01-0011,Mosquée Al-Furqan Tililane,Mosquée Al-Furqan Tililane,,01,0101,Adrar,27.884283,-0.269162,exact,wikidata,wikidata,"{""wikidata"":""Q137807753""}",
01-0012,Amr ibn al-Aas mosque,Amr ibn al-Aas mosque,,01,0101,Adrar,27.876693,-0.304151,exact,wikidata,wikidata,"{""wikidata"":""Q137807754""}",
01-0013,ىاردا في أدرار,,ىاردا في أدرار,01,0101,Adrar,27.876311,-0.29152,exact,wikidata,wikidata,"{""wikidata"":""Q137842833""}",
01-0014,مسجد الرحمان في سالي,,مسجد الرحمان في سالي,01,0118,Sali,26.860666,0.006776,exact,wikidata,wikidata,"{""wikidata"":""Q137843304""}",
01-0015,مسجد عبد الله بن جعفر في سالي,,مسجد عبد الله بن جعفر في سالي,01,0118,Sali,26.850229,0.009996,exact,wikidata,wikidata,"{""wikidata"":""Q137843305""}",
01-0016,مسجد الرحمـــة ادرار في أدرار,Masdjid,مسجد الرحمـــة ادرار في أدرار,01,0101,Adrar,27.870965,-0.282925,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137843333"",""osm"":""way/433204398""}",
01-0017,مسجد الخلفاء الراشدين في أدرار,,مسجد الخلفاء الراشدين في أدرار,01,0101,Adrar,27.876902,-0.309743,exact,wikidata,wikidata,"{""wikidata"":""Q137843334""}",
01-0018,مصلى العيدين وقف في أولف,Salle de prière,مصلى العيدين وقف في أولف,01,0112,Aoulef,26.968257,1.079538,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137845301"",""osm"":""way/296776633""}",sunni
01-0019,مسجد عبد القادر الجيلاني في أدرار,,مسجد عبد القادر الجيلاني في أدرار,01,0101,Adrar,27.874359,-0.288919,exact,wikidata,wikidata,"{""wikidata"":""Q137845302""}",
01-0020,مسجد علي ابن أبي طالب رضي الله عنه في أدرار,Ali Ibn Abi Taleb,مسجد علي ابن أبي طالب رضي الله عنه في أدرار,01,0101,Adrar,27.878486,-0.283114,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137845303"",""osm"":""way/432510858""}",
01-0021,مدرسة الشيخ سيدي أحمد المغيلي في إن زغمير,,مدرسة الشيخ سيدي أحمد المغيلي في إن زغمير,01,0105,In Zghmir,27.109598,-0.125728,exact,wikidata,wikidata,"{""wikidata"":""Q137845338""}",
01-0022,مسجد الشيخ بن عبد الكريم المغيلي ادرار في أدرار,,مسجد الشيخ بن عبد الكريم المغيلي ادرار في أدرار,01,0101,Adrar,27.874134,-0.28485,exact,wikidata,wikidata,"{""wikidata"":""Q137846022""}",
01-0023,École Cheikh Hassan Adrar - Inzcmeer in In Zghmir,École Cheikh Hassan Adrar - Inzcmeer in In Zghmir,,01,0105,In Zghmir,27.114036,-0.12526,exact,wikidata,wikidata,"{""wikidata"":""Q137846086""}",
01-0024,Mosqué Ali Ben Abi Taleb in Reggane,Mosqué Ali Ben Abi Taleb in Reggane,مسجد الكبير برقان,01,0104,Reggane,26.717013,0.173775,exact,osm_node,wikidata+osm,"{""wikidata"":""Q137846206"",""osm"":""node/4428585491""}",
01-0025,Aqraoa Ahmed neighborhood mosque in Adrar,Aqraoa Ahmed neighborhood mosque in Adrar,,01,0101,Adrar,27.882472,-0.291589,exact,wikidata,wikidata,"{""wikidata"":""Q137846276""}",
01-0026,مسجد طارق بن زياد في أدرار,,مسجد طارق بن زياد في أدرار,01,0101,Adrar,27.875677,-0.299508,exact,wikidata,wikidata,"{""wikidata"":""Q137846277""}",
01-0027,Zaouiat cheikh moulay touhami in Adrar,Zaouiat cheikh moulay touhami in Adrar,,01,0101,Adrar,27.867707,-0.310098,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137846278"",""osm"":""way/433796595""}",
01-0028,مسجد الحسن ابن علي رضي الله عنه في أدرار,,مسجد الحسن ابن علي رضي الله عنه في أدرار,01,0101,Adrar,27.871939,-0.30636,exact,wikidata,wikidata,"{""wikidata"":""Q137846280""}",
