id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,address,operator_wilaya
01-001,ESO001016,01,0101,Adrar,27.8698,-0.307875,exact,operator_api,ooredoo,"{""ooredoo"":""1422838""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,ANGEL RUE DU COLONNEL HAMRI N°122 BIS ET EXE RUE SALAH EDDINE EL AYOUBI N°30 JEUNE MASNI LOCAL 04,Adrar
01-002,EO ADRAR,01,0101,Adrar,27.8722,-0.284418,exact,operator_api,ooredoo,"{""ooredoo"":""1467511""}",EO,Espace Ooredoo,فضاء أوريدو,37 R Mohamed Ben Maamer - Adrar,Adrar
02-001,EO CHETTIA,02,0210,Ouled Fares,36.1966,1.26022,exact,operator_api,ooredoo,"{""ooredoo"":""1422842""}",EO,Espace Ooredoo,فضاء أوريدو,CHETTIA,Chlef
02-002,ESO000326,02,0201,Chlef,36.1611,1.31972,exact,operator_api,ooredoo,"{""ooredoo"":""1422844""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. BEN SOUNA N113,Chlef
02-003,ESO000379,02,0201,Chlef,36.1625,1.3326,exact,operator_api,ooredoo,"{""ooredoo"":""1422846""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. CHERIFI KADOUR,Chlef
02-004,ESO000410,02,0201,Chlef,36.1625,1.31848,exact,operator_api,ooredoo,"{""ooredoo"":""1422848""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. BEN SOUNA 306 LOGTS BAT F N25,Chlef
02-005,ESO000549,02,0201,Chlef,36.1658,1.33306,exact,operator_api,ooredoo,"{""ooredoo"":""1422850""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,LOCAL 2 CITE CHORFA LETTRE H,Chlef
02-006,ESO000566,02,0231,Bouzeghaia,36.3256,1.13789,exact,operator_api,ooredoo,"{""ooredoo"":""1422852""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. ABBES EL HADJ,Chlef
02-007,ESO000690,02,0206,Taougrit,36.2475,0.923056,exact,operator_api,ooredoo,"{""ooredoo"":""1422854""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE.DU MARTYRE HADJ HENNI  N°1 Bis,Chlef
02-008,ESO000339,02,0210,Ouled Fares,36.2328,1.23389,exact,operator_api,ooredoo,"{""ooredoo"":""1422856""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,COOP IMMOB MARTYRE BOUAISSA,Chlef
02-009,ESO000560,02,0211,Sidi Akkacha,36.4628,1.30306,exact,operator_api,ooredoo,"{""ooredoo"":""1422858""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. AMIR ABDELKADER,Chlef
02-010,ESO000338,02,0212,Boukadir,36.0647,1.12556,exact,operator_api,ooredoo,"{""ooredoo"":""1422860""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,RTE. NAT N4 BOUKADIR CTRE,Chlef
02-011,ESO000540,02,0221,Oued Sly,36.1003,1.20306,exact,operator_api,ooredoo,"{""ooredoo"":""1422862""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. El Mahata N°01B,Chlef
02-012,ESO000807,02,0222,Abou El Hassane,36.4173,1.19677,exact,operator_api,ooredoo,"{""ooredoo"":""1422864""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,LOTISSEMENT SOCIAL N°96 L,Chlef
