id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,operator,phone,opening_hours,dispensing,address
01-00001,Pharmaicie étatique,Pharmaicie étatique,,01,0112,Aoulef,26.972946,1.078929,exact,osm_node,osm,"{""osm"":""node/3012904279""}",,,,,
01-00002,Pharmacie Echefaa,Pharmacie Echefaa,الشفاء,01,0112,Aoulef,26.971472,1.081066,exact,osm_node,osm,"{""osm"":""node/3067035983""}",,,,true,"Rue Larbi Ben Mhidi, Aoulef 01003"
01-00003,Pharmacie Hamdi,Pharmacie Hamdi,حامدي,01,0112,Aoulef,26.969404,1.080783,exact,osm_node,osm,"{""osm"":""node/3067035984""}",,,,true,
01-00004,,,,01,0101,Adrar,27.873497,-0.298361,exact,osm_node,osm,"{""osm"":""node/3199092870""}",,,,,
01-00005,بلحسان,Pharmacie Belhaçane,بلحسان,01,0101,Adrar,27.878007,-0.300394,exact,osm_node,osm,"{""osm"":""node/3199130755""}",,,,,أدرار
01-00006,رزوق,Pharmacie Rezzoug,رزوق,01,0101,Adrar,27.871926,-0.282897,exact,osm_node,osm,"{""osm"":""node/3900622147""}",,,,,
01-00007,Pharmacie EPH Sud,Pharmacie EPH Sud,pharmacie EPH الجنوب,01,0112,Aoulef,26.973962,1.086394,exact,osm_node,osm,"{""osm"":""node/4194340892""}",,,24/7,,
02-00001,BENSOUNA H,BENSOUNA H,,02,0201,Chlef,36.165154,1.335549,exact,osm_node,osm,"{""osm"":""node/10103454118""}",,,,,
02-00002,BETTAHAR Kh,BETTAHAR Kh,,02,0221,Oued Sly,36.085751,1.210036,exact,osm_node,osm,"{""osm"":""node/10127802317""}",,,,,
02-00003,FELLAG A,FELLAG A,,02,0201,Chlef,36.151798,1.315524,exact,osm_node,osm,"{""osm"":""node/10128253018""}",,,,,
02-00004,REZKI M.A,REZKI M.A,,02,0201,Chlef,36.142062,1.301855,exact,osm_node,osm,"{""osm"":""node/10172024517""}",,,,,
02-00005,ARAB M,Arab M,,02,0201,Chlef,36.152655,1.308712,exact,osm_node,osm,"{""osm"":""node/10204018618""}",,,,,
02-00006,SOUDANI H,SOUDANI H,,02,0210,Ouled Fares,36.206361,1.264491,exact,osm_node,osm,"{""osm"":""node/10262228609""}",,,,,
02-00007,EPSP de Kouasmia,EPSP de Kouasmia,,02,0201,Chlef,36.203882,1.321323,exact,osm_node,osm,"{""osm"":""node/10607052205""}",,,,,
02-00008,ABEDDOU A,ABEDDOU A,,02,0201,Chlef,36.17712,1.328223,exact,osm_node,osm,"{""osm"":""node/10607053005""}",,,,,
02-00009,SALHI S,SALHI S,,02,0210,Ouled Fares,36.208435,1.246638,exact,osm_node,osm,"{""osm"":""node/10631163705""}",,,,,
02-00010,BENDACHA Kh,BENDACHA Kh,,02,0208,Sobha,36.10495,1.106337,exact,osm_node,osm,"{""osm"":""node/10750656405""}",,,,,
02-00011,BRAHIMI I,BRAHIMI I,,02,0210,Ouled Fares,36.196922,1.259826,exact,osm_node,osm,"{""osm"":""node/10763613105""}",,,,,
02-00012,DRISS S,DRISS S,,02,0213,Beni Rached,36.277694,1.522509,exact,osm_node,osm,"{""osm"":""node/10763713305""}",,,,,
02-00013,MoKhtri M,MoKhtri M,,02,0222,Abou El Hassane,36.417918,1.193504,exact,osm_node,osm,"{""osm"":""node/10771064205""}",,,,,
02-00014,IKHLEF,IKHLEF,,02,0201,Chlef,36.16104,1.322772,exact,osm_node,osm,"{""osm"":""node/10787007705""}",,,,,
02-00015,ABBOURA Med A,ABBOURA Med A,,02,0201,Chlef,36.161815,1.321016,exact,osm_node,osm,"{""osm"":""node/10787008805""}",,,,,
02-00016,DAHMANE SBAIHIA A,DAHMANE SBAIHIA A,,02,0201,Chlef,36.161667,1.324796,exact,osm_node,osm,"{""osm"":""node/10787009905""}",,,,,
02-00017,MOKEDDEM kH A,MOKEDDEM kH A,,02,0201,Chlef,36.145282,1.330809,exact,osm_node,osm,"{""osm"":""node/10795456906""}",,,,,
