id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,status,postal_code,postal_code_old,address
10052,BVD MOHAMED 5,16,,ALGER CENTRE,الجزائر الوسطى,36.7672573,3.0517022,exact,baridimap,baridimap,1,16235,,
1017,DAR EL BEIDA,16,,DAR EL BEIDA,الدار البيضاء,36.7119282,3.2137815,exact,baridimap,baridimap,1,16033,,
1018,DAR EL BEIDA 2,16,,DAR EL BEIDA,الدار البيضاء,36.7119982,3.2137076,exact,baridimap,baridimap,1,16033,,
1022,EL MOURADIA AOUDIA,16,,EL MOURADIA,المرادية,36.7464018,3.0508723,exact,baridimap,baridimap,1,16052,,
1023,BAB EZZOUAR 8 MAI 45,16,,BAB EZZOUAR,باب الزوار,36.73267,3.1864983,exact,baridimap,baridimap,1,16024,,
1027,CHERAGA RP,16,,CHERAGA,الشراقة,36.7664092,2.9581275,exact,baridimap,baridimap,1,16014,,
1029,BAB EL OUED1,16,,BAB EL OUED,باب الوادي,36.7923157,3.0523551,exact,baridimap,baridimap,1,16008,,
1030,EL BIAR BOUGARA,16,,EL BIAR,الأبيار,36.7676733,3.0330733,exact,baridimap,baridimap,1,16034,,
1031,BADJARAH,16,,BACHDJARAH,باش جراح,36.7223946,3.1196158,exact,baridimap,baridimap,1,16026,,
1034,KHEMIS EL KHECHNA,35,,KHEMIS EL KHECHNA,خميس الخشنة,36.6525173,3.3290318,exact,baridimap,baridimap,1,35010,,
1036,BOUDOUAOU INDOOR,35,,BOUDOUAOU,بودواو,36.725035,3.4136067,exact,baridimap,baridimap,1,35003,,
1040,TIPAZA RP INDOOR,42,,TIPAZA,تيبازة,36.5919896,2.4465886,exact,baridimap,baridimap,1,42000,,
1041,DELLYS,35,,DELLYS,دلس,36.9173768,3.9116293,exact,baridimap,baridimap,1,35004,,
1042,GHARDAIA RP INDOOR,47,,GHARDAIA,غرداية,32.4892666,3.6784639,exact,baridimap,baridimap,1,47000,,
