id,name,name_ar,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,class,postal_code,postal_code_old,address
1,ADRAR RP,أدرار م ر,01,0101,ADRAR,أدرار,27.8708439,-0.2871417,exact,baridimap,baridimap,CE,01000,,ADRAR CENTRE RUE DES MARYTIM
10,BOUIRA RP,البويرة-م-ر,10,1001,BOUIRA,البويرة,36.3749967,3.8925933,exact,baridimap,baridimap,CE,10000,,AXE FINANCIER CITE GOUIZI SAID BOUIRA nouveau siÃ©ge UPW
100,BERROUAGHIA,البرواقية,26,2647,BERROUAGHIA,البرواقية,36.1391939,2.9120967,exact,baridimap,baridimap,R1,26002,,AVENUE DE LA REPUBLIQUE BERROUAGHIA
1000,CHENIGUEL,شنيقل,26,2640,CHENIGUEL,شنيقل,35.9231469,3.5681351,exact,baridimap,baridimap,R4,26057,,CHENIGUEL CENTRE
1001,OULED EL KAIM,أولاد -القايم,43,4327,SIDI KHELIFA,سيدي خليفة,36.3640188,6.2640794,exact,baridimap,baridimap,R4,43058,,RUE BENCHEKOUF MOHAMED OULED EL KAIM
1002,TAGUEMOUNT,تقمونت,06,0648,BOUKHELIFA,بوخليفة,36.6233935,5.1102517,exact,baridimap,baridimap,R4,06059,,VILLAGE  TAGUEMOUNT
1004,FEGHAILIA,فغايلية,44,4401,AIN DEFLA,عين الدفلى,36.2455597,2.0361798,exact,baridimap,baridimap,R4,44060,,FEGHAILIA  CENTRE
1005,ROSFA,الرصفة,14,1419,DJEBILET ROSFA,جبيلات رصفة,34.8640505,0.8343321,exact,baridimap,baridimap,R4,14061,,VILLAGE ROSFA
1006,GUELT ZERGA,القلتة - الزرقاء,10,1038,SOUR EL GHOZLANE,سور الغزلان,36.2189833,3.71285,exact,baridimap,baridimap,R4,10062,,GULTA ZERGA CENTRE 10062 
1007,OULED SOUID,NULL,48,4812,ZEMMOURA,زمورة,35.7423144,0.7035746,exact,baridimap,baridimap,R4,48062,, DOUAR OULED-SOUID 
1008,DAR GHOMRACEN,دار - يغمراسن,13,1319,DAR YAGHMORACEN,دار يغمراسن,35.0824962,-1.7849702,exact,baridimap,baridimap,R4,13063,,RUE DE LA POSTE
1009,ZENOUNA,زنونة,34,3407,EL ACHIR,الياشير,36.09052,4.5870986,exact,baridimap,baridimap,R4,34063,,ZENOUNA
101,MOSTA SIDI ALI,سيدي-علي,27,2712,SIDI ALI,سيدي علي,36.1016223,0.4184058,exact,baridimap,baridimap,R1,27002,,RUE DE LA PALESTINE
1010,FRERES HARZELLI,الاخوة حرزلي,07,0716,EL FEIDH,الفيض,34.6262267,6.613955,exact,baridimap,baridimap,R4,07065,,RUE APC LES-FRERES-HARZELLI
1011,YAHIAOUI,سطيف -  يحياوي,19,1901,SETIF,سطيف,36.1958104,5.4196408,exact,baridimap,baridimap,R1,19065,,RUE KASEM KHALED
1012,REZARZA,الغزاغزة,26,2601,MEDEA,المدية,36.2996895,2.7688301,exact,baridimap,baridimap,R4,26066,,QUARTIER REZARZA MEDEA
1013,GUIGBA,قيقبة,05,0510,GUIGBA,قيقبة,35.7341539,5.5905459,exact,baridimap,baridimap,R4,05067,,GUIGBA
1014,BOUKHALFA,بوخالفة,15,1501,TIZI OUZOU,تيزي وزو,36.7295668,4.0179535,exact,baridimap,baridimap,R4,15067,,ROUTE PRINCIPALE
1015,SIDI MANCAR,سيدي معنصر,05,0512,OUYOUN EL ASSAFIR,عيون العصافير,35.5208117,6.37713,exact,baridimap,baridimap,R4,05069,,SIDI-MANCAR
1016,IGHIL BOUZEROU,ايغيل بوزرو,15,1515,BENI AISSI,بني عيسي,36.6568457,4.0794994,exact,baridimap,baridimap,R4,15070,,HOTEL DE LA POSTE
1017,SIDI MAHIEDDINE,سيدي محي الدين,26,2626,SIDI NAAMANE,سيدي نعمان,36.2819725,3.0982944,exact,baridimap,baridimap,R4,26071,,SIDI MAHIEDDINE VILLAGE
1018,DRADRA,درادرا,06,0645,DRAA EL KAID,ذراع القائد,36.3951505,5.2420442,exact,baridimap,baridimap,R4,06075,,DRADRA  CENTRE
1019,IGHIL NSEBT,إغيل نسبت,06,0623,BENI DJELLIL,بني جليل,36.5711433,4.8120383,exact,baridimap,baridimap,R4,06082,,BENI DJELLIL
102,SIDI AISSA,سيدي عيسى,28,2816,SIDI AISSA,سيدي عيسى,35.8829546,3.7756072,exact,baridimap,baridimap,R1,28002,,CENTRE VILLE
1020,ZEKRI MOUSSA ADJAIDJA,زكري - موسى- العجايجة,13,1309,DJEBALA,جبالة,34.9675082,-1.8677553,exact,baridimap,baridimap,R4,13082,,RUE DE POSTE
1021,BORDJ BAAL,برج-البعل,02,0217,DAHRA,الظهرة,36.3029266,0.8252016,exact,baridimap,baridimap,R4,02083,,BORDJ BAAL
