id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,statut,address,tel,fax
01-001,الوحدة الرئيسية أدرار,الوحدة الرئيسية أدرار,01,0101,Adrar,27.874701,-0.279394,exact,dgpc_map,dgpc,"{""dgpc"":""347"",""dgpc_wilaya"":""01""}",UNITE PRINCIPALE,"RUE MOHAMED EL ATCHANE, ADRAR",049364837/38,049364840
01-002,الوحدة الثانوية زاوية كنتة,الوحدة الثانوية زاوية كنتة,01,0111,Zaouiet Kounta,27.222,-0.185454,exact,dgpc_map,dgpc,"{""dgpc"":""348"",""dgpc_wilaya"":""01""}",UNITE SECONDAIRE,"RN06, ZAOUIET KOUNTA",049324105,049324156
01-003,الوحدة الثانوية أولف,الوحدة الثانوية أولف,01,0112,Aoulef,26.9706,1.085,exact,dgpc_map,dgpc,"{""dgpc"":""350"",""dgpc_wilaya"":""01""}",UNITE SECONDAIRE,"RUE SI EL HAOUES, AOULEF",049327270,049327276
01-004,الوحدة الثانوية رقان,الوحدة الثانوية رقان,01,0104,Reggane,26.7139,0.174562,exact,dgpc_map,dgpc,"{""dgpc"":""351"",""dgpc_wilaya"":""01""}",UNITE SECONDAIRE,"RN06, REGGANE",049347500,049347494
01-005,مدرية الحماية المدنية أدرار,مدرية الحماية المدنية أدرار,01,0101,Adrar,27.8715,-0.273012,exact,dgpc_map,dgpc,"{""dgpc"":""401"",""dgpc_wilaya"":""01""}",SIEGE DE DIRECTION WILAYA,"ROUTE DE L'AEROPORT CHEIKH MOHAMED BEN KEBIR, ADRAR",049364070,049364077
01-006,الوحدة الثانوية تسابيت,الوحدة الثانوية تسابيت,01,0108,Tsabit,28.304399,-0.235508,exact,dgpc_map,dgpc,"{""dgpc"":""649"",""dgpc_wilaya"":""01""}",UNITE SECONDAIRE,"BEN TALHA, TSABIT",049348255,049348183
01-007,المركز المتقدم فنوغيل,المركز المتقدم فنوغيل,01,0115,Fenoughil,27.6035,-0.303897,exact,dgpc_map,dgpc,"{""dgpc"":""800"",""dgpc_wilaya"":""01""}",POSTE AVANCE,"RN06, FENOUGHIL",049341129,049341151
01-008,(PK200)المركز المتقدم رقان,(PK200)المركز المتقدم رقان,01,0104,Reggane,25.0117,0.593333,exact,dgpc_map,dgpc,"{""dgpc"":""801"",""dgpc_wilaya"":""01""}",POSTE AVANCE,"RN06 PK200, REGGANE",/,/
01-009,الوحدة الرئيسية أدرار(تفتح قريبا),الوحدة الرئيسية أدرار(تفتح قريبا),01,0101,Adrar,27.9011,-0.282222,exact,dgpc_map,dgpc,"{""dgpc"":""880"",""dgpc_wilaya"":""01""}",UNITE PRINCIPALE,ADRAR,/,/
02-001,الوحدة الثانوية بني حواء,الوحدة الثانوية بني حواء,02,0207,Beni Haoua,36.529999,1.573,exact,dgpc_map,dgpc,"{""dgpc"":""120"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"CITE CH-MOKARNIA ABDALLAH, BENI HAOUA",027753316,027753316
02-002,الوحدة الثانوية تنس,الوحدة الثانوية تنس,02,0202,Tenes,36.509899,1.30637,exact,dgpc_map,dgpc,"{""dgpc"":""121"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"RUE DES FRERES BOUSOLTANE, TENES",027767022,027767022
