id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,sector,slug
01-ehs-01,Etablissement Hospitalier Spécialisé Cac Adrar,Etablissement Hospitalier Spécialisé Cac Adrar,المؤسسة الاستشفائية المتخصصة في مكافحة أمراض السرطان أدرار,01,0101,Adrar,27.87429,-0.297222,approximate,commune_centroid,msp,"{""msp"":""3587""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-cac-adrar
01-ehs-02,Etablissement Hospitalier Spécialisé Psychiatrie Adrar,Etablissement Hospitalier Spécialisé Psychiatrie Adrar,المؤسسة الاستشفائية المتخصصة في الأمراض العقلية أدرار,01,0101,Adrar,27.875834,-0.307533,exact,osm_point,msp,"{""osm"":""way/432370657"",""msp"":""3588""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-psychiatrie-adrar
01-eph-01,Etablissement Public Hospitalier Adrar,Etablissement Public Hospitalier Adrar,,01,0101,Adrar,27.87429,-0.297222,approximate,commune_centroid,msp,"{""msp"":""2359""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-adrar
01-eph-02,Etablissement Public Hospitalier Aoulef,Etablissement Public Hospitalier Aoulef,المؤسسة العمومية الإستشفائية أولف,01,0112,Aoulef,26.96667,1.08333,approximate,commune_centroid,msp,"{""msp"":""3583""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-aoulef
01-eph-03,Etablissement Public Hospitalier Nouveau Hopital D’adrar,Etablissement Public Hospitalier Nouveau Hopital D’adrar,,01,0101,Adrar,27.8709,-0.281111,exact,wikidata_point,msp,"{""wikidata"":""Q18785599"",""msp"":""3584""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-nouveau-hopital-dadrar
01-eph-04,Etablissement Public Hospitalier Reggane,Etablissement Public Hospitalier Reggane,المؤسسة العمومية الإستشفائية رقان,01,0104,Reggane,26.71576,0.1714,approximate,commune_centroid,msp,"{""msp"":""3644""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-reggane-2
01-eph-05,المؤسسة العمومية الإستشفائية (المستشفى الجديد) أدرار,,المؤسسة العمومية الإستشفائية (المستشفى الجديد) أدرار,01,0101,Adrar,27.87429,-0.297222,approximate,commune_centroid,msp,"{""msp"":""3585""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d8%b9%d9%85%d9%88%d9%85%d9%8a%d8%a9-%d8%a7%d9%84%d8%a5%d8%b3%d8%aa%d8%b4%d9%81%d8%a7%d8%a6%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%b3%d8%aa%d8%b4
01-eph-06,المؤسسة العمومية الإستشفائية بادرار,,المؤسسة العمومية الإستشفائية بادرار,01,0101,Adrar,27.871421,-0.282352,exact,osm_point,msp,"{""osm"":""way/433204559"",""msp"":""3643""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d8%b9%d9%85%d9%88%d9%85%d9%8a%d8%a9-%d8%a7%d9%84%d8%a5%d8%b3%d8%aa%d8%b4%d9%81%d8%a7%d8%a6%d9%8a%d8%a9-%d8%a8%d8%a7%d8%af%d8%b1%d8%a7%d8%b1-2
01-epsp-01,Etablissement Public de Santé de Proximité Adrar,Etablissement Public de Santé de Proximité Adrar,المؤسسة العمومية للصحة الجوارية أدرار,01,0101,Adrar,27.87429,-0.297222,approximate,commune_centroid,msp,"{""msp"":""3645""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-adrar-2
01-epsp-02,Etablissement Public de Santé de Proximité Aoulef,Etablissement Public de Santé de Proximité Aoulef,المؤسسة العمومية للصحة الجوارية أولف,01,0112,Aoulef,26.96667,1.08333,approximate,commune_centroid,msp,"{""msp"":""3578""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-aoulef
01-epsp-03,Etablissement Public de Santé de Proximité Reggane,Etablissement Public de Santé de Proximité Reggane,المؤسسة العمومية للصحة الجوارية رقان,01,0104,Reggane,26.71576,0.1714,approximate,commune_centroid,msp,"{""msp"":""3580""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-reggane
02-ehs-01,Etablissement Hospitalier Spécialisé Psychiatrique de Tenes,Etablissement Hospitalier Spécialisé Psychiatrique de Tenes,المؤسسة الاستشفائية المتخصصة في الأمراض العقلية بتنس,02,0202,Tenes,36.503502,1.26999,exact,osm_point,msp,"{""osm"":""way/345811330"",""msp"":""5549""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-psychiatrique-de-tenes
02-eph-01,Etablissement Public Hospitalier Chettia,Etablissement Public Hospitalier Chettia,المؤسسة العمومية الإستشفائية الشطية,02,0224,Chettia,36.158999,1.24098,approximate,commune_centroid,msp,"{""msp"":""3600""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-chettia-2
02-eph-02,Etablissement Public Hospitalier Chorfa,Etablissement Public Hospitalier Chorfa,,02,,,,,approximate,none,msp,"{""msp"":""3841""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-chorfa
02-eph-03,Etablissement Public Hospitalier Ouled Mohamed Chlef,Etablissement Public Hospitalier Ouled Mohamed Chlef,,02,0229,Oued Fodda,36.183333,1.549921,approximate,commune_centroid,msp,"{""msp"":""3598""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ouled-mohamed-chlef-2
02-eph-04,Etablissement Public Hospitalier Sobha,Etablissement Public Hospitalier Sobha,المؤسسة العمومية الإستشفائية الصبحة,02,0208,Sobha,36.110035,1.110123,approximate,commune_centroid,msp,"{""msp"":""3602""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-sobha-2
02-eph-05,Etablissement Public Hospitalier Sœurs Bedj Chlef,Etablissement Public Hospitalier Sœurs Bedj Chlef,المؤسسة العمومية الاستشفائية الاختان باج الشلف,02,0201,Chlef,36.159183,1.321285,exact,wikidata_point,msp,"{""wikidata"":""Q25385366"",""msp"":""3843""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-soeurs-bedj-chlef
02-eph-06,Etablissement Public Hospitalier Tènès (ahmed Bouras),Etablissement Public Hospitalier Tènès (ahmed Bouras),المؤسسة العمومية الإستشفائية أحمد بوراس تنــس,02,0202,Tenes,36.509722,1.30809,approximate,commune_centroid,msp,"{""msp"":""3604""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-tenes-ahmed-bouras
02-eph-07,Etablissement Public Hospitalier Tènès (zighoud Youcef),Etablissement Public Hospitalier Tènès (zighoud Youcef),المؤسسة العمومية الإستشفائية تنس – زيغود يوسف,02,0202,Tenes,36.503139,1.293991,exact,osm_point,msp,"{""osm"":""way/232227750"",""msp"":""3606""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-tenes-zighoud-youcef
02-eph-08,المؤسسة العمومية الإستشفائية الشلف اولاد محمد,,المؤسسة العمومية الإستشفائية الشلف اولاد محمد,02,0218,Ouled Abbes,36.21909,1.483333,approximate,commune_centroid,msp,"{""msp"":""3599""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d8%b9%d9%85%d9%88%d9%85%d9%8a%d8%a9-%d8%a7%d9%84%d8%a5%d8%b3%d8%aa%d8%b4%d9%81%d8%a7%d8%a6%d9%8a%d8%a9-%d8%a7%d9%84%d8%b4%d9%84%d9%81-%d8%a7-2
02-eph-09,المؤسسة العمومية الاستشفائية الشرفة,,المؤسسة العمومية الاستشفائية الشرفة,02,,,,,approximate,none,msp,"{""msp"":""3840""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d8%b9%d9%85%d9%88%d9%85%d9%8a%d8%a9-%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d8%b4%d9%81%d8%a7%d8%a6%d9%8a%d8%a9-%d8%a7%d9%84%d8%b4%d8%b1%d9%81%d8%a9
02-epsp-01,Etablissement Public de Santé de Proximité Beni Haoua,Etablissement Public de Santé de Proximité Beni Haoua,المؤسسة العمومية للصحة الجوارية بني حواء,02,0207,Beni Haoua,36.5311,1.56891,approximate,commune_centroid,msp,"{""msp"":""3608""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-beni-haoua
02-epsp-02,Etablissement Public de Santé de Proximité Boukadir,Etablissement Public de Santé de Proximité Boukadir,المؤسسة العمومية للصحة الجوارية بوقادير,02,0212,Boukadir,36.066944,1.126,approximate,commune_centroid,msp,"{""msp"":""3609""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-boukadir
02-epsp-03,Etablissement Public de Santé de Proximité Oued Fodda,Etablissement Public de Santé de Proximité Oued Fodda,المؤسسة العمومية للصحة الجوارية وادي الفضة,02,0229,Oued Fodda,36.183333,1.549921,approximate,commune_centroid,msp,"{""msp"":""3612""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-oued-fodda
02-epsp-04,Etablissement Public de Santé de Proximité Ouled Fares,Etablissement Public de Santé de Proximité Ouled Fares,المؤسسة العمومية للصحة الجوارية أولاد فارس,02,0210,Ouled Fares,36.231605,1.236999,approximate,commune_centroid,msp,"{""msp"":""3614""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-ouled-fares
02-epsp-05,Etablissement Public de Santé de Proximité Taougrite,Etablissement Public de Santé de Proximité Taougrite,المؤسسة العمومية للصحة الجوارية تاوقريت,02,0206,Taougrit,36.252448,0.925603,exact,osm_point,msp,"{""osm"":""way/366360897"",""msp"":""3616""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-taougrite
02-epsp-06,Etablissement Public de Santé de Proximité Tenes,Etablissement Public de Santé de Proximité Tenes,المؤسسة العمومية للصحة الجوارية تنس,02,0202,Tenes,36.509722,1.30809,approximate,commune_centroid,msp,"{""msp"":""3618""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-tenes
03-ehs-01,Etablissement Hospitalier Spécialisé en Gynécologie Obstétrique Laghouat,Etablissement Hospitalier Spécialisé en Gynécologie Obstétrique Laghouat,المؤسسة الإستشفائية المتخصصة في طب النساء و التوليد الأغواط,03,0301,Laghouat,33.803553,2.873127,exact,osm_point,msp,"{""osm"":""way/43844515"",""msp"":""3622""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-en-gynecologie-obstetrique-laghouat-2
03-ehs-02,Etablissement Hospitalier Spécialisé Mère et Enfant Aflou,Etablissement Hospitalier Spécialisé Mère et Enfant Aflou,المؤسسة الاستشفائية المتخصصة الأم والطفل أفلو,03,,,,,approximate,none,msp,"{""msp"":""3865""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-mere-et-enfant-aflou
03-eph-01,Etablissement Public Hospitalier Aflou,Etablissement Public Hospitalier Aflou,المؤسسة العمومية الإستشفائية أفلو,03,,,,,approximate,none,msp,"{""msp"":""3624""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-aflou-2
03-eph-02,Etablissement Public Hospitalier Ksar Hirane,Etablissement Public Hospitalier Ksar Hirane,المؤسسة العمومية الإستشفائية قصر الحيران,03,0302,Ksar El Hirane,33.788564,3.140717,approximate,commune_centroid,msp,"{""msp"":""3863""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ksar-hirane
03-eph-03,Etablissement Public Hospitalier Laghouat,Etablissement Public Hospitalier Laghouat,المؤسسة العمومية الإستشفائية بالاغواط,03,0301,Laghouat,33.791241,2.849919,exact,osm_point,msp,"{""osm"":""way/369947102"",""msp"":""3620""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-laghouat-2
03-epsp-01,Etablissement Public de Santé de Proximité Aflou,Etablissement Public de Santé de Proximité Aflou,المؤسسة العمومية للصحة الجوارية أفلو,03,,,,,approximate,none,msp,"{""msp"":""3846""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-aflou
03-epsp-02,Etablissement Public de Santé de Proximité Ain Madhi,Etablissement Public de Santé de Proximité Ain Madhi,المؤسسة العمومية للصحة الجوارية عين ماضي,03,0307,Ain Madhi,33.7956,2.3052,approximate,commune_centroid,msp,"{""msp"":""3848""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-ain-madhi
03-epsp-03,Etablissement Public de Santé de Proximité Brida,Etablissement Public de Santé de Proximité Brida,المؤسسة العمومية للصحة الجوارية البريدة,03,,,,,approximate,none,msp,"{""msp"":""3850""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-brida
03-epsp-04,Etablissement Public de Santé de Proximité Gueltet Sidi Saad,Etablissement Public de Santé de Proximité Gueltet Sidi Saad,المؤسسة العمومية للصحة الجوارية قلتة سيدي ساعد,03,0304,Sidi Makhlouf,34.12942,3.01436,approximate,commune_centroid,msp,"{""msp"":""3852""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-gueltet-sidi-saad
03-epsp-05,Etablissement Public de Santé de Proximité Hassi Delaa,Etablissement Public de Santé de Proximité Hassi Delaa,المؤسسة العمومية للصحة الجوارية حاسي الدلاعة,03,0305,Hassi Delaa,33.41742,3.55021,approximate,commune_centroid,msp,"{""msp"":""3854""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-hassi-delaa
03-epsp-06,Etablissement Public de Santé de Proximité Ksar El Hirane,Etablissement Public de Santé de Proximité Ksar El Hirane,المؤسسة العمومية للصحة الجوارية قصر الحيران,03,0302,Ksar El Hirane,33.788564,3.140717,approximate,commune_centroid,msp,"{""msp"":""3857""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-ksar-el-hirane
03-epsp-07,Etablissement Public de Santé de Proximité Laghouat,Etablissement Public de Santé de Proximité Laghouat,المؤسسة العمومية للصحة الجوارية الأغواط,03,0301,Laghouat,33.8,2.875,approximate,commune_centroid,msp,"{""msp"":""3861""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-laghouat
03-hopital-01,Hopital Mixte Laghouat,Hopital Mixte Laghouat,المستشفى المختلط الأغواط,03,0301,Laghouat,33.8,2.875,approximate,commune_centroid,msp,"{""msp"":""3867""}",hopital,Hôpital,مستشفى,public,hopital-mixte-laghouat
04-ehs-01,Etablissement Hospitalier Spécialisé Mère en Enfant Oum El Bouagui,Etablissement Hospitalier Spécialisé Mère en Enfant Oum El Bouagui,المؤسسة الإستشفائية المتخصصة في طب النساء و التوليد أم البواقي,04,0401,Oum El Bouaghi,35.87527,7.110908,exact,osm_point,msp,"{""osm"":""way/310710574"",""msp"":""3632""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-mere-en-enfant-oum-el-bouagui-3
04-eph-01,Etablissement Public Hospitalier Ain Beida (zerdani Salah),Etablissement Public Hospitalier Ain Beida (zerdani Salah),المؤسسة العمومية الإستشفائية عين البيضاء – زرداني صالح,04,0402,Ain Beida,35.798133,7.392173,approximate,commune_centroid,msp,"{""msp"":""3869""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ain-beida-zerdani-salah
04-eph-02,Etablissement Public Hospitalier Ain Fekroun,Etablissement Public Hospitalier Ain Fekroun,المؤسسة العمومية الإستشفائية عين الفكرون,04,0425,Ain Fekroun,35.9711,6.8737,approximate,commune_centroid,msp,"{""msp"":""3871""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ain-fekroun
04-eph-03,Etablissement Public Hospitalier Ain M’lila,Etablissement Public Hospitalier Ain M’lila,المؤسسة العمومية الإستشفائية عين مليلة,04,0403,Ain M'lila,36.03823,6.57318,approximate,commune_centroid,msp,"{""msp"":""3872""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ain-mlila
04-eph-04,Etablissement Public Hospitalier Med Boudiaf Oum El Bouaghi,Etablissement Public Hospitalier Med Boudiaf Oum El Bouaghi,المؤسسة العمومية الإستشفائية محمد بوضياف بام البواقي,04,0401,Oum El Bouaghi,35.870435,7.112471,exact,osm_point,msp,"{""osm"":""way/358986645"",""msp"":""3628""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-med-boudiaf-oum-el-bouaghi-2
04-eph-05,Etablissement Public Hospitalier Meskiana,Etablissement Public Hospitalier Meskiana,المؤسسة العمومية الإستشفائية مسكيانة,04,0424,Meskiana,35.631503,7.663055,exact,osm_point,msp,"{""osm"":""way/393600331"",""msp"":""3874""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-meskiana
04-eph-06,Etablissement Public Hospitalier Oum El Bouaghi (ibn Sina),Etablissement Public Hospitalier Oum El Bouaghi (ibn Sina),المؤسسة العمومية الاستشفائية ابن سناء ام البواقي,04,0401,Oum El Bouaghi,35.878983,7.108733,exact,osm_point,msp,"{""osm"":""way/624185601"",""msp"":""3626""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-oum-el-bouaghi-ibn-sina-2
04-epsp-01,Etablissement Public de Santé de Proximité Ain Beida,Etablissement Public de Santé de Proximité Ain Beida,المؤسسة العمومية للصحة الجوارية عين البيضاء,04,0402,Ain Beida,35.798133,7.392173,approximate,commune_centroid,msp,"{""msp"":""3876""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-ain-beida
04-epsp-02,Etablissement Public de Santé de Proximité Ain M’lila,Etablissement Public de Santé de Proximité Ain M’lila,المؤسسة العمومية للصحة الجوارية عين أمليلة,04,0403,Ain M'lila,36.03823,6.57318,approximate,commune_centroid,msp,"{""msp"":""3878""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-ain-mlila
04-epsp-03,Etablissement Public de Santé de Proximité Oum El Bouaghi,Etablissement Public de Santé de Proximité Oum El Bouaghi,المؤسسة العمومية للصحة الجوارية أم البواقي,04,0401,Oum El Bouaghi,35.8706,7.117,approximate,commune_centroid,msp,"{""msp"":""3880""}",epsp,Établissement Public de Santé de Proximité,المؤسسة العمومية للصحة الجوارية,public,etablissement-public-de-sante-de-proximite-oum-el-bouaghi
05-chu-01,Centre Hospitalo Universitaire Batna,Centre Hospitalo Universitaire Batna,المركز الإستشفائي الجامعي باتنة,05,0501,Batna,35.55597,6.174145,approximate,commune_centroid,msp,"{""msp"":""3634""}",chu,Centre Hospitalo-Universitaire,المركز الاستشفائي الجامعي,public,centre-hospitalo-universitaire-batna-2
05-ehs-01,Etablissement Hospitalier Spécialisé Centre Anti Cancireux Batna,Etablissement Hospitalier Spécialisé Centre Anti Cancireux Batna,المؤسسة الإستشفائية المتخصصة مركز مكافحة السرطان باتنة,05,0501,Batna,35.523661,6.196435,exact,osm_point,msp,"{""osm"":""way/193228566"",""msp"":""4413""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-centre-anti-cancireux-batna
05-ehs-02,Etablissement Hospitalier Spécialisé en Psychiatrie El Madher,Etablissement Hospitalier Spécialisé en Psychiatrie El Madher,المؤسسة الإستشفائية المتخصصة في الامراض العقلية المعذر,05,0507,El Madher,35.626542,6.383443,exact,osm_point,msp,"{""osm"":""way/463112913"",""msp"":""3639""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-en-psychiatrie-el-madher-2
05-ehs-03,Etablissement Hospitalier Spécialisé Mère et Enfant Meriem Bouatoura,Etablissement Hospitalier Spécialisé Mère et Enfant Meriem Bouatoura,المؤسسة الإستشفائية المتخصصة الأم والطفل مريم بوعتورة,05,,,,,approximate,none,msp,"{""msp"":""3882""}",ehs,Établissement Hospitalier Spécialisé,المؤسسة الاستشفائية المتخصصة,public,etablissement-hospitalier-specialise-mere-et-enfant-meriem-bouatoura
05-eph-01,Etablissement Public Hospitalier (ali Nemer) Merouana,Etablissement Public Hospitalier (ali Nemer) Merouana,,05,0504,Merouana,35.627469,5.90966,exact,osm_point,msp,"{""osm"":""way/323964652"",""msp"":""3895""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ali-nemer-merouana
05-eph-02,Etablissement Public Hospitalier Ain Touta,Etablissement Public Hospitalier Ain Touta,المؤسسة العمومية الإستشفائية عين التوتة,05,0545,Ain Touta,35.399109,5.919839,approximate,commune_centroid,msp,"{""msp"":""3884""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ain-touta
05-eph-03,Etablissement Public Hospitalier Arris 1,Etablissement Public Hospitalier Arris 1,المؤسسة العمومية الإستشفائية أريس 1,05,0516,Arris,35.25881,6.34706,approximate,commune_centroid,msp,"{""msp"":""3886""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-arris-1
05-eph-04,Etablissement Public Hospitalier Arris 2,Etablissement Public Hospitalier Arris 2,المؤسسة العمومية الإستشفائية أريس 2,05,0516,Arris,35.25881,6.34706,approximate,commune_centroid,msp,"{""msp"":""3889""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-arris-2
05-eph-05,Etablissement Public Hospitalier Barika (mohamed Boudiaf),Etablissement Public Hospitalier Barika (mohamed Boudiaf),,05,,,,,approximate,none,msp,"{""msp"":""3891""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-barika-mohamed-boudiaf
05-eph-06,Etablissement Public Hospitalier Barika (slimane Amirat),Etablissement Public Hospitalier Barika (slimane Amirat),المؤسسة العمومية الإستشفائية بريكة – سليمان أعميرات,05,0553,Ouled Si Slimane,35.611091,5.633345,exact,osm_point,msp,"{""osm"":""way/410668840"",""msp"":""3893""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-barika-slimane-amirat
05-eph-07,Etablissement Public Hospitalier Batna,Etablissement Public Hospitalier Batna,المؤسسة العمومية الإستشفائية باتنة,05,0501,Batna,35.55597,6.174145,approximate,commune_centroid,msp,"{""msp"":""3636""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-batna-2
05-eph-08,Etablissement Public Hospitalier Merouana (ziza Massika),Etablissement Public Hospitalier Merouana (ziza Massika),,05,0504,Merouana,35.632928,5.915984,exact,osm_point,msp,"{""osm"":""way/358984778"",""msp"":""3897""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-merouana-ziza-massika
05-eph-09,Etablissement Public Hospitalier N’gaous,Etablissement Public Hospitalier N’gaous,المؤسسة العمومية الإستشفائية نقاوس,05,0509,N Gaous,35.561836,5.610924,approximate,commune_centroid,msp,"{""msp"":""3899""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ngaous
05-eph-10,Etablissement Public Hospitalier Ras Layoune,Etablissement Public Hospitalier Ras Layoune,المؤسسة العمومية الاستشفائية راس العيون,05,,,,,approximate,none,msp,"{""msp"":""4417""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-ras-layoune
05-eph-11,Etablissement Public Hospitalier Teniet El Abed,Etablissement Public Hospitalier Teniet El Abed,المؤسسة العمومية الاستشفائية ثنية العابد,05,0547,Teniet El Abed,35.24695,6.19062,approximate,commune_centroid,msp,"{""msp"":""4415""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-teniet-el-abed
05-eph-12,Etablissement Public Hospitalier Tkout,Etablissement Public Hospitalier Tkout,المؤسسة العمومية الاستشفائية تكوت,05,0544,T Kout,35.3339,6.30861,approximate,commune_centroid,msp,"{""msp"":""4418""}",eph,Établissement Public Hospitalier,المؤسسة العمومية الاستشفائية,public,etablissement-public-hospitalier-tkout
