id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,daira,address,capacity,year,operational,pmr,surface_built_m2,surface_land_m2
00001,,01,,ADRAR,27.8806,-0.2857,exact,sig_mjs,mjs,AJF,Aire de jeux football,ADRAR,Cité 400 logs Adrar,200,2015,true,,2144,2144
00002,,01,,TIMEKTEN,27.0422,1.0463,exact,sig_mjs,mjs,AJF,Aire de jeux football,AOULEF,timokten,120,2010,true,,1125,1125
00003,,01,,ZAOUIET KOUNTA,27.2282,-0.1879,exact,sig_mjs,mjs,BN,Bassin de natation,ZAOUIAT KOUNTA,Zaouiet Kounta,,2005,true,,461,461
00004,,01,,REGGANE,26.7254,0.1668,exact,sig_mjs,mjs,BN,Bassin de natation,REGGANE,Reggane,20,2010,true,,,
00005,,01,,AOULEF,26.9765,1.0858,exact,sig_mjs,mjs,BN,Bassin de natation,AOULEF,Aoulef,20,2010,true,,,
00006,Bassin de natation T'sabit,01,,TSABIT,28.3057,-0.2446,exact,sig_mjs,mjs,BN,Bassin de natation,TSABIT,Tsabit. Adrar,80,2005,false,false,504,504
00007,,01,,ZAOUIET KOUNTA,27.2362,-0.1987,exact,sig_mjs,mjs,P25,Piscine 25 m,ZAOUIAT KOUNTA,Zaouiet Kounta,,2019,true,,2033,6460
00008,,01,,ADRAR,27.8858,-0.2826,exact,sig_mjs,mjs,P25,Piscine 25 m,ADRAR,OPOW Adrar. voie de saoura. 5 juillet.,500,2001,true,,,
00009,Piscine semi-olympique el moudjahed El-kaymi nadjem,01,,REGGANE,26.731707,0.167776,exact,sig_mjs,mjs,P25,Piscine 25 m,REGGANE,Reggane,500,2016,true,,2736,6732
00010,,01,,ADRAR,27.8846,-0.2815,exact,sig_mjs,mjs,PA,Piste d'athlétisme,ADRAR,Piste d'athlétisme stade OMS OPOW Adrar,,2012,true,,,
00011,,01,,TAMANTIT,27.7581,-0.2708,exact,sig_mjs,mjs,PP,Piscine de proximité,FENOUGHIL,Tamentit,100,2020,true,true,886,1848
00012,Piscine de proximité 140 logts,01,,ADRAR,27.8863,-0.3078,exact,sig_mjs,mjs,PP,Piscine de proximité,ADRAR,140 logs Adrar,,2020,true,,,
00013,stade el berichi abedelkader,01,,REGGANE,26.7101,0.1781,exact,sig_mjs,mjs,SF,Stade de football,REGGANE,Reggane,,2016,true,true,,
00014,,01,,ADRAR,27.8851,-0.2833,exact,sig_mjs,mjs,SOMS,Salle OMS,ADRAR,voie de saoura. 5 juillet. opow 18 février.,1000,1998,true,,23000,23000
00015,,01,,REGGANE,26.7248,0.1668,exact,sig_mjs,mjs,SOMS,Salle OMS,REGGANE,,,,,,,
00016,salle omnisports. 140 logts,01,,ADRAR,27.8867,-0.3086,exact,sig_mjs,mjs,SOMS,Salle OMS,ADRAR,140 logs Adrar,1000,2010,true,,1870,4600
00017,,01,,ADRAR,27.8844,-0.2812,exact,sig_mjs,mjs,STOMS,Stade OMS,ADRAR,OPOW Adrar complexe omnisports 18 féveier,1824,1998,true,,600,22000
00018,Stade OMS Aoulef,01,,AOULEF,26.978696,1.082958,exact,sig_mjs,mjs,STOMS,Stade OMS,AOULEF,Aoulef,,,false,,,
00019,,01,,AKABLI,26.7095,1.3764,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,AOULEF,Aoulef Akabli,120,2010,true,,1125,1125
00020,,01,,IN ZGHMIR,27.0961,-0.1109,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ZAOUIAT KOUNTA,Stade communal inzghmir,120,2010,true,,1125,1125
00021,,01,,AOULEF,26.9756,1.0866,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,AOULEF,CSP Aoulef,120,2007,true,,1125,1125
00022,,01,,IN ZGHMIR,27.0975,-0.112,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ZAOUIAT KOUNTA,"Stade communal inzghmir, ELMAHFOUD",120,2006,true,,1125,1125
00023,,01,,OULED AHMED TIMMI,27.8362,-0.2913,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,Stade communal Ouled Ahmed Timi,120,2016,true,,1125,1125
00024,,01,,OULED AHMED TIMMI,27.898,-0.359,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,Ouayanna commue Timmi Adrar,120,2009,true,,1125,1125
00025,,01,,TSABIT,28.3062,-0.2442,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,TSABIT,"CSP, Tsabit, Adrar",120,2014,true,true,1125,1125
00026,,01,,ADRAR,27.8838,-0.2786,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,adrar,120,2016,true,,1125,1125
00027,,01,,ADRAR,27.8866,-0.2818,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,complexe omnisports 18 février,12,2005,true,,1125,1125
00028,,01,,ADRAR,27.8811,-0.2849,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,adrar,120,2016,true,,1125,1125
00029,,01,,ADRAR,27.8796,-0.2808,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,adrar,120,2016,true,,1125,1125
00030,,01,,ADRAR,27.8873,-0.3088,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,complexe sportif 140,120,2011,true,,1125,1125
00031,,01,,BOUDA,28.0286,-0.4553,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,Bakhala. Bouda. Daira d'Adrar,120,2010,true,,1125,1125
00032,,01,,TAMEST,27.4189,-0.2441,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,FENOUGHIL,"La route de la Saoura, Ksar Lahmer, Tamest, Daïra de Fenoughil, Adrar, 1020, Algéri",120,2006,true,,1125,1125
00033,,01,,ZAOUIET KOUNTA,27.2362,-0.199,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ZAOUIAT KOUNTA,Zaouiet Kounta,120,2011,true,,1125,1125
00034,,01,,ZAOUIET KOUNTA,27.227,-0.1884,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ZAOUIAT KOUNTA,CSP. Zaouiet kounta,120,2014,true,,1125,1125
00035,,01,,ADRAR,27.8814,-0.2756,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,voie de tililane,120,2005,true,,1125,1125
00036,,01,,TIT,26.9441,1.4834,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,AOULEF,Tit Aoulef,120,2009,true,,1125,1125
00037,,01,,ADRAR,27.8678,-0.2797,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,ouled ali,1200,2014,true,,1125,1125
00038,,01,,BOUDA,28.0282,-0.4538,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,Bakhala. Bouda. Daira d'Adrar,120,2014,true,,1125,1125
00039,,01,,SALI,26.958119,-0.025113,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,REGGANE,"sali; daira reggane, Adrar",120,2009,true,,1125,1125
00040,,01,,SALI,26.9566,-0.0223,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,REGGANE,"Sali, Daïra de Reggane, Adrar, 1009, Algérie",120,2007,true,,1125,1125
00041,,01,,REGGANE,26.72444,0.162752,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,REGGANE,"reggane, Adrar",120,2009,true,,1125,1125
00042,,01,,REGGANE,26.728468,0.161417,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,REGGANE,reggane Adrar,120,2009,true,,1125,1125
00043,,01,,OULED AHMED TIMMI,27.8008,-0.255,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,Ouled Ahmed Timi zaouiet sidi elbakri,12,2014,true,,1125,1125
00044,,01,,TIMEKTEN,27.0312,1.037,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,AOULEF,"adrar, Aoulef, Timokten",120,2016,true,,1125,1125
00045,,01,,ADRAR,27.8862,-0.2822,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,complexe omnisports 18 février,12,2009,true,,1125,1125
00046,,01,,ZAOUIET KOUNTA,27.2278,-0.1886,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ZAOUIAT KOUNTA,Zaouiet Kounta. CSP,120,2011,true,,1125,1125
00047,,01,,ADRAR,27.8812,-0.2985,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,"Cité 35 logements, Adrar, Daïra d'Adrar, Adrar, 0100, Algérie",120,2005,true,,1125,1125
00048,,01,,TAMANTIT,27.7566,-0.261,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,FENOUGHIL,"Tamentit, Daïra de Fenoughil, Adrar, 1038, Algérie",120,2010,true,,1125,1125
00049,,01,,SALI,26.9579,-0.0245,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,REGGANE,"Sali, Daïra de Reggane, Adrar, 1009, Algérie",120,2007,true,,1125,1125
00050,,01,,ADRAR,27.8727,-0.2804,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,ADRAR,Stade communal Adrar ville. Rue Dine Mohamed,120,2014,true,,1125,1125
00051,,01,,REGGANE,26.709871,0.175455,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,REGGANE,"reggane, Adrar",120,2014,true,,1125,1125
00052,,01,,REGGANE,26.719089,0.185255,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,REGGANE,"reggane, Adrar",120,2007,true,,1125,1125
00053,,01,,REGGANE,26.716,0.1856,exact,sig_mjs,mjs,TSP,Terrain sportif de proximité,REGGANE,"Route de l'aéroport de Reggane, Daïra de Reggane, Adrar, 1004, Algérie",120,2014,true,,1125,1125
00054,,01,,TIMEKTEN,27.03,1.0389,approximate,sig_mjs,mjs,TSP,Terrain sportif de proximité,AOULEF,Timokten Daira Aoulef,120,2009,true,,1125,1125
