id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
djezzy-003f3dbe66,Ain Karacha,13,,,,34.89108,-1.31656,exact,operator_map,djezzy,djezzy,5G,Tlemcen
djezzy-0110386c8f,Dar El Beida_1,16,,,,36.71034,3.20785,exact,operator_map,djezzy,djezzy,5G,DAR EL BEIDA
djezzy-01b419e7c0,Mahdia 2,19,,,,36.17358,5.23531,exact,operator_map,djezzy,djezzy,5G,AIN ARNAT
djezzy-01d1c6e572,Boubsila,16,,,,36.7081,3.12607,exact,operator_map,djezzy,djezzy,5G,EL HARRACH
djezzy-01e97d3f59,Bordj el Kiiffane_3,16,,,,36.74896,3.19251,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-0248960306,Hippodrome,16,,,,36.7327,3.12069,exact,operator_map,djezzy,djezzy,5G,EL MAGHARIA
djezzy-0278e283d2,cité Djamel 3,31,,,,35.691797,-0.601272,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-0297d7ce0a,Sanouber El Bahri,16,,,,36.7324,3.1668,exact,operator_map,djezzy,djezzy,5G,MOHAMMADIA
djezzy-02c10a46f5,Blida Bab Khouikha,09,,,,36.48611,2.81962,exact,operator_map,djezzy,djezzy,5G,Blida
djezzy-02f9996e7f,IMAMA_2,13,,,,34.8835,-1.341785,exact,operator_map,djezzy,djezzy,5G,MANSOURAH
djezzy-02fb07dcaa,AKID center,31,,,,35.724646,-0.588249,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-037753c497,Cité CNL 2,31,,,,35.730903,-0.558976,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-038bd995eb,ROUTE33 PLATEAU OULED FAYET,16,,,,36.71146,2.93902,exact,operator_map,djezzy,djezzy,5G,OULED FAYET
djezzy-039f0ee6d7,SIDI Mabrouk 2,25,,,,36.35564,6.62861,exact,operator_map,djezzy,djezzy,5G,Constantine
djezzy-03af186383,Marcher Port Say,13,,,,35.08099,-2.20391,exact,operator_map,djezzy,djezzy,5G,MERSA BEN MHIDI
djezzy-042158b0dc,Cite 20 aout_A+,19,,,,36.17821,5.40935,exact,operator_map,djezzy,djezzy,5G,Setif
djezzy-042aa22108,El Harache_ Belfore,16,,,,36.7169,3.146,exact,operator_map,djezzy,djezzy,5G,EL HARRACH
djezzy-0431dd855f,ZI NEDJMA,31,,,,35.64512,-0.58297,exact,operator_map,djezzy,djezzy,5G,SIDI CHAMI
djezzy-044051130e,Cite 5juillet_3,05,,,,35.5469,6.17666,exact,operator_map,djezzy,djezzy,5G,Batna
djezzy-044d5bebf8,Stade de 19 Juin,31,,,,35.6819444444444,-0.639777777777778,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-0486479f13,AADL  Q25 Sidi Abdellah,16,,,,36.64288,2.83031,exact,operator_map,djezzy,djezzy,5G,MAHELMA
djezzy-04f21a5a57,Ain Nedjar,13,,,,34.88206,-1.33055,exact,operator_map,djezzy,djezzy,5G,MANSOURAH
djezzy-04fb56390e,PLAZA,31,,,,35.6425,-0.623611111111111,exact,operator_map,djezzy,djezzy,5G,ES SENIA
djezzy-0515c1ff8a,Cite Afak,16,,,,36.72516,3.01369,exact,operator_map,djezzy,djezzy,5G,DRARIA
djezzy-051c26db2d,salah Bey Site4_A+,19,,,,35.85542,5.29061,exact,operator_map,djezzy,djezzy,5G,SALAH BEY
djezzy-054bdbf917,Village Celest,16,,,,36.7964,3.0345,exact,operator_map,djezzy,djezzy,5G,BOUZAREAH
djezzy-057e0d1c55,Boulevard des Platanes,31,,,,35.725906,-0.570756,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-05830afb2a,Stade Kouba,16,,,,36.72771,3.09071,exact,operator_map,djezzy,djezzy,5G,KOUBA
djezzy-058a7dbf76, Extension ouest_El Eulma,19,,,,34.366117,5.906546,exact,operator_map,djezzy,djezzy,5G,EL EULMA
djezzy-05b16d9cff,les Bananies,16,,,,36.72977,3.1802,exact,operator_map,djezzy,djezzy,5G,BEB EZZOUAR
djezzy-0640a67246,Lotissement 471,34,,,,36.057873,4.769684,exact,operator_map,djezzy,djezzy,5G,Bordj Bou Arreridj
djezzy-064b898c65,Ouled Charef,13,,,,34.828661,-1.699197,exact,operator_map,djezzy,djezzy,5G,MAGHNIA
djezzy-06980b747d,Hôpital Douera,16,,,,36.667535,2.936168,exact,operator_map,djezzy,djezzy,5G,DOUERA
djezzy-074e7d94b5,Residence 8 Novembre 1971,25,,,,36.3527,6.62079,exact,operator_map,djezzy,djezzy,5G,Constantine
djezzy-07a1c600b8,NV Masinissa site 3,25,,,,36.25965,6.72412,exact,operator_map,djezzy,djezzy,5G,EL KHROUB
djezzy-08566ae838,Ben Zerga Doum,16,,,,36.77004,3.24148,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-08adf4e713,SHAOULA DRARIA,16,,,,36.7016,3.0088,exact,operator_map,djezzy,djezzy,5G,DRARIA
djezzy-08e35e4c5d,Hotel Sofitel,16,,,,36.74836,3.07183,exact,operator_map,djezzy,djezzy,5G,HAMMA ANASSERS
djezzy-092e430693,Cite Mezian Cherif,19,,,,36.11895,5.6723,exact,operator_map,djezzy,djezzy,5G,BAZER SAKRA
djezzy-0959436369,Cheraga Sonelgaz,16,,,,36.76285,2.96079,exact,operator_map,djezzy,djezzy,5G,CHERAGA
djezzy-097af21b66,APC 2,15,,,,36.70917,4.05023,exact,operator_map,djezzy,djezzy,5G,Tizi Ouzou
djezzy-09909b002e,Rue Daib Aissa Bordj El Kiffan,16,,,,36.74321,3.19211,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-09b2f44341,BEAULIEU_2,16,,,,36.71343,3.15724,exact,operator_map,djezzy,djezzy,5G,OUED SMAR
djezzy-0a098d5564,Entre Ouargla,30,,,,31.94475,5.283944,exact,operator_map,djezzy,djezzy,5G,Ouargla
djezzy-0b80599fc3,Hopital fabor,09,,,,36.4782,2.8343,approximate,operator_map,djezzy,djezzy,5G,Blida
djezzy-0ba25a4d02,Mouhousse 2,16,,,,36.7413,3.1987,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-0bea31a4d3,EL Eulma_A+,19,,,,36.14558,5.68324,exact,operator_map,djezzy,djezzy,5G,EL EULMA
djezzy-0c25a4d771,BRISE MARINE 2,16,,,,36.78881,3.24694,exact,operator_map,djezzy,djezzy,5G,BORDJ EL BAHRI
djezzy-0c32c830c2,Abane Ramdane 2,16,,,,36.79314,3.25367,exact,operator_map,djezzy,djezzy,5G,BORDJ EL BAHRI
djezzy-0c55bb31cf,Bentalha 2,16,,,,36.6505,3.07619,exact,operator_map,djezzy,djezzy,5G,BARAKI
djezzy-0c621ac29c,Maghnia_Highway,13,,,,34.866985,-1.746756,exact,operator_map,djezzy,djezzy,5G,MAGHNIA
djezzy-0c7e6ed320,Cit Aeroport,16,,,,36.7112,3.2219,exact,operator_map,djezzy,djezzy,5G,DAR EL BEIDA
djezzy-0c87427b17,cite Mohamed Saidoune,16,,,,36.7175,3.1248,exact,operator_map,djezzy,djezzy,5G,BOUROUBA
djezzy-0c8a8709e7,Cité 542 logements,31,,,,35.726048,-0.557175,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-0caa82341d,Hotel Phoenix,31,,,,35.6504166666667,-0.612861111111111,exact,operator_map,djezzy,djezzy,5G,ES SENIA
djezzy-0cb74843d9,Haouch Gazouz,16,,,,36.654,3.017,exact,operator_map,djezzy,djezzy,5G,KHRAISSIA
djezzy-0cd6fd58d2,AADL el hassi 2,31,,,,35.6581,-0.686062,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-0d4f6e803e,Cote AADL Douera,16,,,,36.68167,2.94977,exact,operator_map,djezzy,djezzy,5G,DOUERA
djezzy-0e14ae35e4,ALI BOUMENDJEL,16,,,,36.77813,3.05791,exact,operator_map,djezzy,djezzy,5G,Alger
djezzy-0e202f7712,Cite hasnaoui,31,,,,35.707967,-0.552428,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-0e5aad92e3,BIR TOUTA,16,,,,36.64839,2.99836,exact,operator_map,djezzy,djezzy,5G,BIRTOUTA
djezzy-0e8fce6216,Carrefour 248 Lgts ilot bannanier1,16,,,,36.7305,3.1665,exact,operator_map,djezzy,djezzy,5G,MOHAMMADIA
djezzy-0ea9f70455,AFAK,16,,,,36.6912,3.0476,exact,operator_map,djezzy,djezzy,5G,SAOULA
djezzy-0eb13b7d5d,Les Eucalyptus extension,16,,,,36.667,3.1533,exact,operator_map,djezzy,djezzy,5G,LES EUCALYPTUS
djezzy-0f014963d9,Cité Ben Redouane 2,16,,,,36.75398,3.22414,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-0f06b48db9,New extention Boudjlida ,13,,,,34.921381,-1.33034,exact,operator_map,djezzy,djezzy,5G,Tlemcen
djezzy-0f17ebb2f3,BEN MERABET,16,,,,36.7621,3.2442,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-0f295fe213,Bir Touta_3,16,,,,36.64904,3.00547,exact,operator_map,djezzy,djezzy,5G,KHRAISSIA
djezzy-0f65c7fbf6,ILOT 14,31,,,,35.734691,-0.564406,exact,operator_map,djezzy,djezzy,5G,SIDI CHAMI
djezzy-0f7f52fb1c,Cite diplomatique 2,16,,,,36.7757,3.2624,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-0fd065220b,AADL EL ACHOUR 02,16,,,,36.73132,3.002578,exact,operator_map,djezzy,djezzy,5G,EL ACHOUR
djezzy-0fd12a1508,Cite Amir Abdelkader,25,,,,36.37914,6.62677,exact,operator_map,djezzy,djezzy,5G,Constantine
djezzy-104aa50cad,Sidi Naamane,15,,,,36.75968,3.98072,exact,operator_map,djezzy,djezzy,5G,SIDI NAAMANE
djezzy-105aa456fe,Parc _Communal,16,,,,36.73198,3.13451,exact,operator_map,djezzy,djezzy,5G,MOHAMMADIA
djezzy-10887af048,El Hassi,19,,,,36.1781,5.4587,exact,operator_map,djezzy,djezzy,5G,Setif
djezzy-10a81a370a,Ardis,16,,,,36.7397,3.14294,exact,operator_map,djezzy,djezzy,5G,MOHAMMADIA
djezzy-10d48e1007,Si Smail,16,,,,36.744,3.2137,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-12015dac58,Autoroute Birtouta_Boufarik,16,,,,36.639,2.9805,exact,operator_map,djezzy,djezzy,5G,BIRTOUTA
djezzy-122da65bd7,Boussif Moussa_El Eulma,19,,,,36.161846,5.702396,exact,operator_map,djezzy,djezzy,5G,EL EULMA
djezzy-1268c6607e,sidi Mebarek (cherarba ),16,,,,36.66313,3.17071,exact,operator_map,djezzy,djezzy,5G,LES EUCALYPTUS
djezzy-128051f279,Cite El Ryad,31,,,,35.705709,-0.557313,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-1287c23d9e,V_CITE MENTOURI,25,,,,36.3572,6.6397,exact,operator_map,djezzy,djezzy,5G,Constantine
djezzy-12dc23af23, Mechtat Bir Stal_El Harouche,21,,,,36.663734,6.822127,exact,operator_map,djezzy,djezzy,5G,EL HARROUCH
djezzy-130eb01ec6,Haouch Attar,16,,,,36.7213,3.204,exact,operator_map,djezzy,djezzy,5G,DAR EL BEIDA
djezzy-1325e26efd,Cite Touileb 2,16,,,,36.67081,3.10921,exact,operator_map,djezzy,djezzy,5G,BARAKI
djezzy-135108ed87,Palmier Stade Olympique,31,,,,35.729651,-0.546918,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-135d090c90,Mediouni,31,,,,35.6865833333333,-0.641333333333333,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-13630ec93a,Terre familiale bordj El bahri,16,,,,36.7797,3.2536,exact,operator_map,djezzy,djezzy,5G,BORDJ EL BAHRI
djezzy-13adce4b8c,Consulat d’Espagne,31,,,,35.703847,-0.641368,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-13f6151f8c,Ain_El_Beida_4,31,,,,35.6348055555556,-0.671888888888889,exact,operator_map,djezzy,djezzy,5G,ES SENIA
djezzy-146166f212,AADL_SENIA,31,,,,35.6539,-0.65236,exact,operator_map,djezzy,djezzy,5G,ES SENIA
djezzy-149bd7398c,MSC 17 Batna,05,,,,35.5645,6.16533,exact,operator_map,djezzy,djezzy,5G,Batna
djezzy-14b83c5316,HUAWEI BUILDING,16,,,,36.715339,3.208484,exact,operator_map,djezzy,djezzy,5G,DAR EL BEIDA
djezzy-14c641644e,Cite Yahiaoui,19,,,,36.196,5.41969,exact,operator_map,djezzy,djezzy,5G,Setif
djezzy-14f1270e00,Cite Merdj Edib,21,,,,35.807083,6.92093,exact,operator_map,djezzy,djezzy,5G,Skikda
djezzy-14f88b565f,Bordj EL Kiffen,16,,,,36.74033,3.19396,exact,operator_map,djezzy,djezzy,5G,BEB EZZOUAR
djezzy-14fa439528,Aeroport d'Oran,31,,,,35.6183,-0.6109,exact,operator_map,djezzy,djezzy,5G,EL KARMA
