id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
mobilis-000723bc73,BOUIRA,10,,BOUIRA,البويرة,36.358861,3.87831,exact,operator_map,mobilis,mobilis,5G,
mobilis-003e471dcf,EL BOUNI,23,,EL BOUNI,البوني,36.857561,7.744801,exact,operator_map,mobilis,mobilis,5G,
mobilis-0049085d86,CHERAGA,16,,CHERAGA,الشراقة,36.751251,2.945985,exact,operator_map,mobilis,mobilis,5G,
mobilis-0093942c16,MAGHNIA,13,,MAGHNIA,مغنية,34.852981,-1.709728,exact,operator_map,mobilis,mobilis,5G,
mobilis-00d3449e73,MAHELMA,16,,MAHELMA,المحالمة,36.684651,2.857431,exact,operator_map,mobilis,mobilis,5G,
mobilis-01189c747c,EL KARMA,31,,EL KARMA,الكرمة,35.626701,-0.57395,exact,operator_map,mobilis,mobilis,5G,
mobilis-011b55e9d3,CONSTANTINE,25,,CONSTANTINE,قسنطينة,36.366361,6.63088,exact,operator_map,mobilis,mobilis,5G,
mobilis-016b98a997,ORAN,31,,ORAN,وهران,35.664121,-0.6993,exact,operator_map,mobilis,mobilis,5G,
mobilis-017cc3298a,MASCARA,29,,MASCARA,معسكر,35.408221,0.12163,exact,operator_map,mobilis,mobilis,5G,
mobilis-019b290685,BECHAR,08,,BECHAR,بشار,31.630421,-2.20557,exact,operator_map,mobilis,mobilis,5G,
mobilis-01a11035b0,BEJAIA,06,,BEJAIA,بجاية,36.749351,5.0731,exact,operator_map,mobilis,mobilis,5G,
mobilis-01dae4c4a6,TIMIMOUN,49,,TIMIMOUN,تيميمون,29.253031,0.22303,exact,operator_map,mobilis,mobilis,5G,
mobilis-0202b256da,FIL FILA,21,,FIL FILA,فلفلة,36.886861,7.030197,exact,operator_map,mobilis,mobilis,5G,
mobilis-022a883976,DELY BRAHIM,16,,DELY BRAHIM,دالي إبراهيم,36.741831,2.97335,exact,operator_map,mobilis,mobilis,5G,
