id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
ooredoo-007c4742a0,TAMANRASSET,11,,TAMANRASSET,,22.0866349112,5.6940048177,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-0311221e84,EUCALYPTUS,16,,EUCALYPTUS,,36.6701587633,3.1633509511,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-0403e5ac4f,EL BAYADH,32,,EL BAYADH,,33.6452536793,1.0204015112,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-081070c890,GUENZET,19,,GUENZET,,36.3342591444,4.8242244219,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-09afb4a635,RAIS HAMIDOU,16,,RAIS HAMIDOU,,36.8077550386,3.0122156233,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-0d9443c3d8,DJASR KASSENTINA,16,,DJASR KASSENTINA,,36.6949973015,3.0776130789,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-0ec640d740,IDELES,11,,IDELES,,25.2433135773,5.9917907218,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-12600b3ae6,TEBESSA,12,,TEBESSA,,35.3891862766,8.0776043757,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-12daae9dc9,EL KHARROUBA,35,,EL KHARROUBA,,36.6121927631,3.4228426836,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1496fa72ed,KAOUS,18,,KAOUS,,36.748638406,5.7683332133,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-171be892ea,IN GUEZZAM,54,,IN GUEZZAM,,20.3764244845,5.6778710767,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-18f663f5fb,BEN AKNOUN,16,,BEN AKNOUN,,36.7575273697,3.0107245283,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1998212772,MAHELMA,16,,MAHELMA,,36.6644636387,2.8603066938,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1a232e0726,DELY BRAHIM,16,,DELY BRAHIM,,36.7550347197,2.9805694236,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1a81114f19,TLEMCEN,13,,TLEMCEN,,34.8934649225,-1.3148545439,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1a834eb6a3,ALGER,16,,ALGER,,36.7783768719,3.0602469247,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1acb0cc384,BENI TAMOU,09,,BENI TAMOU,,36.5357824054,2.8139884206,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1ade940512,FOUKA,42,,FOUKA,,36.6608525925,2.7510300358,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1c12bb9b5c,OULED MOUSSA,35,,OULED MOUSSA,,36.68644898,3.3725904699,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1d084f1d50,ARZEW,31,,ARZEW,,35.8590886601,-0.3470926894,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1e2ab38f7f,BOUZGUENE,15,,BOUZGUENE,,36.6155048606,4.4899455195,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-1e63071a76,TIZI RACHED,15,,TIZI RACHED,,36.6884017482,4.1882886409,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-203d48ae76,BETHIOUA,31,,BETHIOUA,,35.7427179147,-0.2591924195,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-209735a710,DOUERA,16,,DOUERA,,36.6588028783,2.9342726156,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-26e9a894f0,KHEMISTI,42,,KHEMISTI,,36.6179776609,2.6847291931,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-28410c6856,BOUDOUAOU EL BAHRI,35,,BOUDOUAOU EL BAHRI,,36.7634393124,3.3884065582,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-293a9854c9,ZERALDA,16,,ZERALDA,,36.6975271897,2.8383360062,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-29624f28a3,BOLOGHINE IBNOU ZIRI,16,,BOLOGHINE IBNOU ZIRI,,36.8031599041,3.0364192043,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-29b209adec,EL HARROUCH,21,,EL HARROUCH,,36.6258753321,6.8031332057,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-29cd67014e,ROUIBA,16,,ROUIBA,,36.7355535344,3.2804627492,approximate,operator_commune_point,ooredoo,ooredoo,5G,
