id,technology,operator,name,address,commune,commune_ar,commune_code,wilaya_code,lat,lng,source
djezzy-ba5a8250cb,5G,djezzy,Ain benian ville,AIN BENIAN,,,,16,36.7898,2.91341,https://www.djezzy5g.dz/map.html
djezzy-ae1b29563b,5G,djezzy,Sonelgaz Ain Benian,AIN BENIAN,,,,16,36.79577,2.93135,https://www.djezzy5g.dz/map.html
djezzy-b0bb97f89b,5G,djezzy,Ain Benian 4,AIN BENIAN,,,,16,36.7875,2.9191,https://www.djezzy5g.dz/map.html
djezzy-b0996d69a9,5G,djezzy,Hauteur Ain Benian,AIN BENIAN,,,,16,36.791927,2.940168,https://www.djezzy5g.dz/map.html
djezzy-5517b41f51,5G,djezzy,Ain Benian Ville 1,AIN BENIAN,,,,16,36.7944,2.90643,https://www.djezzy5g.dz/map.html
djezzy-b9171ae57d,5G,djezzy,Belle Vue Ain Benian,AIN BENIAN,,,,16,36.7919,2.90978,https://www.djezzy5g.dz/map.html
djezzy-8fc516198d,5G,djezzy,AIN BENIAN 2,AIN BENIAN,,,,16,36.80369,2.9245,https://www.djezzy5g.dz/map.html
djezzy-ad26eaed11,5G,djezzy,Bahdja Beach,AIN BENIAN,,,,16,36.7833,2.902,https://www.djezzy5g.dz/map.html
djezzy-16f3913455,5G,djezzy,ESHRA Ain Benian,AIN BENIAN,,,,16,36.78611,2.90101,https://www.djezzy5g.dz/map.html
djezzy-8b01265d4a,5G,djezzy,Cite 536 lgts Ain Benian,AIN BENIAN,,,,16,36.79131,2.91545,https://www.djezzy5g.dz/map.html
djezzy-ccd5e64dda,5G,djezzy,Ain Benian Entrance,AIN BENIAN,,,,16,36.8035,2.92956,https://www.djezzy5g.dz/map.html
djezzy-a1120039c1,5G,djezzy,Ain Beniane 11 Decembre,AIN BENIAN,,,,16,36.80173,2.93573,https://www.djezzy5g.dz/map.html
djezzy-f3bb20350b,5G,djezzy,Ain Benian,AIN BENIAN,,,,16,36.8,2.9422,https://www.djezzy5g.dz/map.html
djezzy-e6f086feee,5G,djezzy,El Djamila,AIN BENIAN,,,,16,36.7985,2.90165,https://www.djezzy5g.dz/map.html
djezzy-754ec6c9e3,5G,djezzy,CITE 500 LGTS AIN BENIANE,AIN BENIAN,,,,16,36.801515,2.906923,https://www.djezzy5g.dz/map.html
djezzy-6a2dea04f0,5G,djezzy,LOTISSEMENT A,AIN BENIAN,,,,16,36.799899,2.923098,https://www.djezzy5g.dz/map.html
djezzy-1a47970538,5G,djezzy,Hotel Aurassi,Alger,,,,16,36.7761,3.05099,https://www.djezzy5g.dz/map.html
djezzy-e929d58276,5G,djezzy,Hotel Saphir,Alger,,,,16,36.77652,3.0598,https://www.djezzy5g.dz/map.html
djezzy-0e14ae35e4,5G,djezzy,ALI BOUMENDJEL,Alger,,,,16,36.77813,3.05791,https://www.djezzy5g.dz/map.html
djezzy-6e31690147,5G,djezzy,Universite d'Alger,Alger,,,,16,36.77038,3.05499,https://www.djezzy5g.dz/map.html
djezzy-34d9d2100c,5G,djezzy,Aurassi,Alger,,,,16,36.77603,3.0531,https://www.djezzy5g.dz/map.html
djezzy-cf8dca14b5,5G,djezzy,1ier mai les groupes,Alger,,,,16,36.7575,3.06271,https://www.djezzy5g.dz/map.html
djezzy-623009c7bc,5G,djezzy,placette El Kitani,BAB EL OUED,,,,16,36.79211,3.06041,https://www.djezzy5g.dz/map.html
djezzy-92cb39b50a,5G,djezzy,Hopital Maillot,BAB EL OUED,,,,16,36.79204,3.0493,https://www.djezzy5g.dz/map.html
djezzy-739fd09707,5G,djezzy,Cite des palmiers,BACH DJERRAH,,,,16,36.7268,3.11575,https://www.djezzy5g.dz/map.html
djezzy-db17636a41,5G,djezzy,La Glaciere Rue du hana,BACH DJERRAH,,,,16,36.7291,3.1207,https://www.djezzy5g.dz/map.html
djezzy-c0ecce1b60,5G,djezzy,IGECO,BACH DJERRAH,,,,16,36.7201,3.11446,https://www.djezzy5g.dz/map.html
djezzy-9c1b463d01,5G,djezzy,B. Poste Bach Djarrah,BACH DJERRAH,,,,16,36.7225,3.11991,https://www.djezzy5g.dz/map.html
djezzy-e72010173e,5G,djezzy,Baraki Djaafar Cherif,BARAKI,,,,16,36.66726,3.09592,https://www.djezzy5g.dz/map.html
djezzy-8558604161,5G,djezzy,Marhaba Sidi Moussa,BARAKI,,,,16,36.6589,3.1026,https://www.djezzy5g.dz/map.html
djezzy-82c1add7cf,5G,djezzy,Usine Continental,BARAKI,,,,16,36.6464,3.1095,https://www.djezzy5g.dz/map.html
djezzy-db7019a8b0,5G,djezzy,Baraki cite Touileb,BARAKI,,,,16,36.67021,3.10286,https://www.djezzy5g.dz/map.html
djezzy-72a1a543d2,5G,djezzy,HAOUCHE MERIEM,BARAKI,,,,16,36.67031,3.11834,https://www.djezzy5g.dz/map.html
djezzy-9cbaf6fecc,5G,djezzy,Benghazi 2,BARAKI,,,,16,36.68609,3.10071,https://www.djezzy5g.dz/map.html
djezzy-0c55bb31cf,5G,djezzy,Bentalha 2,BARAKI,,,,16,36.6505,3.07619,https://www.djezzy5g.dz/map.html
djezzy-e4767c300f,5G,djezzy,Autoroute Oued Smar,BARAKI,,,,16,36.68851,3.11555,https://www.djezzy5g.dz/map.html
djezzy-fc4cdeda34,5G,djezzy,Baraki,BARAKI,,,,16,36.66658,3.08952,https://www.djezzy5g.dz/map.html
djezzy-bad885427a,5G,djezzy,Eldjilali,BARAKI,,,,16,36.64739,3.07236,https://www.djezzy5g.dz/map.html
djezzy-2f0d837471,5G,djezzy,BARAKI SMALL CELL,BARAKI,,,,16,36.664494,3.118547,https://www.djezzy5g.dz/map.html
djezzy-a1a422dfb2,5G,djezzy,Haouch Mihoub 2,BARAKI,,,,16,36.66131,3.09134,https://www.djezzy5g.dz/map.html
djezzy-8ed8496669,5G,djezzy,Touileb 2,BARAKI,,,,16,36.6659,3.1075,https://www.djezzy5g.dz/map.html
djezzy-1325e26efd,5G,djezzy,Cite Touileb 2,BARAKI,,,,16,36.67081,3.10921,https://www.djezzy5g.dz/map.html
djezzy-5a93b44071,5G,djezzy,BARAKI_4,BARAKI,,,,16,36.6625,3.0955,https://www.djezzy5g.dz/map.html
djezzy-f43caed839,5G,djezzy,HAOUCHE MIHOUB2,BARAKI,,,,16,36.6584,3.0935,https://www.djezzy5g.dz/map.html
djezzy-4bf372bebe,5G,djezzy,Cite Ahmed ghazi baraki,BARAKI,,,,16,36.65851,3.09819,https://www.djezzy5g.dz/map.html
djezzy-9c2612d9bb,5G,djezzy,Baraki_Baba ali,BARAKI,,,,16,36.67391,3.08578,https://www.djezzy5g.dz/map.html
djezzy-35c6e0376c,5G,djezzy,MENASRIA,BARAKI,,,,16,36.66751,3.12391,https://www.djezzy5g.dz/map.html
djezzy-51237a0947,5G,djezzy,citéMihoub1400lgts,BARAKI,,,,16,36.6553,3.0936,https://www.djezzy5g.dz/map.html
djezzy-f160445a2a,5G,djezzy,cite Tribou bab Ezzouar,BEB EZZOUAR,,,,16,36.73046,3.18443,https://www.djezzy5g.dz/map.html
djezzy-8a4f9100cd,5G,djezzy,Cite Kaidi,BEB EZZOUAR,,,,16,36.73605,3.19379,https://www.djezzy5g.dz/map.html
djezzy-a337754f76,5G,djezzy,Cinq juillet,BEB EZZOUAR,,,,16,36.72177,3.18973,https://www.djezzy5g.dz/map.html
djezzy-5ca759bd0f,5G,djezzy,universite Bab Ezzouar 2,BEB EZZOUAR,,,,16,36.71418,3.18768,https://www.djezzy5g.dz/map.html
djezzy-37fd7a9073,5G,djezzy,universite Bab Ezzouar 1,BEB EZZOUAR,,,,16,36.71674,3.18421,https://www.djezzy5g.dz/map.html
djezzy-a594f2b0fa,5G,djezzy,Mercure,BEB EZZOUAR,,,,16,36.71455,3.19802,https://www.djezzy5g.dz/map.html
djezzy-87bc101ea0,5G,djezzy,Marriott Hotel,BEB EZZOUAR,,,,16,36.71261,3.19424,https://www.djezzy5g.dz/map.html
djezzy-e9fcc9e654,5G,djezzy,marchi Dubai,BEB EZZOUAR,,,,16,36.71615,3.17571,https://www.djezzy5g.dz/map.html
djezzy-ab20d15c36,5G,djezzy,zone industriel oued smar,BEB EZZOUAR,,,,16,36.7083,3.1891,https://www.djezzy5g.dz/map.html
djezzy-de7a708e51,5G,djezzy,Trade Center BEZ,BEB EZZOUAR,,,,16,36.71221,3.19684,https://www.djezzy5g.dz/map.html
djezzy-7f3f460705,5G,djezzy,CITE RABIA,BEB EZZOUAR,,,,16,36.72425,3.1842,https://www.djezzy5g.dz/map.html
djezzy-3841c47480,5G,djezzy,Direction des Douanes les Bananiers,BEB EZZOUAR,,,,16,36.728276,3.172827,https://www.djezzy5g.dz/map.html
djezzy-1a420d28c4,5G,djezzy,Cite SORICAL,BEB EZZOUAR,,,,16,36.73153,3.18977,https://www.djezzy5g.dz/map.html
djezzy-48579c0b8d,5G,djezzy,Les Bannaniers_2,BEB EZZOUAR,,,,16,36.73328,3.18039,https://www.djezzy5g.dz/map.html
djezzy-ff84b47d27,5G,djezzy,Hammam soufi,BEB EZZOUAR,,,,16,36.73291,3.19351,https://www.djezzy5g.dz/map.html
djezzy-2199d9ceb8,5G,djezzy,Bab Ezzouar 3,BEB EZZOUAR,,,,16,36.7352,3.18439,https://www.djezzy5g.dz/map.html
djezzy-14f88b565f,5G,djezzy,Bordj EL Kiffen,BEB EZZOUAR,,,,16,36.74033,3.19396,https://www.djezzy5g.dz/map.html
djezzy-8532f71e59,5G,djezzy,CitÃ© EPLF Beb Ezzouar,BEB EZZOUAR,,,,16,36.72094,3.18019,https://www.djezzy5g.dz/map.html
djezzy-05b16d9cff,5G,djezzy,les Bananies,BEB EZZOUAR,,,,16,36.72977,3.1802,https://www.djezzy5g.dz/map.html
djezzy-f8343bfa33,5G,djezzy,Cite Rabia,BEB EZZOUAR,,,,16,36.72344,3.17594,https://www.djezzy5g.dz/map.html
djezzy-6a698e4adc,5G,djezzy,Bab_Ezzouar,BEB EZZOUAR,,,,16,36.72652,3.18441,https://www.djezzy5g.dz/map.html
djezzy-e9bf2202fb,5G,djezzy,Bab Ezzouar 2,BEB EZZOUAR,,,,16,36.718,3.175,https://www.djezzy5g.dz/map.html
djezzy-549240a5c8,5G,djezzy,Cité les Bananiers,BEB EZZOUAR,,,,16,36.72611,3.16931,https://www.djezzy5g.dz/map.html
djezzy-8a141e3066,5G,djezzy,cité El Djorf bab Ezzouar,BEB EZZOUAR,,,,16,36.72107,3.17417,https://www.djezzy5g.dz/map.html
djezzy-a441b83ced,5G,djezzy,Huawei OBP,BEB EZZOUAR,,,,16,36.708236,3.187963,https://www.djezzy5g.dz/map.html
djezzy-7c503f4ad7,5G,djezzy,Frais Vallon,BEN AKNOUN,,,,16,36.756,3.01946,https://www.djezzy5g.dz/map.html
djezzy-2a1a15143d,5G,djezzy,Fac de droit_1,BEN AKNOUN,,,,16,36.76292,3.01722,https://www.djezzy5g.dz/map.html
djezzy-650eaad3de,5G,djezzy,Ben aknoun 2,BEN AKNOUN,,,,16,36.75311,3.00805,https://www.djezzy5g.dz/map.html
djezzy-6de4683000,5G,djezzy,Cite Moudjahidinne,BENI MESSOUS,,,,16,36.7786,2.9694,https://www.djezzy5g.dz/map.html
djezzy-b46f5d43ba,5G,djezzy,BENI MESSOUS,BENI MESSOUS,,,,16,36.78138,2.98279,https://www.djezzy5g.dz/map.html
djezzy-1771cf5892,5G,djezzy,Ecole de banque,BENI MESSOUS,,,,16,36.7938,2.9879,https://www.djezzy5g.dz/map.html
djezzy-7b2eb24fcb,5G,djezzy,Zonca,BIR KHADEM,,,,16,36.7087,3.06288,https://www.djezzy5g.dz/map.html
djezzy-8480c060ee,5G,djezzy,Ain Naadja,BIR KHADEM,,,,16,36.70314,3.07084,https://www.djezzy5g.dz/map.html
djezzy-ffc7f63b67,5G,djezzy,Mono El Kadous,BIR KHADEM,,,,16,36.7092,3.03381,https://www.djezzy5g.dz/map.html
djezzy-79231c1faa,5G,djezzy,Bir Khadem Hai Saada,BIR KHADEM,,,,16,36.7218,3.03838,https://www.djezzy5g.dz/map.html
djezzy-9fc817d8a5,5G,djezzy,Chemin amrane Ouamrane,BIR KHADEM,,,,16,36.714935,3.03998,https://www.djezzy5g.dz/map.html
djezzy-37be3e2daf,5G,djezzy,Bir Khadem 4,BIR KHADEM,,,,16,36.7248,3.0738,https://www.djezzy5g.dz/map.html
djezzy-cfdce95bec,5G,djezzy,BIR KHADEM 2,BIR KHADEM,,,,16,36.7262,3.0431,https://www.djezzy5g.dz/map.html
djezzy-848f9dde1d,5G,djezzy,Hopital texrain,BIR MOURAD RAIS,,,,16,36.731879,3.030623,https://www.djezzy5g.dz/map.html
djezzy-cdeaeb5a04,5G,djezzy,Hydra_2,BIR MOURAD RAIS,,,,16,36.74026,3.03777,https://www.djezzy5g.dz/map.html
djezzy-a93447f3b2,5G,djezzy,Aadache 2,BIRTOUTA,,,,16,36.65285,2.98719,https://www.djezzy5g.dz/map.html
djezzy-68e1553fc7,5G,djezzy,ADACHE,BIRTOUTA,,,,16,36.64583,2.99581,https://www.djezzy5g.dz/map.html
djezzy-abcd61946b,5G,djezzy,Birtouta 4,BIRTOUTA,,,,16,36.6397,3.0116,https://www.djezzy5g.dz/map.html
djezzy-e313846970,5G,djezzy,ouled sidi mohamed Birtouta,BIRTOUTA,,,,16,36.62255,2.96426,https://www.djezzy5g.dz/map.html
djezzy-12015dac58,5G,djezzy,Autoroute Birtouta_Boufarik,BIRTOUTA,,,,16,36.639,2.9805,https://www.djezzy5g.dz/map.html
djezzy-ba98349fcf,5G,djezzy,Baba Ali 2,BIRTOUTA,,,,16,36.66059,3.05567,https://www.djezzy5g.dz/map.html
djezzy-717b9d99d1,5G,djezzy,BETROUNA,BIRTOUTA,,,,16,36.68257,3.0391,https://www.djezzy5g.dz/map.html
djezzy-0e5aad92e3,5G,djezzy,BIR TOUTA,BIRTOUTA,,,,16,36.64839,2.99836,https://www.djezzy5g.dz/map.html
djezzy-13630ec93a,5G,djezzy,Terre familiale bordj El bahri,BORDJ EL BAHRI,,,,16,36.7797,3.2536,https://www.djezzy5g.dz/map.html
djezzy-c8990a5a67,5G,djezzy,cite Dermouche bordj El bahri,BORDJ EL BAHRI,,,,16,36.79517,3.25023,https://www.djezzy5g.dz/map.html
djezzy-2686271c41,5G,djezzy,BORDJ EL BAHRI_4,BORDJ EL BAHRI,,,,16,36.78052,3.24908,https://www.djezzy5g.dz/map.html
djezzy-0c32c830c2,5G,djezzy,Abane Ramdane 2,BORDJ EL BAHRI,,,,16,36.79314,3.25367,https://www.djezzy5g.dz/map.html
djezzy-f0ddb5ad34,5G,djezzy,Diar el Gharb,BORDJ EL BAHRI,,,,16,36.7942,3.25876,https://www.djezzy5g.dz/map.html
djezzy-e678bc259b,5G,djezzy,La Brise,BORDJ EL BAHRI,,,,16,36.78532,3.24371,https://www.djezzy5g.dz/map.html
djezzy-d929c064a8,5G,djezzy,BRISE MARINE,BORDJ EL BAHRI,,,,16,36.78639,3.24966,https://www.djezzy5g.dz/map.html
djezzy-607692e402,5G,djezzy,BORDJ EL BAHRI_5,BORDJ EL BAHRI,,,,16,36.77847,3.23312,https://www.djezzy5g.dz/map.html
djezzy-d7f0c051a9,5G,djezzy,Coucou Plage 2,BORDJ EL BAHRI,,,,16,36.77648,3.24043,https://www.djezzy5g.dz/map.html
djezzy-ceba3d9628,5G,djezzy,cite 2000 lgts Benjaida,BORDJ EL BAHRI,,,,16,36.7927,3.2447,https://www.djezzy5g.dz/map.html
djezzy-0f7f52fb1c,5G,djezzy,Cite diplomatique 2,BORDJ EL KIFFAN,,,,16,36.7757,3.2624,https://www.djezzy5g.dz/map.html
djezzy-a06178e2e4,5G,djezzy,Ben Zerga_1,BORDJ EL KIFFAN,,,,16,36.75782,3.24955,https://www.djezzy5g.dz/map.html
djezzy-18ee28c11f,5G,djezzy,Palais d'Afrique,BORDJ EL KIFFAN,,,,16,36.75893,3.23494,https://www.djezzy5g.dz/map.html
djezzy-bc0116f96b,5G,djezzy,Si Smail 05,BORDJ EL KIFFAN,,,,16,36.748482,3.225841,https://www.djezzy5g.dz/map.html
djezzy-b11e8b84fb,5G,djezzy,BEN MERABET,BORDJ EL KIFFAN,,,,16,36.74966,3.22097,https://www.djezzy5g.dz/map.html
djezzy-15d63cf889,5G,djezzy,Ben Zerga,BORDJ EL KIFFAN,,,,16,36.7642,3.2493,https://www.djezzy5g.dz/map.html
djezzy-67f4fce5a8,5G,djezzy,cite Ben Redouane BEK,BORDJ EL KIFFAN,,,,16,36.755851,3.227878,https://www.djezzy5g.dz/map.html
djezzy-01e97d3f59,5G,djezzy,Bordj el Kiiffane_3,BORDJ EL KIFFAN,,,,16,36.74896,3.19251,https://www.djezzy5g.dz/map.html
djezzy-4dd31744cc,5G,djezzy,Verte rive,BORDJ EL KIFFAN,,,,16,36.75137,3.20198,https://www.djezzy5g.dz/map.html
djezzy-17e03c5b28,5G,djezzy,Cite Diplomatique,BORDJ EL KIFFAN,,,,16,36.77029,3.26232,https://www.djezzy5g.dz/map.html
djezzy-cdec999366,5G,djezzy,BORDJ EL KIFFANE_3,BORDJ EL KIFFAN,,,,16,36.74629,3.18916,https://www.djezzy5g.dz/map.html
djezzy-0f014963d9,5G,djezzy,Cité Ben Redouane 2,BORDJ EL KIFFAN,,,,16,36.75398,3.22414,https://www.djezzy5g.dz/map.html
djezzy-ae59a1e06b,5G,djezzy,Cite DNC,BORDJ EL KIFFAN,,,,16,36.76869,3.27034,https://www.djezzy5g.dz/map.html
djezzy-b98ae46524,5G,djezzy,Cite Kaidi_2,BORDJ EL KIFFAN,,,,16,36.73912,3.20378,https://www.djezzy5g.dz/map.html
djezzy-4a609e381d,5G,djezzy,Mouhous,BORDJ EL KIFFAN,,,,16,36.74451,3.20182,https://www.djezzy5g.dz/map.html
djezzy-eb89f010c3,5G,djezzy,Sorical_1,BORDJ EL KIFFAN,,,,16,36.7399,3.1871,https://www.djezzy5g.dz/map.html
djezzy-2c215bc3b9,5G,djezzy,Ali Sadek 2 BEK,BORDJ EL KIFFAN,,,,16,36.7523,3.2321,https://www.djezzy5g.dz/map.html
djezzy-08566ae838,5G,djezzy,Ben Zerga Doum,BORDJ EL KIFFAN,,,,16,36.77004,3.24148,https://www.djezzy5g.dz/map.html
djezzy-0f17ebb2f3,5G,djezzy,BEN MERABET,BORDJ EL KIFFAN,,,,16,36.7621,3.2442,https://www.djezzy5g.dz/map.html
djezzy-77d9c3fe12,5G,djezzy,cite Doum 2,BORDJ EL KIFFAN,,,,16,36.7731,3.2394,https://www.djezzy5g.dz/map.html
djezzy-bbe1b1e75a,5G,djezzy,cite Doum BEK,BORDJ EL KIFFAN,,,,16,36.77139,3.23499,https://www.djezzy5g.dz/map.html
djezzy-832bbeb0ab,5G,djezzy,Dergana,BORDJ EL KIFFAN,,,,16,36.76919,3.2565,https://www.djezzy5g.dz/map.html
djezzy-9c006345b5,5G,djezzy,VERTE RIVE_3,BORDJ EL KIFFAN,,,,16,36.7542,3.2053,https://www.djezzy5g.dz/map.html
djezzy-c2c5c4a4e5,5G,djezzy,La station,BORDJ EL KIFFAN,,,,16,36.74671,3.18185,https://www.djezzy5g.dz/map.html
