id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type
1,سبخة تمنطيط,Sebkha Tamantit,سبخة تمنطيط,01,,,27.7863798,-0.2658982,exact,osm,osm,"{""osm"":""4798706021""}",artwork
10,حداد,,,05,,,35.5336563,6.1502324,exact,osm,osm,"{""osm"":""5323749621""}",artwork
100,ÎLOT 661,,,16,,,36.7303076,3.2311592,exact,osm,osm,"{""osm"":""6062724102""}",artwork
1000,مسجد بلال بن رباح,Mosquée,مسجد بلال بن رباح,43,,,36.1094602,6.3459715,exact,osm,osm,"{""osm"":""1199488648""}",museum
1001,مقام الشهداء,Monument des Martyrs,مقام الشهداء,43,,,36.5713448,6.3406752,exact,osm,osm,"{""osm"":""5099406866""}",museum
1002,L'Armurerie de l'Emir Abdelkader,,,44,,,36.3049694,2.231447,exact,osm,osm,"{""osm"":""252385888""}",museum
1003,Musée Emir Abdelkader,Musée Emir Abdelkader,متحف الأمير عبد القادر,44,,,36.3043822,2.2267779,exact,osm,osm,"{""osm"":""245387863""}",museum
1004,Musée du Dinausaure d'Oulgag,,,45,,,32.7447217,-1.0428038,exact,osm,osm,"{""osm"":""11377920396""}",museum
1005,متحف المجاهد,Musée Moudjahid,متحف المجاهد,45,,,33.2620768,-0.315981,exact,osm,osm,"{""osm"":""4634834295""}",museum
1006,Musée communal (ex. APC),,,46,,,35.3033029,-1.0295123,exact,osm,osm,"{""osm"":""548357102""}",museum
1007,Planétarium de Ghardaia,Planétarium de Ghardaia,القبة السماوية بغرداية,47,,,32.5035163,3.6841345,exact,osm,osm,"{""osm"":""376095348""}",museum
1008,لالا ساهلا / بودوايا / ⵍⴰⵍⵍⵣ ⵙⴰⵀⵍⴰ / ⴱⵓⴷⵡⴰⵢⴰ / lalla sahla / budwayz,Lalla Sahla,لالا ساهلا بودوايا,47,,,32.8276144,3.7650286,exact,osm,osm,"{""osm"":""4322932691""}",museum
1009,متحف المجاهد,Musée Moudjahid,متحف المجاهد,47,,,32.2689942,3.6314971,exact,osm,osm,"{""osm"":""1464592735""}",museum
101,Îlot 616,,,16,,,36.7380075,3.2331888,exact,osm,osm,"{""osm"":""6874188286""}",artwork
1010,مسجد الامام,Masdjid,مسجد الامام,47,,,32.3540738,3.7985944,exact,osm,osm,"{""osm"":""4541141194""}",museum
1011,Kalâa des Beni Rached Museum,Musée du Kalâa des Beni Rached,متحف قلعة بني راشد,48,,,35.5842706,0.3283857,exact,osm,osm,,museum
1012,المركز الجزائري للتراث الثقافي,Centre Algerien du Patrimoine Culturel,المركز الجزائري للتراث الثقافي,49,,,29.2624601,0.2305536,exact,osm,osm,"{""osm"":""6185861185""}",museum
1013,متحف بني عباس,Musée de Béni-Abbés,متحف بني عباس,52,,,30.1292333,-2.1766917,exact,osm,osm,"{""osm"":""1937168048""}",museum
1014,manzel,,,53,,,27.1932743,2.47272,exact,osm,osm,"{""osm"":""1339141268""}",museum
1015,متحف المجاهدين,Musée de Moudjahid,متحف المجاهدين,55,,,33.1057079,6.0697328,exact,osm,osm,"{""osm"":""384334493""}",museum
1016,متحف الطاسيلي Musée Tassili,Musée Tassili,متحف الطاسيلي,56,,,24.5543734,9.4860718,exact,osm,osm,"{""osm"":""1462253398""}",museum
1017,متحف والتسجيل الطاسيلي,,متحف والتسجيل الطاسيلي,56,,,24.554138,9.4862973,exact,osm,osm,"{""osm"":""4529065143""}",museum
1018,Mosquée,,مسجد,58,,,30.5875364,2.8742878,exact,osm,osm,"{""osm"":""4142664289""}",museum
1019,المتحف,Musée,متحف,58,,,30.5836511,2.8849125,exact,osm,osm,"{""osm"":""4137876391""}",museum
102,البستان,Le jardin,البستان,16,,,36.736408,3.0518859,exact,osm,osm,"{""osm"":""6028141685""}",artwork
1020,Museum of the Revolution,,متحف الثورة,61,,,35.2226905,5.7096721,exact,osm,osm,,museum
1021,Musée Lapidaire d'El Kantara,Musée Lapidaire d'El Kantara,,61,,,35.2209415,5.700887,exact,osm,osm,"{""osm"":""4593419690""}",museum
1022,Musée de Moudjahid,Musée de Moudjahid,متحف المجاهد,68,,,35.2182843,4.1770536,exact,osm,osm,"{""osm"":""378653731""}",museum
1023,Musée national Nasreddine Dinet,Musée national Nasreddine Dinet,متحف بوسعادة,68,,,35.21654,4.18121,exact,osm,osm,,museum
1024,Nasr Eddine Dinet National Public Museum of Bou-Saâda,,المتحف الوطني العمومي نصر الدين ديني ببوسعادة,68,,,35.2161111,4.1811111,exact,osm,osm,,museum
1025,متحف ناصر الدين ديني,musée étienne dinet,متحف ناصر الدين ديني,68,,,35.2161803,4.1811803,exact,osm,osm,"{""osm"":""5899354185""}",museum
1026,Petit Parc et Zoo Intéressant,,,02,,,36.1470551,1.5191543,exact,osm,osm,"{""osm"":""237296388""}",theme_park
1027,مناج عين مليلة بوزابين,Bouzabine parck land__entree 100 da,,04,,,36.0127288,6.5682124,exact,osm,osm,"{""osm"":""1045526202""}",theme_park
1028,LOMPI Family Park,,,05,,,35.7138214,6.3344016,exact,osm,osm,"{""osm"":""293521599""}",theme_park
1029,Parc d'attraction Kadri,,,05,,,35.6212312,6.2556753,exact,osm,osm,"{""osm"":""256392098""}",theme_park
103,الوكالة الوطنية للتشغيل باب الزوار,Agence nationale de l'emploi,الوكالة الوطنية للتشغيل باب الزوار,16,,,36.7211717,3.186481,exact,osm,osm,"{""osm"":""4540491390""}",artwork
1030,Aire de repos,Aire de repos,استراحة على الطريق,06,,,36.7690705,5.0891388,exact,osm,osm,"{""osm"":""378082560""}",theme_park
1031,Aqua Palm - الحديقة المائية أكوا بالم,Parc aquatique AquaPalm,الحديقة المائية أكوا بالم,07,,,34.8245095,5.7736616,exact,osm,osm,"{""osm"":""456361868""}",theme_park
1032,CLF 3°RM,,,08,,,31.6139909,-2.2183943,exact,osm,osm,"{""osm"":""272972080""}",theme_park
1033,Parc d'Attraction,,حديقة الترفيه,08,,,31.6379195,-2.1942088,exact,osm,osm,"{""osm"":""274048679""}",theme_park
1034,Parc d'attraction et de loisir,,,09,,,36.4872167,3.0449427,exact,osm,osm,"{""osm"":""1362025122""}",theme_park
1035,Parc de loisirs familial de Blida,Parc de loisirs familial de Blida,حديقة التسلية العائلية للبليدة,09,,,36.4679941,2.8025895,exact,osm,osm,"{""osm"":""353919460""}",theme_park
1036,Centre de loisirs familial Khidel El-Safi;مركز الترفيه العائلي خيدل الصافي,Centre de loisirs familial Khidel El-Safi,مركز الترفيه العائلي المجاهد خيدل الصافي,11,,,22.7922114,5.5366919,exact,osm,osm,"{""osm"":""263856293""}",theme_park
1037,حظيرة التسلية,Parc Famillial,حظيرة التسلية,12,,,35.4113385,8.1043657,exact,osm,osm,"{""osm"":""593944459""}",theme_park
1038,متنزه الملاهي,Parc d'attraction,متنزه الملاهي,12,,,35.4214277,8.1147074,exact,osm,osm,"{""osm"":""209386378""}",theme_park
1039,Parc d'attractions Lella setti,,,13,,,34.8642453,-1.3153346,exact,osm,osm,"{""osm"":""360209938""}",theme_park
104,بيتى,ma maison,بيتى,16,,,36.6881581,2.9807048,exact,osm,osm,"{""osm"":""5875279686""}",artwork
1040,Air Planes,,الطائرات,14,,,35.3859657,1.307888,exact,osm,osm,"{""osm"":""953023847""}",theme_park
1041,Bumper cars,,السيارات الكهربائية,14,,,35.3864107,1.3079812,exact,osm,osm,"{""osm"":""953023851""}",theme_park
1042,Dragon track,,مضمار التنين,14,,,35.3866957,1.3072824,exact,osm,osm,"{""osm"":""953023852""}",theme_park
1043,Game 10,,اللعبة 10,14,,,35.3872427,1.3070445,exact,osm,osm,"{""osm"":""953023848""}",theme_park
1044,Pendulum Swing Ride,,أرجوحة بنديلوم,14,,,35.3871962,1.3076573,exact,osm,osm,"{""osm"":""953023849""}",theme_park
