id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type
historic-1,Ancienne piste d'aviation,,,01,,,26.4062703,0.0192765,exact,osm,osm,"{""osm"":""4318916905""}",aircraft
historic-10,Byzantine Fort in Timgad,Fort byzantin de Timgad,القلعة البيزنطية في تيمقاد,05,,,35.479736,6.46852,exact,osm,osm,,archaeological_site
historic-100,Benian ntaa Soumâa Citadel,,,35,,,36.7014594,3.550191,exact,osm,osm,"{""osm"":""1384102734""}",archaeological_site
historic-1000,Djamaâ Bou T'har,,,18,,,36.6946238,5.5923791,exact,osm,osm,"{""osm"":""5381018387""}",ruins
historic-1001,Lella Takouba,,لالة ثاكوبة,18,,,36.6166355,5.500535,exact,osm,osm,"{""osm"":""3728184747""}",ruins
historic-1002,Mali,,,18,,,36.6850986,5.7075069,exact,osm,osm,"{""osm"":""4323900018""}",ruins
historic-1003,Mzara,,,18,,,36.7968707,5.7001215,exact,osm,osm,"{""osm"":""4306380689""}",ruins
historic-1004,Mzarat Sidi Djebar,,مزارة سيدي جبار,18,,,36.6677512,5.5151323,exact,osm,osm,"{""osm"":""3721400641""}",ruins
historic-1005,Ruines du Sor,,,18,,,36.8245923,5.7599,exact,osm,osm,"{""osm"":""3060093977""}",ruins
historic-1006,Sidi Aghrib,,,18,,,36.6184172,5.4905328,exact,osm,osm,"{""osm"":""4386455942""}",ruins
historic-1007,Sidi Ahmed,,,18,,,36.6020362,5.5326448,exact,osm,osm,"{""osm"":""5376454786""}",ruins
historic-1008,Sidi Akellal,,,18,,,36.8225425,5.7225186,exact,osm,osm,"{""osm"":""4355219632""}",ruins
historic-1009,Sidi Ben Ouadda,,,18,,,36.7619161,5.6662017,exact,osm,osm,"{""osm"":""4355337405""}",ruins
historic-101,Castellum Tulei,,,35,,,36.778793,3.7976035,exact,osm,osm,"{""osm"":""1410759471""}",archaeological_site
historic-1010,Sidi Dris,,,18,,,36.6298239,5.489195,exact,osm,osm,"{""osm"":""4314513019""}",ruins
historic-1011,Sidi El Hadj,,سيدى الحاج,18,,,36.6166276,5.4794934,exact,osm,osm,"{""osm"":""4384691677""}",ruins
historic-1012,Sidi Nacer,,,18,,,36.6404193,5.4678685,exact,osm,osm,"{""osm"":""396072699""}",ruins
historic-1013,Sidi Rehal,,سيدي رحال,18,,,36.6132576,5.521855,exact,osm,osm,"{""osm"":""3721400640""}",ruins
historic-1014,Sidi Zaher,,,18,,,36.6339403,5.4989157,exact,osm,osm,"{""osm"":""367417205""}",ruins
