id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type
lodging-1,عريان الراس,,عريان الراس تسابيت,01,,,28.4162728,-0.2620846,exact,osm,osm,"{""osm"":""8107956617""}",alpine_hut
lodging-10,Maison des Jeunes Houari Boumedien,,,01,,,27.8678657,-0.2792621,exact,osm,osm,"{""osm"":""432711200""}",hostel
lodging-100,Albergue de Jeunesse Timgad,,,05,,,35.4908011,6.4677897,exact,osm,osm,"{""osm"":""5434161178""}",hostel
lodging-1000,Complexe Touristique Zouhour,Complexe Touristique Zouhour,فندق بوزور,27,,,35.8915758,0.0504455,exact,osm,osm,"{""osm"":""445314481""}",hotel
lodging-1001,Hotel & Complexe El Mountazah,,,27,,,35.8924084,0.0514248,exact,osm,osm,"{""osm"":""1176971971""}",hotel
lodging-1002,Hotel Les Palmiers,,,27,,,35.9233968,0.0773164,exact,osm,osm,"{""osm"":""2187487849""}",hotel
lodging-1003,Hotel Phenicia,,,27,,,35.8924121,0.0484782,exact,osm,osm,"{""osm"":""4665830500""}",hotel
lodging-1004,Hotêl Murustaga,,,27,,,35.8911301,0.0485027,exact,osm,osm,"{""osm"":""445314388""}",hotel
lodging-1005,Hôtel Côte Ouest,,,27,,,35.8916103,0.0486906,exact,osm,osm,"{""osm"":""2869537404""}",hotel
lodging-1006,Hôtel Munatec,Hôtel Munatec,,27,,,35.9324291,0.0909582,exact,osm,osm,"{""osm"":""4622550689""}",hotel
lodging-1007,Hôtel Murustaga,,,27,,,35.8913974,0.0487657,exact,osm,osm,"{""osm"":""2869532494""}",hotel
lodging-1008,Hôtel Palacio,Hôtel Palacio,,27,,,35.9294314,0.0874418,exact,osm,osm,"{""osm"":""4622546789""}",hotel
lodging-1009,Hôtel Riyadh,Hôtel Riyadh,,27,,,35.9327025,0.0911001,exact,osm,osm,"{""osm"":""4622550789""}",hotel
lodging-101,Auberge de jeunesse,,,05,,,35.2533814,6.3598235,exact,osm,osm,"{""osm"":""344014712""}",hostel
lodging-1010,Motel Kadi,Motel Kadi,,27,,,36.1644441,0.4406479,exact,osm,osm,"{""osm"":""4475628706""}",hotel
lodging-1011,Oasis,,الواحات,27,,,35.8928058,0.0508156,exact,osm,osm,"{""osm"":""4317130792""}",hotel
lodging-1012,Résidence La Baie d'Or,,,27,,,35.8871667,0.047657,exact,osm,osm,"{""osm"":""445309841""}",hotel
lodging-1013,Résidence Rahil,,,27,,,35.8880426,0.0481272,exact,osm,osm,"{""osm"":""445309980""}",hotel
lodging-1014,SNOUSSIA,SNOUSSIA,,27,,,35.921454,0.0647802,exact,osm,osm,"{""osm"":""4475694095""}",hotel
lodging-1015,إقامة الامراء,Hotel.Résidence El Omara (bungalow Grand Standing ),إقامة الامراء,27,,,35.8852353,0.0453777,exact,osm,osm,"{""osm"":""5842154987""}",hotel
lodging-1016,المركب السياحي بوزور,Hôtel & Complexe Bouzour,المركب السياحي بوزور,27,,,35.8918075,0.0505959,exact,osm,osm,"{""osm"":""4366487293""}",hotel
lodging-1017,فندق الجزائر,Hotel el djazair,فندق الجزائر,27,,,35.9334063,0.0899315,exact,osm,osm,"{""osm"":""7947181686""}",hotel
lodging-1018,منزل قيرش سماتي,,منزل قيرش سماتي,28,,,35.7230683,4.5292468,exact,osm,osm,"{""osm"":""5502900421""}",guest_house
lodging-1019,Hostel AYA,,,28,,,35.7111019,4.5390737,exact,osm,osm,"{""osm"":""9456808687""}",hostel
lodging-102,Auberge de jeunesse,,بيت الشباب,05,,,35.5487199,6.1691165,exact,osm,osm,"{""osm"":""534895985""}",hostel
lodging-1020,نزل الشباب,,نزل الشباب,28,,,35.7190055,4.5308909,exact,osm,osm,"{""osm"":""317451246""}",hostel
lodging-1021,El-ksob;القصب,El-ksob,القصب,28,,,35.7078369,4.5377443,exact,osm,osm,"{""osm"":""329878031""}",hotel
lodging-1022,Hotel Brainis,,,28,,,35.8687725,4.4046948,exact,osm,osm,"{""osm"":""911369489""}",hotel
lodging-1023,Hôtel El Kalâa,,,28,,,35.7247015,4.5490467,exact,osm,osm,"{""osm"":""317517086""}",hotel
lodging-1024,Marhaba,,,28,,,35.7020827,4.545504,exact,osm,osm,"{""osm"":""332351710""}",hotel
lodging-1025,Motel 20 août 55,,,28,,,35.706128,4.5450888,exact,osm,osm,"{""osm"":""1182995389""}",motel
lodging-1026,قاعة افراح سراجي,,قاعة افراح سراجي,29,,,35.3795964,0.1182773,exact,osm,osm,"{""osm"":""5035777032""}",alpine_hut
lodging-1027,قرية الجبايلية,,قرية الجبايلية,29,,,35.3340668,-0.1510883,exact,osm,osm,"{""osm"":""7861595185""}",alpine_hut
lodging-1028,السكن العسكري,,السكن العسكري,29,,,35.2519876,0.1552541,exact,osm,osm,"{""osm"":""5548912955""}",apartment
lodging-1029,EL lahak,,,29,,,35.5922593,0.0772386,exact,osm,osm,"{""osm"":""13626884102""}",guest_house
lodging-103,Hotel el Hayat,,الحياة Hotel alhayat,05,,,35.5540493,6.1757317,exact,osm,osm,"{""osm"":""5213025421""}",hostel
lodging-1030,Souag omar,,,29,,,35.4139668,0.1203694,exact,osm,osm,"{""osm"":""5123964922""}",guest_house
lodging-1031,ميهان مرحب ب,,ميهان مرحب ب,29,,,35.4015695,0.1320515,exact,osm,osm,"{""osm"":""7555661685""}",guest_house
lodging-1032,Auberge Mohammadia,,,29,,,35.5919182,0.0659743,exact,osm,osm,"{""osm"":""5585285222""}",hostel
lodging-1033,Hotel El Amir,,فندق الأمير,29,,,35.5953612,0.074939,exact,osm,osm,"{""osm"":""5216796519""}",hostel
lodging-1034,maison de jeunes,,,29,,,35.4592157,0.2954753,exact,osm,osm,"{""osm"":""4109228896""}",hostel
lodging-1035,دار الشباب لاغا الصادق,,دار الشباب لاغا الصادق,29,,,35.4053726,0.1307859,exact,osm,osm,"{""osm"":""4805309522""}",hostel
lodging-1036,علي قادة,,علي قادة,29,,,35.4087746,0.1492023,exact,osm,osm,"{""osm"":""4991262227""}",hostel
lodging-1037,80 Bungalow de Wilaya,,,29,,,35.3080851,-0.0489238,exact,osm,osm,"{""osm"":""1381179822""}",hotel
lodging-1038,Hôtel Aqua-Sirence,,,29,,,35.3172527,-0.0504044,exact,osm,osm,"{""osm"":""1382660791""}",hotel
lodging-1039,Hôtel Bel Air,Hôtel Bel Air,نزل الهواء الجميل,29,,,35.4116111,0.132796,exact,osm,osm,"{""osm"":""5010092322""}",hotel
lodging-104,باطيمات سيدي علي كيمل,,باطيمات سيدي علي كيمل,05,,,35.2175751,6.5426273,exact,osm,osm,"{""osm"":""6710746189""}",hostel
lodging-1040,Hôtel Beni Chougrane نزل بني شقران,Hôtel Beni Chougrane,نزل بني شقران,29,,,35.3133386,-0.048912,exact,osm,osm,"{""osm"":""250245731""}",hotel
lodging-1041,Hôtel Ech-chems,,نزل الشمس,29,,,35.3150633,-0.0506696,exact,osm,osm,"{""osm"":""250245418""}",hotel
lodging-1042,Hôtel NAKHIL,,,29,,,35.2514664,0.1564414,exact,osm,osm,"{""osm"":""3199214964""}",hotel
lodging-1043,Hôtel Royal,Hôtel Royal,فندق الرويال,29,,,35.3960948,0.1400276,exact,osm,osm,"{""osm"":""4922335895""}",hotel
lodging-1044,Hôtel de la mutuelle des PTT,Hôtel de la mutuelle des PTT,فندق تعاضدية البريد و المواصلات PTT,29,,,35.3125196,-0.0467114,exact,osm,osm,"{""osm"":""263027930""}",hotel
lodging-1045,Hôtel فندق,Hôtel,فندق,29,,,35.3146988,-0.0495998,exact,osm,osm,"{""osm"":""250245522""}",hotel
lodging-1046,Station thermale منتجع,Station thermale,منتجع,29,,,35.3142264,-0.0502065,exact,osm,osm,"{""osm"":""250236326""}",hotel
