id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,category
park-1,Parc National d'El Kala,Parc National d'El Kala,محمية القالة الوطنية,36,,,36.7708302,8.4383416,exact,osm,osm,"{""osm"":""5424406""}",national_park
park-10,الحظيرة الوطنية لجبل عيسى ⵓⵔⵜⵉ ⴰⵖⴻⵍⵏⴰⵡ ⵏ ⵓⴷⵔⴰⵔ ⵏ ⵄⵉⵙⴰ,Parc National de Djebel Aissa,الحظيرة الوطنية لجبل عيسى,45,,,32.8936561,-0.4917587,exact,osm,osm,"{""osm"":""459659059""}",national_park
park-11,Issoghla,,,35,,,36.6055421,3.417576,exact,osm,osm,"{""osm"":""7176485156""}",nature_reserve
park-12,Réserve Naturalle beni salah,,,36,,,36.5135975,7.8836538,exact,osm,osm,"{""osm"":""878583323""}",nature_reserve
park-13,Réserve naturelle de Beni Belaid,,,18,,,36.8722452,6.1025754,exact,osm,osm,"{""osm"":""388092495""}",nature_reserve
park-14,Réserve naturelle des Îles Habibas المحمية الطبيعية لجزر حبيباص,Réserve naturelle des Îles Habibas,المحمية الطبيعية لجزر حبيباص,46,,,35.7239726,-1.1306907,exact,osm,osm,"{""osm"":""612044367""}",nature_reserve
park-15,الجرابيع,,,07,,,34.1842568,6.8997709,exact,osm,osm,"{""osm"":""11638062584""}",nature_reserve
park-16,المواجن,Al Mawajin,المواجن,36,,,36.5003444,8.2683512,exact,osm,osm,"{""osm"":""53378986""}",nature_reserve
park-17,غابة الكراطسية محمية طبيعية,,,28,,,35.8646538,4.3935287,exact,osm,osm,"{""osm"":""13800632650""}",nature_reserve
park-18,Mohamed Lakhdar,,غابة محمد لخضر,04,,,35.8815364,7.1021068,exact,osm,osm,"{""osm"":""310313756""}",protected_area
park-19,Parc de la ville,Parc de la ville,الحديقة الحضرية - الصنوبر,04,,,35.8814005,7.1065949,exact,osm,osm,"{""osm"":""311166562""}",protected_area
park-2,Parc National de Belezma,Parc National de Belezma,الحظيرة الوطنية لبلزمة,05,,,35.6043409,6.1103355,exact,osm,osm,"{""osm"":""324041581""}",national_park
park-20,Piton d'Akbou,,,06,,,36.44458,4.5360445,exact,osm,osm,"{""osm"":""183797930""}",protected_area
park-21,Ruines Romaines de Timgad,Ruines Romaines de Timgad,الآثار الرومانية تيمقاد,05,,,35.4837052,6.4670134,exact,osm,osm,"{""osm"":""331768105""}",protected_area
park-22,complexe ADIM مجمع أديم,complexe ADIM,مجمع أديم,35,,,36.8038859,3.5760049,exact,osm,osm,"{""osm"":""3694988926""}",protected_area
park-23,ruines époque coloniale,,,04,,,35.8746238,7.1158861,exact,osm,osm,"{""osm"":""310819773""}",protected_area
park-24,جبل سيدي رغيس ⴰⴷⵔⴰⵔ ⵏ ⵙⵉⴷⵉ ⵔⵖⵉⵙ,,جبل سيدي رغيس,04,,,35.8939143,7.1203209,exact,osm,osm,"{""osm"":""359080773""}",protected_area
park-25,Belezma National Park,parc national de Belezma,الحظيرة الوطنية بلزمة,05,,,35.5833333,6.0333333,exact,wikidata,wikidata,"{""wikidata"":""Q2664184""}",national_park
park-26,Gouraya National Park,parc national de Gouraya,الحديقة الوطنية قورايا,06,,,36.7667,5.1,exact,wikidata,wikidata,"{""wikidata"":""Q2664193""}",national_park
park-27,Chrea National Park,parc national de Chréa,الحديقة الوطنية الشريعة,09,,,36.4,2.8666667,exact,wikidata,wikidata,"{""wikidata"":""Q2671600""}",national_park
park-28,Tlemcen National Park,parc national de Tlemcen,الحديقة الوطنية تلمسان,13,,,34.706346,-1.459733,exact,wikidata,wikidata,"{""wikidata"":""Q2664197""}",national_park
park-29,Djurdjura National Park,parc national du Djurdjura,الحديقة الوطنية جرجرة,15,,,36.4667,4.1333,exact,wikidata,wikidata,"{""wikidata"":""Q2580089""}",national_park
park-3,Parc National de Chréa,Parc National de Chréa,الحظيرة الوطنية الشريعة,09,,,36.4059411,2.8290758,exact,osm,osm,"{""osm"":""313971146""}",national_park
park-30,Taza National Park,parc national de Taza,الحديقة الوطنية تازة,18,,,36.7002,5.5594,exact,wikidata,wikidata,"{""wikidata"":""Q2671615""}",national_park
park-31,El Kala National Park,parc national d'El-Kala,محمية القالة الوطنية,36,,,36.8166667,8.4166667,exact,wikidata,wikidata,"{""wikidata"":""Q650992""}",national_park
park-32,Djebel Aissa National Park,parc national de Djebel Aissa,الحظيرة الوطنية لجبل عيسى,45,,,32.873,-0.486,exact,wikidata,wikidata,"{""wikidata"":""Q21484382""}",national_park
park-4,Parc National de Taza,,الحظيرة الوطنية لتازة,18,,,36.6922528,5.5862974,exact,osm,osm,"{""osm"":""313948936""}",national_park
park-5,Parc National de Theniet El Had,Parc National de Theniet El Had,الحظيرة الوطنية لثنية الحد,38,,,35.8536716,1.9681883,exact,osm,osm,"{""osm"":""325022973""}",national_park
park-6,Parc National du Djurdjura,Parc national du Djurdjura,الحضيرة الوطنية جرجرة,15,,,36.4646667,4.153164,exact,osm,osm,"{""osm"":""522229283""}",national_park
park-7,Parc national de Gouraya,Parc national de Gouraya,الحديقة الوطنية قورايا,06,,,36.7839182,5.0444532,exact,osm,osm,"{""osm"":""4589441""}",national_park
