id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,temperature_c,debit_l_s,altitude_m,minerality
1,FORAGE DAR OUAD,43,,BENI H'MIDENE,36.4625,6.4827778,exact,asal,asal,forage,32,15,423,BICARBONATEE CALCIQUE
10,SIDI SAID,02,,BOUKADIR,36.016467,1.196496,exact,asal,asal,source,24,0.13,235,BICARBONATEE CALCIQUE
100,HASSI EL KHFIF,55,,NGOUSSA,32.438263,5.356984,exact,asal,asal,source,53,120,105,CHLORUREE ET SULFATEE SODIQUE
101,EL DJAR 01,51,,FOUGHALA,34.413611,5.034528,exact,asal,asal,source,52.7,40,194,CHLORUREE ET SULFATEE SODIQUE ET CALCIQUE
102,HEMOUNA,02,,OULED BEN ABDELKADER,36.031062,1.27802,exact,asal,asal,source,22,0,164,CHLORUREE MAGNESIENNE
103,HAMMAM MALHA,48,,OUED ESSLEM,35.593015,0.897667,exact,asal,asal,hammam,28,7,495,CHLORUREE MAGNESIENNE
104,HAMMAM BENI YASSAAD,48,,MENDES,35.627617,0.97279,exact,asal,asal,hammam,30,6,530,CHLORUREE MAGNESIENNE
105,HAMMAM YAKHSAS,48,,SIDI KHATTAB,35.968489,0.515219,exact,asal,asal,hammam,38,5,40,CHLORUREE MAGNESIENNE
106,HAMMAM LABES,48,,SIDI KHATTAB,35.872406,0.591427,exact,asal,asal,hammam,38,4,41,CHLORUREE MAGNESIENNE
107,AIN EL GASRIA,48,,EL GUETTAR,36.064209,0.831126,exact,asal,asal,ain,38,4,429,CHLORUREE MAGNESIENNE
108,HAMMAM N'BAILS EL MINA,24,,HAMMAM N'BAILS,36.3257667,7.6450333,exact,asal,asal,hammam,42.2,6,457.2,CHLORUREE SODIQUE
109,HAMMAM DBEGH AIN CHEFFA,24,,HAMMAM DEBAGH,36.4605556,7.2694444,exact,asal,asal,hammam,71.5,12,274,CHLORUREE SODIQUE
11,AIN KADHI,02,,LABIODH MEDJADJA,36.265099,1.355854,exact,asal,asal,ain,22,0.12,522,BICARBONATEE CALCIQUE
110,HAMMAM DEBEGH BENADJI,24,,HAMMAM DEBEGH,36.4647222,7.2747222,exact,asal,asal,hammam,91,7,305,CHLORUREE SODIQUE
111,HAMMAM DEBEGH CASCADE,24,,HAMMAM DEBEGH,36.46,7.27,exact,asal,asal,hammam,95,25,303,CHLORUREE SODIQUE
112,HAMMAM DEBEGH CHEDAKHA,24,,HAMMAM DEBEGH,36.2127778,7.2677778,exact,asal,asal,hammam,97,25,342,CHLORUREE SODIQUE
113,HAMMAM SOKHNA,19,,HAMMAM SOKHNA,35.9836111,5.8108333,exact,asal,asal,hammam,45,35,900,CHLORUREE SODIQUE
114,DAMSSA,12,,TAOURA,36.0564194,8.1487167,exact,asal,asal,source,25,4,534,CHLORUREE SODIQUE
115,TESSA,41,,OUILEN,36.2186667,8.04415,exact,asal,asal,source,39.6,3,650,CHLORUREE SODIQUE
116,HAMMAM EL HALFA,10,,EL HACHEMIA,36.598611,3.590417,exact,asal,asal,hammam,1.1,62,600,CHLORUREE SODIQUE
117,"AIN EL KATTAR
 (EL CHAOUADRIA)",10,,EL HACHEMIA,36.598611,3.590417,exact,asal,asal,ain,0.8,25.6,821,CHLORUREE SODIQUE
118,HAMMAM SILLAL,06,,TIFRA,36.649776,4.672398,exact,asal,asal,hammam,47.3,5,330,CHLORUREE SODIQUE
119,HAMMAM SIDI YAHIA AL AIDLI,06,,BOUHAMZA,36.410643,4.588115,exact,asal,asal,hammam,45.8,3,245,CHLORUREE SODIQUE
12,AIN BOUZIANE,02,,LABIODH MEDJADJA,36.250356,1.3516,exact,asal,asal,ain,20,0.1,405,BICARBONATEE CALCIQUE
120,HAMMAM BEZZEZ,26,,SOUAGUI,36.086886,3.197763,exact,asal,asal,hammam,22,8,733,CHLORUREE SODIQUE
121,HAMMAM TOUAUSSA,26,,TABLAT,36.437157,3.287958,exact,asal,asal,hammam,21,1,500,CHLORUREE SODIQUE
122,HAMMAM M'NATEN,26,,ZOUBIRIA,36.04174,2.898663,exact,asal,asal,hammam,22,0.2,700,CHLORUREE SODIQUE
123,AIN EL MALHA,26,,OUED HARBIL,36.210472,2.648675,exact,asal,asal,ain,20,0.4,485,CHLORUREE SODIQUE
124,AOUINET EL BARAKA,09,,HAMMAM MELOUANE,36.483889,3.041944,exact,asal,asal,ain,32,0.9,213,CHLORUREE SODIQUE
125,MOUILHA,09,,L'ARBA,36.527222,3.176111,exact,asal,asal,source,24,0.7,174,CHLORUREE SODIQUE
126,TIHAMAMINE,09,,HAMMAM MELOUANE,36.488056,3.052778,exact,asal,asal,source,32,0.6,173,CHLORUREE SODIQUE
127,HAMMAM SERGUINE,14,,SERGUINE,35.293626,1.503981,exact,asal,asal,hammam,39,5,785,CHLORUREE SODIQUE
128,SID EL HADJ,14,,SIDI HOSNI,35.483848,1.476766,exact,asal,asal,source,21.6,0.5,676,CHLORUREE SODIQUE
129,HAMMAM CHIGUER,13,,HAMMAM BOUGHRARA,34.880759,-1.744685,exact,asal,asal,hammam,32,40,350,CHLORUREE SODIQUE
13,HAMMAM AISS EL KAMEL,44,,AIN LECHIEKH,36.076559,2.43146,exact,asal,asal,hammam,22,3,750,BICARBONATEE CALCIQUE
130,AIN EL HAMMAM,13,,AIN EL GHORABA,34.676979,-1.344578,exact,asal,asal,ain,26,10,835,CHLORUREE SODIQUE
131,HAMMAM SID ABDELI,13,,SIDI ABDELLI,35.075193,-1.149046,exact,asal,asal,hammam,34,10,365,CHLORUREE SODIQUE
132,SIDI RAHOU,13,,HENNAYA,34.920489,-1.386459,exact,asal,asal,source,24,1,518,CHLORUREE SODIQUE
133,AIN SIDI BERKABI,13,,SIDI ABDELLI,34.965573,-1.030071,exact,asal,asal,ain,22,0.1,475,CHLORUREE SODIQUE
134,AIN FRANIN,31,,BIR EL DJIR,35.764924,-0.520006,exact,asal,asal,ain,34.1,2.6,34,CHLORUREE SODIQUE
135,AIN MENTILA,38,,AMMI MOUSSA,35.78424,1.276966,exact,asal,asal,ain,30,6,420,CHLORUREE SODIQUE
136,HAMMAM ERROUDJET,48,,RAMKA,35.884023,1.317122,exact,asal,asal,hammam,35,5,625,CHLORUREE SODIQUE
137,AIN BAGRA,46,,HAMMAM BOUHDJER,35.359179,-0.967108,exact,asal,asal,ain,63,10,162,CHLORUREE SODIQUE
138,SIDI AYAD,46,,HAMMAM BOUHDJER,35.352154,-0.971728,exact,asal,asal,source,58,0.25,154,CHLORUREE SODIQUE
139,AIN OUARKA,69,,ASLA,32.728423,-0.152305,exact,asal,asal,ain,44.5,2.17,1011,CHLORUREE SODIQUE
14,HAMMAM GHRIB,44,,BIRBOUCHE,36.167702,2.465039,exact,asal,asal,hammam,22,2,414,BICARBONATEE CALCIQUE
140,HAMMAM CHAREF,17,,CHAREF,34.662705,2.853869,exact,asal,asal,hammam,42,25,1150,CHLORUREE SODIQUE
141,HAMMAM MESRANE,17,,HASSI BAHBAH,34.986687,3.058324,exact,asal,asal,hammam,51,15,850,CHLORUREE SODIQUE
142,HAMMAM EL BARAKA,38,,SIDI SLIMANE,35.866842,1.683682,exact,asal,asal,hammam,42,6,771,CHLORUREE SODIQUE
143,AIN CHIFAA,38,,SIDI SLIMANE,35.868992,1.688224,exact,asal,asal,ain,42,6,748,CHLORUREE SODIQUE
144,AIN KEHLA,53,,FOUGARET EZZOUA,27.393381,3.458185,exact,asal,asal,ain,0,28,355,CHLORUREE SODIQUE
145,HAMMAM SALHIN,07,,BISKRA,34.878397,5.674077,exact,asal,asal,hammam,43,30,116,CHLORUREE SODIQUE
146,HAMMAM CHEGGA,07,,OUMACHE,34.433717,5.915687,exact,asal,asal,hammam,22.2,0.02,19,CHLORUREE SODIQUE
147,EL BORMA,30,,EL BORMA,31.588403,9.168816,exact,asal,asal,source,40,80,239,CHLORUREE SODIQUE
148,GASSI TOUIL,30,,HASSI MESSAOUD,30.66034,6.525919,exact,asal,asal,source,50,100,188,CHLORUREE SODIQUE
149,HAI NASSER,30,,OUARGLA,31.974402,5.232434,exact,asal,asal,source,53,160,221,CHLORUREE SODIQUE
15,AIN KERMA,44,,AIN LECHIEKH,36.075241,2.445344,exact,asal,asal,ain,20,1,747,BICARBONATEE CALCIQUE
150,KHECHEM ERRIH GCA 0,55,,HASSI BEN ABDELLAH,32.307097,5.700746,exact,asal,asal,source,54,150,122,CHLORUREE SODIQUE
151,KHECHEM ERRIH,30,,HASSI BEN ABDELLAH,32.256438,5.6573,exact,asal,asal,source,52,250,130,CHLORUREE SODIQUE
152,SIDI MEHDI IV,55,,NEZLA,33.060161,6.108672,exact,asal,asal,source,56,200,82,CHLORUREE SODIQUE
153,HAMMAM DEHAMCHA,19,,DEHAMCHA,36.3412778,5.6166667,exact,asal,asal,hammam,28,180,742,CHLORUREE SODIQUE
154,HAMMAM NAKHLA,19,,RASFA,35.7327778,5.1675,exact,asal,asal,hammam,34.5,0.4,844,CHLORUREE SODIQUE ET BICARBONATE CALCIQUE
155,HAMMAM SISI EL HADJ,61,,EL OUTIA,35.100087,5.629255,exact,asal,asal,hammam,40.7,16,388,CHLORUREE SODIQUE ET CALCIQUE
156,AIN TAHMAMINT,13,,CHETOUANE,34.94607,-1.308288,exact,asal,asal,ain,32,2,365,CHLORUREE SODIQUE ET MAGNESIENNE
157,HAMMAM SIDI DJABALAH,36,,LAC DES OISEAUX,36.74,8.1544444,exact,asal,asal,hammam,37.2,0.8,306,"CHLORUREE SODIQUE, BICARBONATEE CALCIQUE"
158,HAMMAM MEXA,36,,BOUGOUS,36.7,8.39,exact,asal,asal,hammam,38,0.8,118,"CHLORUREE SODIQUE, BICARBONATEE CALCIQUE"
159,HAMMAM DELAA,28,,HAMMAM DELAA,35.600331,4.379515,exact,asal,asal,hammam,40,2,758,CHLORUREE SULFATEE CALCIQUE ET SODIQUE
16,ZEGHAGHA LAGHROUS,02,,TACHTA ZOUGAGHA,36.366652,1.629972,exact,asal,asal,source,21,0.12,754,BICARBONATEE CALCIQUE
160,BAKHLA,01,,BOUDA,28.010049,-0.448108,exact,asal,asal,source,27,3,238,CHLORUREE SULFATEE SODIQUE
161,HAMMAM OULED YELLES,19,,MEZLOUG,36.0638889,5.2488889,exact,asal,asal,hammam,43,0,920,EAU CHLORO-SULFATEE CALCIQUE RICHE EN MAGNESIUM ET SODIUM
