الولاية,العنوان,الهاتف,الفاكس
أدرار,طريق طالب محمد,049364828,049364811
عين الدفلى,شارع 19 مارس عين الدفلى,027504532,027504534
عين تيموشنت,حي زيتون 46000 عين تيموشنت,043779801,043779799
الجزائر,الطريق الوطني رقم 05 خمسة مقابل مقبرة العالية,021522745,021523606
عنابة,ساحة الثورة 23000,038450084,038450079
باتنة,حي كشيدة,033852568,033807044
بسكرة,شارع الامير عبد القادر المحطة,033558372,033558371
البليدة,حي عزي علي سيدي عبد القادر,025391347,025246531
برج بوعريريج,شارع هواري بومدينن برج بوعريريج,035733134,035733130
البويرة,طريق بوكارو مخلوف,026730210,026730177
بومرداس,المقر الجديدالكائن بحي البرتقال 35000 بومرداس,024795014,024795014
بشار,05، العقيد شابو برقة,049210362,049210364
بجاية,الحي الإداري الجديد، طريق الإخوة ثابت، بجاية,034102606,034102612
الشلف,شارع بلحمري جيلالي، الشلف,027775900,027790575
قسنطينة,ساحة الشهداء، وسط المدينة 25800,031872804,031873219
الجلفة,حي راس العيون، طريق الأغواط الجلفة,027921857,027921859
البيض,وسط المدينة 32000، البيض,049611395,049611419
الوادي,طريق محمد خميستي الوادي,032140083,032140080
الطارف,حي بوحجر، الطارف,038601614,038601613
غرداية,40 حي الأمير عبد القادر,029285099,029295411
قالمة,حي بارة لخضر عقابي، قالمة,037111291,037111293
إليزي,طريق مصطفي بن بولعيد، وسط المدينة، 33000 إليزي,029402861,029402860
جيجل,الحي الإداري أولاد عيسى,034471580,034495980
خنشلة,خنشلة 40000,032746713,032746853
الأغواط,محافير,029145412,029146484
معسكر,طريق سيدي سحنون الراسدية طريق تيارت، 29000 معسكر,045711850,045711853
ميلة,طريق بن كربة لخضر، 43000، ميلة,031480233,031480235
مستغانم,حي وادي الحدائق، 27000، مستغانم,045415111,045415113
المدية,شارع سلفادور حي المصلى المدية،35000,025793685,025793686
مسيلة,الحي الإداري 28000,035350669,035550014
النعامة,حي 164 مسكن، 45000، النعامة,049595294,049595327
وهران,02، الاستاذ عابد محمد، بلاطو، وهران,041301011,041301031
ورقلة,نهج القدس،30000،ورقلة,029712274,029713730
أم البواقي,حي العربي بن مهيدي، أم البواقي,032563110,032563262
غليزان,حي 24 مسكن دلاس، غليزان,046716388,046716379
سعيدة,حي الرياض، سعيدة,048374123,048374121
سيدي بلعباس,طريق بوخنافيس، المستشفى22000,048769507,048769512
سكيكدة,حي الإخوة شبل، سكي أوتو ديدوش مراد سابقا، 21000,038751510,038753916
سوق أهراس,حي، 08 مكاتب، وسط المدينة، 41000,037754090,037754092
سطيف,حي عين تيبينات، 19000,036621019,036621017
تمنراست,3048حي السلام,029310210,029310211
تيارت,شارع بوليس عمار، طريق بوشقيف، تيارت,046244408,046244407
تندوف,طريق الثورة، حي قصابي، تندوف، 37000,049922029,049376756
تيبازة,حي 50 مسكن، 42038، الناظور,024476933,024376981
تيسمسيلت,حي عين البرج، تيسمسيلت,046477970,046567209
تيزي وزو,الثانوية الجديدة، محطة القطار، سوق الفلاح بلوعة,026209036,026200508
تلمسان,شارع 24 متر، تلمسان,043422347,043422031
تبسة,طريق قسنطينة,037592700,037592837
تيميمون,شارع عبد القادر الزيادي تيميمون,049305106,049305106
برج باجي مختار,الحي الوظيفي,049322629,049322629
أولاد جلال,الحي الاداري الجديد,033660143,033660145
بني عباس,المجمع الاداري لولاية بني عباس,049286205,049286206
إن صالح,وسط مدينة إن صالح,029366501,029366501
إن قزام,وسط مدينة إن قزام,029354460,029354460
توقرت,الحي الاداري المستقبل توقرت,044698681,044698680
جانت,حي الزلوز جانت,029487154,029487154
المغير,الحي الإداري أول نوفمبر,047420560,047420562
المنيعة,الحي الاداري بلباشير المنيعة,044441477,044441293
