الولاية,المحافظة,العنوان,الهاتف,الفاكس
أدرار,محافظة الغابات أدرار,حي أولاد أونقالا (مقر الولاية سابقا) 389,049361232,049361234
عين تيموشنت,محافظة الغابات عين تيموشنت,طريق شعبة اللحم، عين تيموشنت,043783243,043783242
عين الدفلى,محافظة الغابات عين الدفلى,شارع 18 فيفري عين الدفلة,027505338,028505339
الجزائر,محافظة الغابات الجزائر,المزرعة النموذجية (الجزائرية) المحمدية، الجزائر,021514498,021514497
عنابة,محافظة الغابات عنابة,حي 05 جويلية 1962، عنابة,038423003,038422632
باتنة,محافظة الغابات عنابة,الحي الإداري الجديد، باتنة 03,033807031,033853902
بشار,محافظة الغابات بشار,"ص,ب 193 طريق المطار، بشار",049262183,049262182
بجاية,محافظة الغبات بجاية,طريق فاتح محفوظي المنطقة الصناعية، بجاية,034187090,034187128
بسكرة,محافظة الغابات بسكرة,حارة الواد بسكرة,033530454,033530453
بليدة,محافظة الغابات بليدة,طرق واد العلايق – 13 زبانة (90000 بليدة),025235815,025235817
برج بوعريريج,محافظة الغابات برج بوعريريج,17 طريق رماش عيسى الحدائق برج بوعريريج,035733098,035733100
بويرة,محافظة الغابات بويرة,منطقة الحظائرن ولاية بويرة,026732839,026930131
بومرداس,محافظة الغابات بومرداس,حي إبن خلدون 1200 مسكن بومرداس,024791342,024811570
الشلف,محافظة الغابات شلف,"نهج الأمير عبد القادر ص,ب 232",027771808,027771616
قسنطينة,محافظة الغابات قسنطينة,حي بوصوف، المرحلة الاولى/ قسنطينة,031600863,031604864
الجلفة,محافظة الغابات الجلفة,شارع 05 جويلية (بنات بلكحل)الجلفة,027923419,027873898
البيض,محافظة الغابات البيض,"الحي الإداري ص,ب رقم 127 البيض",049613981,049613982
الوادي,محافظة الغابات الوادي,"ص,ب رقم 127، الوادي",032139431,032139430
الطارف,محافظة الغابات الطارف,الحي الإداري الجديد، طريق الزيتونة، الطارف,046551119,046551119
غرداية,محافظة الغابات غرداية,غرداية، غرداية,029258122,029258123
قالمة,محافظة الغابات قالمة,حي مخنشة عبد اللطيف قالمة,037169931,037145557
غليزي,محافظة الغابات إليزي,الحي الإداري، إليزي,029422087,029404024
جيجل,محافظة الغابات جيجل,طرق قسنطينةن جيجل 18000,034471736,034474627
خنشلة,محافظة الغابات خنشلة,وادي عبد الله بن أحمد خلاف، خنشلة,032746858,032746745
الأغواط,محافظة الغابات الاغواط,الحي الإداري المحاريف، الأغواط,029145400,029145401
معسكر,محافظة الغابات معسكر,طريق المجاهد المتوفي أحمد خثير بلمختار 29000، معسكر,045718834,045719238
مدية,محافظة الغابات مدية,طريق سافادور ألاند، حي المصلى، مدية,025793676,025581463
ميلة,محافظة الغابات ميلة,طريق المحطة، حي 500 مسكن 43000، ميلة,031473944,031473945
مستغانم,محافظة الغابات مستغانم,01 طريق مزيان مختار 27000، مستغانم,045417468,045417465
مسيلة,محافظة الغابات مسيلة,طريق مسيلة 28000,035336192,
النعامة,محافظة الغابات النعامة,"المقر الجديد، بجانب المستشفى ص,ب 65، النعامة",049593369,049593310
وهران,محافظة الغابات وهران,طريق فرانج مارتان، كنستال، وهران,041622062,041622063
أم البواقي,محافظة الغابات أم البواقي,"حي 18 فيفري ص,ب رقم 41، أم البواقي",032563614,032545717
ورقلة,محافظة الغابات ورقلة,منطقة النشاطاتن 30000، ورقلة,029713942,029713005
غليزان,محافظة الغابات غليزان,حي الوافي،,046725015,046725016
سعيدة,محافظة الغابات سعيد,طريق تيارت 20000 ولاية سعيدة,048516584,048410313
سطيف,محافظة الغابات سعيدة,حي عين تبينات سطيف,036621003,036621006
سيدي بلعباس,محافظة الغابات سيدي بلعباس,رقم 55، طريق قيصر بوزيان، الحي الإداري فتيحة، سيدي بلعباس,048684738,048652358
سكيكدة,محافظة الغبات سكيكدة,حي بوعباز، سكيكدة,038754378,038754378
سوق أهراس,محافظة سوق أهراس,حي قطار الزايدي باولو 01، سوق أهراس,037751189,037751185
تمراست,محافظة الغابات تمنراست,"حي الشموعة، ص,ب 126، تمنراست",029320147,029320147
تبسة,محافظة الغابات تيسة,حيالهواء الجميل وسط ، تبسة,037555948,037555654
تيارت,محافظة الغابات تيارت,"حي عرباوي عبد القادر، مقابل حي دبي، ص,ب 118، تيارت",046254212,046207816
تندوف,محافظة الغابات تندوف,"ص,ب رقم 501 تندوف",049379292,049379251
تيبازة,محافظة الغابات تيبازة,الحي الإداري الجديد، تيبازة,024376286,024376285
تيسمسيلت,محافظة الغابات تيسمسيلت,طريق سيدي خليفة، تيسمسيلت,038601023,038601873
تيزي وزو,محافظة الغابات تيزي وزو,رقم 12، طريق لامالي أحمد، تيزيوزو,026122927,026122557
تلمسان,محافظة الغابات تلمسان,"ص,ب رقم 369، تلمسان",043278562,043271479
