network,type,code_wilaya,wilaya_fr,name_ar,abbreviation,address,phone,fax
direction-services-agricoles,dsa,1,Adrar,,,طريق طالب محمد,049364828,049364811
direction-services-agricoles,dsa,44,Aïn Defla,,,شارع 19 مارس عين الدفلى,027504532,027504534
direction-services-agricoles,dsa,46,Aïn Témouchent,,,حي زيتون 46000 عين تيموشنت,043779801,043779799
direction-services-agricoles,dsa,16,Alger,,,الطريق الوطني رقم 05 خمسة مقابل مقبرة العالية,021522745,021523606
direction-services-agricoles,dsa,23,Annaba,,,ساحة الثورة 23000,038450084,038450079
direction-services-agricoles,dsa,5,Batna,,,حي كشيدة,033852568,033807044
direction-services-agricoles,dsa,7,Biskra,,,شارع الامير عبد القادر المحطة,033558372,033558371
direction-services-agricoles,dsa,9,Blida,,,حي عزي علي سيدي عبد القادر,025391347,025246531
direction-services-agricoles,dsa,34,Bordj Bou Arreridj,,,شارع هواري بومدينن برج بوعريريج,035733134,035733130
direction-services-agricoles,dsa,10,Bouira,,,طريق بوكارو مخلوف,026730210,026730177
direction-services-agricoles,dsa,35,Boumerdès,,,المقر الجديدالكائن بحي البرتقال 35000 بومرداس,024795014,024795014
direction-services-agricoles,dsa,8,Béchar,,,05، العقيد شابو برقة,049210362,049210364
direction-services-agricoles,dsa,6,Béjaïa,,,الحي الإداري الجديد، طريق الإخوة ثابت، بجاية,034102606,034102612
direction-services-agricoles,dsa,2,Chlef,,,شارع بلحمري جيلالي، الشلف,027775900,027790575
direction-services-agricoles,dsa,25,Constantine,,,ساحة الشهداء، وسط المدينة 25800,031872804,031873219
direction-services-agricoles,dsa,17,Djelfa,,,حي راس العيون، طريق الأغواط الجلفة,027921857,027921859
direction-services-agricoles,dsa,32,El Bayadh,,,وسط المدينة 32000، البيض,049611395,049611419
direction-services-agricoles,dsa,39,El Oued,,,طريق محمد خميستي الوادي,032140083,032140080
direction-services-agricoles,dsa,36,El Tarf,,,حي بوحجر، الطارف,038601614,038601613
direction-services-agricoles,dsa,47,Ghardaïa,,,40 حي الأمير عبد القادر,029285099,029295411
direction-services-agricoles,dsa,24,Guelma,,,حي بارة لخضر عقابي، قالمة,037111291,037111293
direction-services-agricoles,dsa,33,Illizi,,,طريق مصطفي بن بولعيد، وسط المدينة، 33000 إليزي,029402861,029402860
direction-services-agricoles,dsa,18,Jijel,,,الحي الإداري أولاد عيسى,034471580,034495980
direction-services-agricoles,dsa,40,Khenchela,,,خنشلة 40000,032746713,032746853
direction-services-agricoles,dsa,3,Laghouat,,,محافير,029145412,029146484
direction-services-agricoles,dsa,29,Mascara,,,طريق سيدي سحنون الراسدية طريق تيارت، 29000 معسكر,045711850,045711853
direction-services-agricoles,dsa,43,Mila,,,طريق بن كربة لخضر، 43000، ميلة,031480233,031480235
direction-services-agricoles,dsa,27,Mostaganem,,,حي وادي الحدائق، 27000، مستغانم,045415111,045415113
direction-services-agricoles,dsa,26,Médéa,,,شارع سلفادور حي المصلى المدية،35000,025793685,025793686
direction-services-agricoles,dsa,28,M'sila,,,الحي الإداري 28000,035350669,035550014
direction-services-agricoles,dsa,45,Naâma,,,حي 164 مسكن، 45000، النعامة,049595294,049595327
direction-services-agricoles,dsa,31,Oran,,,02، الاستاذ عابد محمد، بلاطو، وهران,041301011,041301031
direction-services-agricoles,dsa,30,Ouargla,,,نهج القدس،30000،ورقلة,029712274,029713730
direction-services-agricoles,dsa,4,Oum El Bouaghi,,,حي العربي بن مهيدي، أم البواقي,032563110,032563262
direction-services-agricoles,dsa,48,Relizane,,,حي 24 مسكن دلاس، غليزان,046716388,046716379
direction-services-agricoles,dsa,20,Saïda,,,حي الرياض، سعيدة,048374123,048374121
direction-services-agricoles,dsa,22,Sidi Bel Abbès,,,طريق بوخنافيس، المستشفى22000,048769507,048769512
direction-services-agricoles,dsa,21,Skikda,,,حي الإخوة شبل، سكي أوتو ديدوش مراد سابقا، 21000,038751510,038753916
direction-services-agricoles,dsa,41,Souk Ahras,,,حي، 08 مكاتب، وسط المدينة، 41000,037754090,037754092
direction-services-agricoles,dsa,19,Sétif,,,حي عين تيبينات، 19000,036621019,036621017
direction-services-agricoles,dsa,11,Tamanrasset,,,3048حي السلام,029310210,029310211
direction-services-agricoles,dsa,14,Tiaret,,,شارع بوليس عمار، طريق بوشقيف، تيارت,046244408,046244407
direction-services-agricoles,dsa,37,Tindouf,,,طريق الثورة، حي قصابي، تندوف، 37000,049922029,049376756
direction-services-agricoles,dsa,42,Tipaza,,,حي 50 مسكن، 42038، الناظور,024476933,024376981
direction-services-agricoles,dsa,38,Tissemsilt,,,حي عين البرج، تيسمسيلت,046477970,046567209
direction-services-agricoles,dsa,15,Tizi Ouzou,,,الثانوية الجديدة، محطة القطار، سوق الفلاح بلوعة,026209036,026200508
direction-services-agricoles,dsa,13,Tlemcen,,,شارع 24 متر، تلمسان,043422347,043422031
direction-services-agricoles,dsa,12,Tébessa,,,طريق قسنطينة,037592700,037592837
direction-services-agricoles,dsa,49,Timimoun,,,شارع عبد القادر الزيادي تيميمون,049305106,049305106
direction-services-agricoles,dsa,50,Bordj Badji Mokhtar,,,الحي الوظيفي,049322629,049322629
direction-services-agricoles,dsa,51,Ouled Djellal,,,الحي الاداري الجديد,033660143,033660145
direction-services-agricoles,dsa,52,Béni Abbès,,,المجمع الاداري لولاية بني عباس,049286205,049286206
direction-services-agricoles,dsa,53,In Salah,,,وسط مدينة إن صالح,029366501,029366501
direction-services-agricoles,dsa,54,In Guezzam,,,وسط مدينة إن قزام,029354460,029354460
direction-services-agricoles,dsa,55,Touggourt,,,الحي الاداري المستقبل توقرت,044698681,044698680
direction-services-agricoles,dsa,56,Djanet,,,حي الزلوز جانت,029487154,029487154
direction-services-agricoles,dsa,57,El M'Ghair,,,الحي الإداري أول نوفمبر,047420560,047420562
direction-services-agricoles,dsa,58,El Meniaa,,,الحي الاداري بلباشير المنيعة,044441477,044441293
conservation-forets,conservation_forets,1,Adrar,محافظة الغابات أدرار,,حي أولاد أونقالا (مقر الولاية سابقا) 389,049361232,049361234
conservation-forets,conservation_forets,46,Aïn Témouchent,محافظة الغابات عين تموشنت,,طريق شعبة اللحم، عين تيموشنت,043783243,043783242
conservation-forets,conservation_forets,44,Aïn Defla,محافظة الغابات عين الدفلى,,شارع 18 فيفري عين الدفلة,027505338,028505339
conservation-forets,conservation_forets,16,Alger,محافظة الغابات الجزائر,,المزرعة النموذجية (الجزائرية) المحمدية، الجزائر,021514498,021514497
conservation-forets,conservation_forets,23,Annaba,محافظة الغابات عنابة,,حي 05 جويلية 1962، عنابة,038423003,038422632
conservation-forets,conservation_forets,5,Batna,محافظة الغابات باتنة,,الحي الإداري الجديد، باتنة 03,033807031,033853902
conservation-forets,conservation_forets,8,Béchar,محافظة الغابات بشار,,"ص,ب 193 طريق المطار، بشار",049262183,049262182
conservation-forets,conservation_forets,6,Béjaïa,محافظة الغابات بجاية,,طريق فاتح محفوظي المنطقة الصناعية، بجاية,034187090,034187128
conservation-forets,conservation_forets,7,Biskra,محافظة الغابات بسكرة,,حارة الواد بسكرة,033530454,033530453
