name,name_fr,name_ar,layer,lat,lng,wilaya_code,wilaya_name_fr,wilaya_name_ar,nid_fr,nid_ar,has_virtual_tour,source
Musée National des Arts et Traditions Populaire,Musée National des Arts et Traditions Populaire,المتحف الوطني للفنون و التقاليد الشعبية,museum,36.787508,3.062275,16,Alger,الجزائر,3,48,false,patrimoineculturelalgerien.org
Site de Tipasa,Site de Tipasa,آثار تيبازة,protected-cultural-property,36.594712,2.444023,42,Tipaza,تيبازة,66,120,false,patrimoineculturelalgerien.org
Timgad,Timgad,تيمقاد,protected-cultural-property,35.484187,6.468884,05,Batna,باتنة,65,121,false,patrimoineculturelalgerien.org
Nécropole mégalithique de Bounouara,Nécropole mégalithique de Bounouara,المقبرة الميغالتية لبونوارة,protected-cultural-property,36.222176,6.799716,25,Constantine,قسنطينة,,128,false,patrimoineculturelalgerien.org
Site archéologique de Tiddis,Site archéologique de Tiddis,الموقع الأثري تيديس,protected-cultural-property,36.462911,6.483054,25,Constantine,قسنطينة,,129,false,patrimoineculturelalgerien.org
Djémila,Djémila,متحف موقع جميلة,museum,36.320675,5.735759,19,Sétif,سطيف,64,132,false,patrimoineculturelalgerien.org
Tombeau Imedghassen,Tombeau Imedghassen,إيمدغاسن,protected-cultural-property,35.70709,6.434445,05,Batna,باتنة,106,133,false,patrimoineculturelalgerien.org
La vallée du mzab,La vallée du mzab,وادي مزاب,protected-cultural-property,32.483797,3.68293,47,Ghardaïa,غرداية,61,134,false,patrimoineculturelalgerien.org
La Kalâa des Béni Hammad,La Kalâa des Béni Hammad,قلعة بني حماد,protected-cultural-property,35.822427,4.789549,28,M'Sila,المسيلة,63,135,false,patrimoineculturelalgerien.org
Le Parc National du Tassili (N'Ajjer),Le Parc National du Tassili (N'Ajjer),طاسيلي ناجر,protected-cultural-property,25.813595,8.133856,33,Illizi,إليزي,62,136,true,patrimoineculturelalgerien.org
Mosquée Ketchaoua,Mosquée Ketchaoua,جامع كتشاوة,protected-cultural-property,36.785047,3.060767,16,Alger,الجزائر,58,137,false,patrimoineculturelalgerien.org
Musée National de Setif,Musée National de Setif,المتحف الوطني سطيف,museum,36.19196,5.409965,19,Sétif,سطيف,100,138,true,patrimoineculturelalgerien.org
Théâtre National Mahieddine Bachtarzi,Théâtre National Mahieddine Bachtarzi,المسرح الوطني محي الدين بشطارزي,theatre,36.781183,3.060202,16,Alger,الجزائر,38,145,false,patrimoineculturelalgerien.org
Ksar de Tiout,Ksar de Tiout,قصـر تيـــوت,protected-cultural-property,32.771069,-0.417302,45,Naâma,النعامة,,157,false,patrimoineculturelalgerien.org
Ksar de Moghrar Tahtani (citadelle de Cheikh Bouamama),Ksar de Moghrar Tahtani (citadelle de Cheikh Bouamama),قصـر مغرار التحتاني (قلعة الشيخ بوعمامة),protected-cultural-property,32.493226,-0.466872,45,Naâma,النعامة,,158,false,patrimoineculturelalgerien.org
Ksar d'Asla (Samer),Ksar d'Asla (Samer),قصـر عسلة(صامر),protected-cultural-property,33.012071,-0.081151,45,Naâma,النعامة,,159,false,patrimoineculturelalgerien.org
Grande Mosquée Al-Merini,Grande Mosquée Al-Merini,المسجد المريني العتيق,protected-cultural-property,35.93625,0.091861,27,Mostaganem,مستغانم,1364,190,false,patrimoineculturelalgerien.org
Quartier d'El Arsa,Quartier d'El Arsa,حي العرصة,protected-cultural-property,35.934912,0.099796,27,Mostaganem,مستغانم,,191,false,patrimoineculturelalgerien.org
dar el kaid,dar el kaid,"دار القايد ""قصبة درب –طبانة """,protected-cultural-property,35.936242,0.092952,27,Mostaganem,مستغانم,1514,192,false,patrimoineculturelalgerien.org
Mausolée du bey Mostapha Bouchlaghem,Mausolée du bey Mostapha Bouchlaghem,ضريح الباي بوشلاغم,protected-cultural-property,35.933104,0.094787,27,Mostaganem,مستغانم,1515,193,false,patrimoineculturelalgerien.org
Laboratoire de préservation et de promotion - KHENCHELA -,Laboratoire de préservation et de promotion - KHENCHELA -,المتحف العمومي الوطني خنشلة,museum,35.432268,7.136422,40,Khenchela,خنشلة,1332,208,false,patrimoineculturelalgerien.org
Musée Public National d’Art et d’Histoire de la ville de Tlemcen,Musée Public National d’Art et d’Histoire de la ville de Tlemcen,المتحف العمومي الوطني للفن والتاريخ لمدينة تلمسان,museum,34.882923,-1.310548,13,Tlemcen,تلمسان,198,209,false,patrimoineculturelalgerien.org
Musée Public National d’Archéologie islamique,Musée Public National d’Archéologie islamique,المتحف العمومي الوطني للاثار الاسلامية تلمسان,museum,34.88093,-1.31461,13,Tlemcen,تلمسان,37,213,false,patrimoineculturelalgerien.org
Théâtre régional d'El Eulma,Théâtre régional d'El Eulma,المسرح الجهوي العلمة,theatre,36.147506,5.676709,19,Sétif,سطيف,,214,false,patrimoineculturelalgerien.org
Théâtre Djelfa,Théâtre Djelfa,المسرح الجهوي للجلفة,theatre,34.658357,3.263677,17,Djelfa,الجلفة,110,215,false,patrimoineculturelalgerien.org
Musée des Ruines d'Hippone,Musée des Ruines d'Hippone,موقع ومتحف هيبون الأثري,protected-cultural-property,36.881788,7.750959,23,Annaba,عنابة,31,216,false,patrimoineculturelalgerien.org
La principale bibliothèque de lecture publique,La principale bibliothèque de lecture publique,المكتبة الرئيسية للمطالعة العمومية لولاية خنشلة,library,35.437191,7.135182,40,Khenchela,خنشلة,1354,217,false,patrimoineculturelalgerien.org
Musée public national Cirta,Musée public national Cirta,المتحف العمومي الوطني سيرتا,museum,36.362871,6.607123,25,Constantine,قسنطينة,,219,false,patrimoineculturelalgerien.org
Station de gravures rupestres de Tiout,Station de gravures rupestres de Tiout,محطة النقوش الصخرية تيوت,protected-cultural-property,32.76665,-0.39919,45,Naâma,النعامة,,220,false,patrimoineculturelalgerien.org
Théâtre régional de Guelma,Théâtre régional de Guelma,المسرح الجهوي قالمة,theatre,36.464656,7.431815,24,Guelma,قالمة,222,221,false,patrimoineculturelalgerien.org
Théâtre Régional d'Oran,Théâtre Régional d'Oran,المسرح الجهوي لوهران,theatre,35.70338,-0.650243,31,Oran,وهران,41,224,false,patrimoineculturelalgerien.org
Théâtre régional de Sidi Bel Abbes,Théâtre régional de Sidi Bel Abbes,المسرح الجهوي سيدي بلعباس,theatre,35.191043,-0.633242,22,Sidi Bel Abbès,سيدي بلعباس,226,225,false,patrimoineculturelalgerien.org
Ksar d'El Mecheria Soghra – wilaya d'El Bayadh,Ksar d'El Mecheria Soghra – wilaya d'El Bayadh,قصر المشرية الصغرى ولاية البيّض,protected-cultural-property,33.576784,1.014623,32,El Bayadh,البيض,,228,false,patrimoineculturelalgerien.org
Théâtre régional de Souk Ahras (en cours d'équipement),Théâtre régional de Souk Ahras (en cours d'équipement),المسرح الجهوي سوق اهراس(في طور التجهيز),theatre,36.283722,7.957964,41,Souk Ahras,سوق أهراس,,230,false,patrimoineculturelalgerien.org
Mosaïque Sidi Zerrouk,Mosaïque Sidi Zerrouk,فسيفساء سيدي زروق,protected-cultural-property,36.477419,5.997181,43,Mila,ميلة,1408,231,false,patrimoineculturelalgerien.org
Ksar d'El Ghassoul,Ksar d'El Ghassoul,قصر الغاسول,protected-cultural-property,33.386833,1.195194,32,El Bayadh,البيض,,232,false,patrimoineculturelalgerien.org
Ksar El Asaad,Ksar El Asaad,القصر الأسعد,protected-cultural-property,32.876306,-0.001194,32,El Bayadh,البيض,,233,false,patrimoineculturelalgerien.org
Ksar d'Aïn Hachifa à Chellala Gueblia,Ksar d'Aïn Hachifa à Chellala Gueblia,قصر عين حشيفة بالشلالة الڨبلية,protected-cultural-property,33.030818,0.168945,32,El Bayadh,البيض,,234,false,patrimoineculturelalgerien.org
Mosquée Sidi Ghanem,Mosquée Sidi Ghanem,مسجد سيدي غانم ( أبو المهاجر دينار ),protected-cultural-property,36.450339,6.271525,43,Mila,ميلة,1361,235,false,patrimoineculturelalgerien.org
Théâtre Régional Batna,Théâtre Régional Batna,المسرح الجهوي باتنة,theatre,35.553554,6.175859,05,Batna,باتنة,42,236,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique martyre Françoise Louise,Bibliothèque principale de lecture publique martyre Françoise Louise,المكتبة الرئيسية للمطالعة العمومية الشهيدة فرنسواز لويز,library,36.761173,8.3142,36,El Tarf,الطارف,,237,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique de la wilaya de Batna,Bibliothèque principale de lecture publique de la wilaya de Batna,المكتبة الرئيسية للمطالعة العمومية لولاية باتنة,library,35.5439,6.1234,05,Batna,باتنة,,239,false,patrimoineculturelalgerien.org
Bibliothèque nationale d'El Hamma,Bibliothèque nationale d'El Hamma,المكتبة الوطنية الحامة,library,36.748636,3.071795,16,Alger,الجزائر,,240,true,patrimoineculturelalgerien.org
BORDJ HAMZA,BORDJ HAMZA,البرج التركي (برج حمزة),protected-cultural-property,36.369623,3.892806,10,Bouira,البويرة,440,242,true,patrimoineculturelalgerien.org
Théâtre Régional de Mostaganem,Théâtre Régional de Mostaganem,المسرح الجهوي مستغانم,theatre,35.926013,0.076682,27,Mostaganem,مستغانم,47,243,false,patrimoineculturelalgerien.org
Basilique Saint Augustin,Basilique Saint Augustin,صهاريج هيبون,protected-cultural-property,36.881922,7.744932,23,Annaba,عنابة,105,245,false,patrimoineculturelalgerien.org
Citadelle hafside,Citadelle hafside,القلعة الحفصية,protected-cultural-property,36.905739,7.765767,23,Annaba,عنابة,,246,false,patrimoineculturelalgerien.org
Station d'El Milok,Station d'El Milok,محطة الميلق,protected-cultural-property,33.862778,2.749722,03,Laghouat,الأغواط,,247,false,patrimoineculturelalgerien.org
Ancienne horloge,Ancienne horloge,الساعة القديمة,protected-cultural-property,33.805966,2.883319,03,Laghouat,الأغواط,,248,false,patrimoineculturelalgerien.org
Zaouïa Sidi Brahim Ben Toumi,Zaouïa Sidi Brahim Ben Toumi,زاوية سيدي إبراهيم بن تومي,protected-cultural-property,36.88928,7.748787,23,Annaba,عنابة,,249,false,patrimoineculturelalgerien.org
Mosquée antique de Laghouat,Mosquée antique de Laghouat,المسجد العتيق الأغواط,protected-cultural-property,33.804569,2.881035,03,Laghouat,الأغواط,,250,false,patrimoineculturelalgerien.org
Mosquée du Bey,Mosquée du Bey,جامع الباي,protected-cultural-property,36.899122,7.76243,23,Annaba,عنابة,,251,false,patrimoineculturelalgerien.org
